cell_id,Chondrohierax uncinatus,Chondrohierax uncinatus uncinatus,Chondrohierax uncinatus mirus
8445011ffffffff,3.0,0.0,0.0
8445019ffffffff,2.0,0.0,0.0
844501bffffffff,8.0,0.0,0.0
8445053ffffffff,2.0,0.0,0.0
8445059ffffffff,2.0,0.0,0.0
844505bffffffff,6.0,0.0,0.0
8445083ffffffff,11.0,0.0,0.0
8445085ffffffff,13.0,0.0,0.0
8445087ffffffff,22.0,0.0,0.0
844508dffffffff,4.0,0.0,0.0
8445091ffffffff,4.0,0.0,0.0
8445095ffffffff,2.0,0.0,0.0
8445099ffffffff,6.0,0.0,0.0
844509bffffffff,26.0,0.0,0.0
844509dffffffff,2.0,0.0,0.0
84450a1ffffffff,21.0,0.0,0.0
84450a3ffffffff,19.0,0.0,0.0
84450a5ffffffff,1.0,0.0,0.0
84450a7ffffffff,4.0,0.0,0.0
84450a9ffffffff,1.0,0.0,0.0
84450abffffffff,2.0,0.0,0.0
84450b1ffffffff,13.0,0.0,0.0
84450b5ffffffff,7.0,0.0,0.0
84450bdffffffff,5.0,0.0,0.0
84450c1ffffffff,6.0,0.0,0.0
84450c5ffffffff,8.0,0.0,0.0
84450d1ffffffff,1.0,0.0,0.0
84450d3ffffffff,25.0,0.0,0.0
84450d5ffffffff,15.0,0.0,0.0
84450d7ffffffff,2.0,0.0,0.0
84450e3ffffffff,7.0,0.0,0.0
84450ebffffffff,14.0,0.0,0.0
8445203ffffffff,7.0,0.0,0.0
8445205ffffffff,8.0,0.0,0.0
8445207ffffffff,68.0,0.0,0.0
8445209ffffffff,8.0,0.0,0.0
844520bffffffff,6.0,0.0,0.0
844520dffffffff,9.0,0.0,0.0
8445211ffffffff,7.0,0.0,0.0
8445215ffffffff,1870.0,0.0,0.0
8445217ffffffff,57.0,0.0,0.0
844521dffffffff,2.0,0.0,0.0
8445221ffffffff,33.0,0.0,0.0
8445225ffffffff,41.0,0.0,0.0
844522bffffffff,6.0,0.0,0.0
8445233ffffffff,78.0,0.0,0.0
844523bffffffff,11.0,0.0,0.0
8445249ffffffff,44.0,0.0,0.0
8445251ffffffff,8.0,0.0,0.0
8445255ffffffff,18.0,0.0,0.0
844525bffffffff,14.0,0.0,0.0
8445263ffffffff,10.0,0.0,0.0
8445269ffffffff,9.0,0.0,0.0
844526bffffffff,9.0,0.0,0.0
844526dffffffff,1.0,0.0,0.0
8445281ffffffff,3.0,0.0,0.0
8445283ffffffff,2.0,0.0,0.0
8445285ffffffff,5.0,0.0,0.0
8445287ffffffff,37.0,0.0,0.0
8445289ffffffff,15.0,0.0,0.0
844528dffffffff,31.0,0.0,0.0
8445291ffffffff,1.0,0.0,0.0
8445295ffffffff,2.0,0.0,0.0
8445297ffffffff,2.0,0.0,0.0
844529bffffffff,3.0,0.0,0.0
84452a1ffffffff,4.0,0.0,0.0
84452a3ffffffff,1.0,0.0,0.0
84452a5ffffffff,26.0,0.0,0.0
84452a7ffffffff,6.0,0.0,0.0
84452a9ffffffff,46.0,0.0,0.0
84452abffffffff,3.0,0.0,0.0
84452adffffffff,52.0,0.0,0.0
84452b7ffffffff,1.0,0.0,0.0
84452b9ffffffff,5.0,0.0,0.0
84452bdffffffff,15.0,0.0,0.0
84452c3ffffffff,7.0,0.0,0.0
84452c5ffffffff,7.0,0.0,0.0
84452c7ffffffff,42.0,0.0,0.0
84452d9ffffffff,15.0,0.0,0.0
84452e1ffffffff,534.0,0.0,0.0
84452e3ffffffff,53.0,0.0,0.0
84452e5ffffffff,123.0,0.0,0.0
84452e7ffffffff,17.0,0.0,0.0
84452e9ffffffff,34.0,0.0,0.0
84452ebffffffff,126.0,0.0,0.0
84452edffffffff,24.0,0.0,0.0
8445307ffffffff,1.0,0.0,0.0
8445321ffffffff,7.0,0.0,0.0
844532bffffffff,6.0,0.0,0.0
8445343ffffffff,29.0,0.0,0.0
8445353ffffffff,24.0,0.0,0.0
8445365ffffffff,12.0,0.0,0.0
8445721ffffffff,16.0,0.0,0.0
8445725ffffffff,11.0,0.0,0.0
8445727ffffffff,12.0,0.0,0.0
8445745ffffffff,2.0,0.0,0.0
8445761ffffffff,3.0,0.0,0.0
8445765ffffffff,9.0,0.0,0.0
