cell_id,Nisaetus cirrhatus,Nisaetus cirrhatus cirrhatus/ceylanensis,Nisaetus cirrhatus [limnaeetus Group]
843c0b7ffffffff,1.0,0.0,0.0
843c1b9ffffffff,1.0,1.0,0.0
843c329ffffffff,4.0,0.0,4.0
843c33bffffffff,4.0,0.0,0.0
843c36bffffffff,2.0,0.0,0.0
843c527ffffffff,4.0,0.0,4.0
843c537ffffffff,2.0,0.0,2.0
843c581ffffffff,3.0,0.0,3.0
843c585ffffffff,3.0,0.0,3.0
843c5bdffffffff,5.0,0.0,0.0
843c801ffffffff,2.0,0.0,2.0
843c831ffffffff,2.0,2.0,0.0
843c885ffffffff,7.0,3.0,4.0
843c8edffffffff,1.0,1.0,0.0
843c905ffffffff,1.0,1.0,0.0
843c929ffffffff,2.0,2.0,0.0
843c92dffffffff,10.0,10.0,0.0
843c947ffffffff,2.0,0.0,0.0
843c967ffffffff,2.0,2.0,0.0
843ca45ffffffff,1.0,1.0,0.0
843cb45ffffffff,26.0,26.0,0.0
843cb4dffffffff,2.0,2.0,0.0
843cb51ffffffff,2.0,2.0,0.0
843cb59ffffffff,2.0,2.0,0.0
843cb5dffffffff,70.0,70.0,0.0
843cb65ffffffff,31.0,31.0,0.0
843cb6dffffffff,3.0,3.0,0.0
843cc0dffffffff,1.0,0.0,1.0
843ce15ffffffff,2.0,0.0,0.0
843ce4dffffffff,2.0,0.0,2.0
843ce53ffffffff,4.0,0.0,0.0
843ce55ffffffff,15.0,0.0,12.0
843ce57ffffffff,10.0,0.0,8.0
843ce5bffffffff,6.0,0.0,0.0
843ce5dffffffff,7.0,2.0,0.0
843cec1ffffffff,7.0,0.0,3.0
843cec9ffffffff,4.0,0.0,4.0
843cf05ffffffff,2.0,0.0,0.0
843cf27ffffffff,2.0,2.0,0.0
843cf29ffffffff,1.0,0.0,1.0
843cf2dffffffff,6.0,0.0,3.0
843d105ffffffff,3.0,0.0,0.0
843d107ffffffff,4.0,0.0,4.0
843d137ffffffff,2.0,0.0,0.0
843d1edffffffff,1.0,0.0,0.0
843d847ffffffff,8.0,8.0,0.0
843d963ffffffff,1.0,1.0,0.0
843d967ffffffff,2.0,2.0,0.0
843d983ffffffff,6.0,6.0,0.0
843d993ffffffff,81.0,81.0,0.0
843d997ffffffff,2.0,2.0,0.0
843d9a7ffffffff,2.0,2.0,0.0
843d9abffffffff,2.0,2.0,0.0
843d9b7ffffffff,56.0,56.0,0.0
843d9d1ffffffff,10.0,10.0,0.0
843d9d3ffffffff,2.0,2.0,0.0
843d9dbffffffff,1.0,1.0,0.0
843d9e5ffffffff,130.0,130.0,0.0
843da37ffffffff,2.0,0.0,0.0
843da91ffffffff,10.0,0.0,10.0
843da95ffffffff,2.0,0.0,2.0
843da97ffffffff,42.0,0.0,42.0
843dacbffffffff,2.0,0.0,2.0
843dad1ffffffff,15.0,0.0,6.0
843daddffffffff,1.0,1.0,0.0
843db35ffffffff,7.0,7.0,0.0
8442d97ffffffff,4.0,0.0,0.0
8442d9bffffffff,2.0,0.0,0.0
8442db3ffffffff,2.0,0.0,0.0
8442dc1ffffffff,2.0,0.0,0.0
8442dcdffffffff,2.0,0.0,0.0
846002dffffffff,2.0,2.0,0.0
846004dffffffff,3.0,0.0,0.0
846006dffffffff,5.0,3.0,0.0
8460105ffffffff,3.0,0.0,0.0
846011bffffffff,2.0,0.0,0.0
8460143ffffffff,8.0,8.0,0.0
8460145ffffffff,137.0,109.0,0.0
846014dffffffff,91.0,50.0,1.0
8460151ffffffff,3.0,3.0,0.0
8460159ffffffff,2.0,0.0,0.0
8460169ffffffff,22.0,10.0,0.0
846016bffffffff,6.0,6.0,0.0
846016dffffffff,3.0,0.0,0.0
8460225ffffffff,1.0,1.0,0.0
846022dffffffff,1.0,1.0,0.0
8460311ffffffff,2.0,2.0,0.0
8460313ffffffff,10.0,8.0,0.0
8460315ffffffff,10.0,8.0,0.0
8460317ffffffff,17.0,17.0,0.0
8460319ffffffff,4.0,4.0,0.0
846031bffffffff,6.0,4.0,0.0
846031dffffffff,2.0,0.0,0.0
8460323ffffffff,2.0,0.0,0.0
8460331ffffffff,93.0,46.0,0.0
8460333ffffffff,307.0,231.0,0.0
8460335ffffffff,11.0,3.0,0.0
846033bffffffff,370.0,207.0,0.0
846033dffffffff,3.0,0.0,0.0
8460351ffffffff,1.0,1.0,0.0
846084dffffffff,8.0,8.0,0.0
8460881ffffffff,72.0,72.0,0.0
8460883ffffffff,2.0,2.0,0.0
8460885ffffffff,12.0,12.0,0.0
8460887ffffffff,8.0,8.0,0.0
8460889ffffffff,10.0,10.0,0.0
846088bffffffff,5.0,5.0,0.0
846088dffffffff,69.0,69.0,0.0
846089dffffffff,6.0,3.0,0.0
84608abffffffff,9.0,9.0,0.0
84608b9ffffffff,3.0,3.0,0.0
84608bdffffffff,20.0,20.0,0.0
84608c3ffffffff,3.0,3.0,0.0
84608d1ffffffff,9.0,9.0,0.0
84608d5ffffffff,22.0,22.0,0.0
84608d7ffffffff,2.0,2.0,0.0
84608ddffffffff,6.0,4.0,0.0
84608ebffffffff,3.0,3.0,0.0
8460925ffffffff,47.0,47.0,0.0
8460927ffffffff,66.0,66.0,0.0
8460931ffffffff,7.0,7.0,0.0
8460939ffffffff,9.0,9.0,0.0
846093bffffffff,4.0,4.0,0.0
846093dffffffff,4.0,4.0,0.0
846094bffffffff,4.0,3.0,0.0
846094dffffffff,19.0,17.0,0.0
8460961ffffffff,2.0,2.0,0.0
8460965ffffffff,34.0,32.0,0.0
8460997ffffffff,2.0,2.0,0.0
84609c7ffffffff,6.0,6.0,0.0
84609e3ffffffff,11.0,11.0,0.0
8460a1bffffffff,6.0,0.0,0.0
8460a27ffffffff,159.0,159.0,0.0
8460a61ffffffff,270.0,270.0,0.0
8460a63ffffffff,17.0,17.0,0.0
8460a65ffffffff,2.0,0.0,0.0
8460a67ffffffff,2.0,2.0,0.0
8460a91ffffffff,6.0,4.0,0.0
8460a95ffffffff,3.0,3.0,0.0
8460a9dffffffff,2.0,0.0,2.0
8460ab1ffffffff,3.0,3.0,0.0
8460ab3ffffffff,2.0,0.0,0.0
8460ad3ffffffff,2.0,2.0,0.0
8460b11ffffffff,12.0,5.0,0.0
8460b17ffffffff,1.0,1.0,0.0
8460b19ffffffff,132.0,112.0,0.0
8460b27ffffffff,2.0,2.0,0.0
8460b29ffffffff,1.0,1.0,0.0
8460b3dffffffff,34.0,34.0,0.0
8460b41ffffffff,7.0,7.0,0.0
8460b47ffffffff,4.0,4.0,0.0
8460b69ffffffff,3.0,3.0,0.0
84611e1ffffffff,1.0,1.0,0.0
8461885ffffffff,43.0,27.0,0.0
8461887ffffffff,6.0,4.0,0.0
84618b3ffffffff,3.0,2.0,0.0
84618b9ffffffff,1.0,1.0,0.0
84618dbffffffff,2.0,2.0,0.0
84618ddffffffff,2.0,0.0,0.0
84619a5ffffffff,24.0,24.0,0.0
846480dffffffff,6.0,0.0,4.0
8464825ffffffff,2.0,0.0,2.0
846482dffffffff,2.0,0.0,0.0
8464911ffffffff,3.0,0.0,3.0
8464a3dffffffff,2.0,0.0,2.0
8464b55ffffffff,7.0,0.0,3.0
8465005ffffffff,25.0,0.0,9.0
8465009ffffffff,19.0,0.0,18.0
846500bffffffff,3.0,0.0,3.0
8465015ffffffff,3.0,0.0,0.0
8465017ffffffff,7.0,0.0,7.0
8465029ffffffff,2.0,0.0,2.0
846502bffffffff,24.0,0.0,12.0
8465031ffffffff,2.0,0.0,2.0
8465033ffffffff,73.0,0.0,47.0
8465035ffffffff,3.0,0.0,3.0
8465037ffffffff,15.0,0.0,8.0
846503bffffffff,14.0,0.0,10.0
8465043ffffffff,3.0,0.0,3.0
8465055ffffffff,6.0,0.0,5.0
8465057ffffffff,1.0,0.0,0.0
8465059ffffffff,6.0,0.0,2.0
846505dffffffff,4.0,0.0,3.0
8465063ffffffff,1.0,0.0,1.0
84650e5ffffffff,6.0,0.0,4.0
84650edffffffff,2.0,0.0,2.0
8465183ffffffff,4.0,0.0,3.0
8465189ffffffff,47.0,0.0,24.0
846518bffffffff,28.0,0.0,21.0
846519dffffffff,12.0,0.0,3.0
84651c1ffffffff,3.0,0.0,3.0
84651c3ffffffff,9.0,0.0,7.0
84651c9ffffffff,4.0,0.0,0.0
84651cbffffffff,3.0,0.0,3.0
84651d1ffffffff,14.0,0.0,4.0
84651d9ffffffff,60.0,0.0,17.0
84651dbffffffff,40.0,0.0,19.0
84651ddffffffff,19.0,0.0,7.0
846520dffffffff,123.0,0.0,71.0
8465231ffffffff,1.0,0.0,1.0
8465233ffffffff,5.0,0.0,0.0
8465237ffffffff,2.0,0.0,2.0
8465263ffffffff,19.0,0.0,14.0
8465267ffffffff,1.0,0.0,1.0
846526bffffffff,5.0,0.0,1.0
8465991ffffffff,2.0,0.0,2.0
846818dffffffff,2.0,0.0,2.0
