cell_id,Phapitreron leucotis,Phapitreron leucotis leucotis,Phapitreron leucotis nigrorum,Phapitreron leucotis brevirostris/occipitalis
844a965ffffffff,1.0,0.0,0.0,0.0
8468401ffffffff,19.0,0.0,0.0,4.0
8468415ffffffff,8.0,0.0,0.0,0.0
846841bffffffff,9.0,0.0,0.0,0.0
8468421ffffffff,1.0,0.0,0.0,0.0
8468423ffffffff,10.0,0.0,0.0,5.0
846842bffffffff,6.0,0.0,0.0,2.0
8468433ffffffff,7.0,0.0,0.0,0.0
8468435ffffffff,110.0,0.0,0.0,35.0
8468439ffffffff,17.0,0.0,0.0,17.0
846843dffffffff,1.0,0.0,0.0,1.0
8468441ffffffff,2.0,0.0,0.0,0.0
8468447ffffffff,114.0,0.0,0.0,3.0
8468449ffffffff,23.0,0.0,3.0,0.0
8468459ffffffff,4.0,0.0,0.0,0.0
8468461ffffffff,2.0,0.0,0.0,0.0
8468469ffffffff,9.0,0.0,0.0,0.0
846846bffffffff,5.0,0.0,0.0,0.0
846846dffffffff,146.0,0.0,62.0,0.0
84684e5ffffffff,292.0,0.0,0.0,78.0
84684edffffffff,1.0,0.0,0.0,0.0
846856bffffffff,61.0,0.0,0.0,32.0
8468583ffffffff,5.0,0.0,0.0,5.0
8468589ffffffff,73.0,0.0,0.0,16.0
846858bffffffff,30.0,0.0,0.0,9.0
846858dffffffff,4.0,0.0,0.0,3.0
846859dffffffff,2.0,0.0,0.0,2.0
84685c1ffffffff,2.0,0.0,0.0,0.0
84685c3ffffffff,177.0,0.0,0.0,90.0
84685c7ffffffff,142.0,0.0,0.0,68.0
84685c9ffffffff,2.0,0.0,0.0,0.0
84685d1ffffffff,38.0,0.0,0.0,11.0
84685d5ffffffff,7.0,0.0,0.0,0.0
84685d7ffffffff,8.0,0.0,0.0,5.0
84685d9ffffffff,4.0,0.0,0.0,0.0
84685dbffffffff,3.0,0.0,0.0,1.0
84685ddffffffff,1.0,0.0,0.0,0.0
84685e1ffffffff,15.0,0.0,0.0,0.0
84685e3ffffffff,18.0,0.0,0.0,0.0
84685e7ffffffff,146.0,0.0,0.0,91.0
84685e9ffffffff,53.0,0.0,0.0,17.0
84685edffffffff,4.0,0.0,0.0,2.0
8468621ffffffff,28.0,0.0,13.0,0.0
8468625ffffffff,4.0,0.0,2.0,0.0
8468627ffffffff,1.0,0.0,0.0,0.0
8468629ffffffff,2.0,0.0,0.0,0.0
8468633ffffffff,2.0,0.0,0.0,0.0
8468635ffffffff,1.0,0.0,1.0,0.0
8468651ffffffff,13.0,13.0,0.0,0.0
8468657ffffffff,20.0,11.0,0.0,0.0
846865bffffffff,2.0,0.0,0.0,0.0
846865dffffffff,2.0,0.0,0.0,0.0
8468665ffffffff,15.0,0.0,4.0,0.0
846866dffffffff,10.0,0.0,4.0,0.0
84686e9ffffffff,35.0,0.0,0.0,13.0
8468711ffffffff,2.0,0.0,0.0,0.0
8468713ffffffff,2.0,0.0,0.0,0.0
846871bffffffff,18.0,0.0,1.0,0.0
846871dffffffff,2.0,0.0,1.0,0.0
8468751ffffffff,18.0,0.0,12.0,0.0
8468753ffffffff,1.0,0.0,0.0,0.0
846875bffffffff,8.0,0.0,1.0,0.0
8469411ffffffff,7.0,0.0,0.0,0.0
8469413ffffffff,1.0,0.0,0.0,0.0
8469415ffffffff,4.0,0.0,0.0,0.0
8469417ffffffff,3.0,0.0,0.0,0.0
846941dffffffff,7.0,0.0,0.0,0.0
8469433ffffffff,67.0,2.0,0.0,0.0
8469439ffffffff,355.0,23.0,0.0,0.0
846943bffffffff,12.0,0.0,0.0,0.0
8469451ffffffff,9.0,0.0,0.0,0.0
8469457ffffffff,5.0,0.0,0.0,0.0
846945dffffffff,2.0,0.0,0.0,0.0
84694a1ffffffff,1.0,0.0,0.0,0.0
84694a5ffffffff,6.0,0.0,0.0,0.0
84694a9ffffffff,3.0,1.0,0.0,0.0
84694adffffffff,1.0,1.0,0.0,0.0
84694b7ffffffff,4.0,0.0,0.0,0.0
84694c9ffffffff,2.0,0.0,0.0,0.0
84694cdffffffff,21.0,16.0,0.0,0.0
84694e1ffffffff,517.0,82.0,0.0,0.0
84694e5ffffffff,178.0,18.0,0.0,0.0
84694e7ffffffff,19.0,0.0,0.0,0.0
84694e9ffffffff,10.0,0.0,0.0,0.0
84694ebffffffff,4.0,0.0,0.0,0.0
84694edffffffff,370.0,21.0,0.0,0.0
8469583ffffffff,4.0,0.0,0.0,0.0
8469589ffffffff,2.0,0.0,0.0,0.0
846958bffffffff,47.0,1.0,0.0,0.0
8469593ffffffff,21.0,0.0,14.0,0.0
846959dffffffff,7.0,0.0,0.0,0.0
84695c3ffffffff,8.0,0.0,0.0,0.0
84695d1ffffffff,8.0,0.0,0.0,0.0
84695d7ffffffff,2.0,0.0,0.0,0.0
84695dbffffffff,6.0,0.0,0.0,0.0
8469683ffffffff,2.0,0.0,0.0,0.0
8469685ffffffff,51.0,9.0,0.0,0.0
846968bffffffff,2.0,0.0,0.0,0.0
846969dffffffff,2.0,2.0,0.0,0.0
84696a3ffffffff,1.0,0.0,0.0,0.0
84696a9ffffffff,1.0,0.0,0.0,0.0
84696adffffffff,12.0,5.0,0.0,0.0
84696b9ffffffff,1.0,0.0,0.0,0.0
84696c1ffffffff,9.0,2.0,0.0,0.0
84696c3ffffffff,2.0,0.0,0.0,0.0
84696cbffffffff,10.0,1.0,0.0,0.0
84696d7ffffffff,35.0,24.0,0.0,0.0
84696ddffffffff,1.0,0.0,0.0,0.0
84696e3ffffffff,2.0,0.0,0.0,0.0
