cell_id,Aerodramus fuciphagus,Aerodramus fuciphagus germani/amechanus,Aerodramus fuciphagus [fuciphagus Group]
8441497ffffffff,4.0,4.0,0.0
8441685ffffffff,3.0,3.0,0.0
8464a59ffffffff,2.0,2.0,0.0
8464b25ffffffff,2.0,2.0,0.0
8464b29ffffffff,2.0,2.0,0.0
8464b2dffffffff,2.0,2.0,0.0
8464b51ffffffff,2.0,2.0,0.0
8464b59ffffffff,4.0,4.0,0.0
8464b61ffffffff,32.0,32.0,0.0
8464b67ffffffff,55.0,55.0,0.0
8464e49ffffffff,5.0,0.0,5.0
8465005ffffffff,26.0,24.0,0.0
846500bffffffff,16.0,16.0,0.0
846500dffffffff,6.0,6.0,0.0
8465015ffffffff,36.0,36.0,0.0
8465017ffffffff,3.0,3.0,0.0
8465029ffffffff,6.0,6.0,0.0
846502bffffffff,5.0,5.0,0.0
8465033ffffffff,54.0,54.0,0.0
8465037ffffffff,38.0,38.0,0.0
8465039ffffffff,8.0,8.0,0.0
8465055ffffffff,12.0,12.0,0.0
8465059ffffffff,2.0,2.0,0.0
846505dffffffff,2.0,2.0,0.0
8465063ffffffff,2.0,2.0,0.0
8465099ffffffff,1.0,0.0,1.0
84650d5ffffffff,3.0,0.0,3.0
84650d9ffffffff,1.0,0.0,1.0
84650e5ffffffff,8.0,8.0,0.0
8465183ffffffff,11.0,11.0,0.0
8465189ffffffff,76.0,76.0,0.0
846518bffffffff,76.0,76.0,0.0
8465191ffffffff,2.0,2.0,0.0
8465199ffffffff,4.0,4.0,0.0
846519dffffffff,15.0,15.0,0.0
84651c1ffffffff,10.0,10.0,0.0
84651c3ffffffff,12.0,12.0,0.0
84651c9ffffffff,15.0,15.0,0.0
84651d1ffffffff,136.0,136.0,0.0
84651d5ffffffff,4.0,4.0,0.0
84651d7ffffffff,13.0,13.0,0.0
84651d9ffffffff,213.0,213.0,0.0
84651dbffffffff,130.0,130.0,0.0
84651ddffffffff,3.0,3.0,0.0
846520dffffffff,2.0,2.0,0.0
8465227ffffffff,4.0,4.0,0.0
8465231ffffffff,2.0,2.0,0.0
8465233ffffffff,1.0,1.0,0.0
8465237ffffffff,3.0,3.0,0.0
846523dffffffff,4.0,4.0,0.0
8465809ffffffff,4.0,4.0,0.0
846585dffffffff,1.0,1.0,0.0
84658b3ffffffff,1.0,1.0,0.0
846590bffffffff,3.0,3.0,0.0
846802dffffffff,1.0,1.0,0.0
8468189ffffffff,1.0,0.0,1.0
84681c3ffffffff,2.0,2.0,0.0
8468281ffffffff,6.0,5.0,0.0
846856bffffffff,12.0,10.0,0.0
8468589ffffffff,5.0,5.0,0.0
846870dffffffff,2.0,2.0,0.0
8468d05ffffffff,1.0,0.0,1.0
8494159ffffffff,12.0,0.0,10.0
84942c1ffffffff,2.0,0.0,0.0
849451dffffffff,3.0,0.0,0.0
8495a4dffffffff,1.0,0.0,0.0
