cell_id,Catamenia homochroa,Catamenia homochroa oreophila,Catamenia homochroa homochroa,Catamenia homochroa duncani
845f755ffffffff,13.0,0.0,0.0,0.0
8466083ffffffff,2.0,0.0,0.0,0.0
8466095ffffffff,1.0,0.0,0.0,0.0
84660b5ffffffff,4.0,0.0,0.0,0.0
84660b9ffffffff,10.0,0.0,0.0,0.0
84660bbffffffff,8.0,0.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0,0.0
84660d5ffffffff,3.0,0.0,0.0,0.0
8466181ffffffff,8.0,0.0,0.0,0.0
846618bffffffff,11.0,0.0,0.0,0.0
8466191ffffffff,1.0,0.0,0.0,0.0
8466197ffffffff,10.0,0.0,0.0,0.0
84661b1ffffffff,4.0,0.0,0.0,0.0
84661d5ffffffff,24.0,0.0,0.0,0.0
8466207ffffffff,16.0,0.0,0.0,0.0
8466217ffffffff,438.0,0.0,0.0,0.0
846622bffffffff,430.0,0.0,0.0,0.0
846623dffffffff,10.0,0.0,0.0,0.0
8466291ffffffff,3.0,0.0,0.0,0.0
8466299ffffffff,6.0,0.0,0.0,0.0
84662b1ffffffff,3.0,0.0,0.0,0.0
84662d3ffffffff,3.0,0.0,0.0,0.0
8466c25ffffffff,2.0,0.0,0.0,0.0
8466c45ffffffff,2.0,0.0,0.0,0.0
8466c47ffffffff,1.0,0.0,0.0,0.0
8466c61ffffffff,8.0,0.0,0.0,0.0
8466c69ffffffff,12.0,0.0,0.0,0.0
8466d15ffffffff,7.0,0.0,0.0,0.0
8466d19ffffffff,2.0,0.0,0.0,0.0
8466d1dffffffff,5.0,0.0,0.0,0.0
8466d31ffffffff,38.0,0.0,0.0,0.0
8466d33ffffffff,123.0,0.0,0.0,0.0
8466d37ffffffff,2.0,0.0,0.0,0.0
8466d3bffffffff,2.0,0.0,0.0,0.0
8466d53ffffffff,16.0,0.0,0.0,0.0
8466d57ffffffff,4.0,0.0,0.0,0.0
8466da5ffffffff,2.0,0.0,0.0,0.0
8466de5ffffffff,82.0,0.0,0.0,0.0
8466dedffffffff,62.0,0.0,0.0,0.0
8466e09ffffffff,95.0,0.0,0.0,0.0
8466e2dffffffff,7.0,0.0,0.0,0.0
8466e41ffffffff,21.0,0.0,0.0,0.0
8466e43ffffffff,60.0,0.0,0.0,0.0
8466e4bffffffff,2.0,0.0,0.0,0.0
8466e55ffffffff,11.0,0.0,0.0,0.0
8466e61ffffffff,132.0,0.0,0.0,0.0
8466e65ffffffff,217.0,0.0,0.0,0.0
8466e67ffffffff,257.0,0.0,0.0,0.0
8466e69ffffffff,6.0,0.0,0.0,0.0
8466e6dffffffff,1442.0,0.0,0.0,0.0
8466f19ffffffff,3.0,0.0,0.0,0.0
8466f53ffffffff,9.0,0.0,0.0,0.0
848b2c9ffffffff,2.0,0.0,0.0,0.0
848b2cdffffffff,9.0,0.0,0.0,0.0
848b611ffffffff,11.0,0.0,0.0,0.0
848b613ffffffff,1.0,0.0,0.0,0.0
848b617ffffffff,17.0,0.0,0.0,0.0
848b61bffffffff,9.0,0.0,0.0,0.0
848b6c5ffffffff,2.0,0.0,0.0,0.0
848b6cdffffffff,48.0,0.0,0.0,0.0
848b759ffffffff,1.0,0.0,0.0,0.0
848e609ffffffff,5.0,0.0,0.0,0.0
848e60dffffffff,2.0,0.0,0.0,0.0
848e651ffffffff,8.0,0.0,0.0,0.0
848e655ffffffff,8.0,0.0,0.0,0.0
848e657ffffffff,3.0,0.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,0.0,0.0
848f291ffffffff,3.0,0.0,0.0,0.0
848f297ffffffff,1.0,0.0,0.0,0.0
848f2d1ffffffff,1.0,0.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0,0.0
848f2d7ffffffff,3.0,0.0,0.0,0.0
848f2d9ffffffff,4.0,0.0,0.0,0.0
848f42dffffffff,2.0,0.0,0.0,0.0
848f465ffffffff,2.0,0.0,0.0,0.0
848f4a5ffffffff,24.0,0.0,0.0,0.0
848f519ffffffff,4.0,0.0,0.0,0.0
848f51dffffffff,5.0,0.0,0.0,0.0
848f54bffffffff,1.0,0.0,0.0,0.0
848f54dffffffff,8.0,0.0,0.0,0.0
848f553ffffffff,14.0,0.0,0.0,0.0
848f559ffffffff,2.0,0.0,0.0,0.0
848f55bffffffff,7.0,0.0,0.0,0.0
848f59bffffffff,5.0,0.0,0.0,0.0
848f721ffffffff,16.0,0.0,0.0,0.0
848f725ffffffff,2.0,0.0,0.0,0.0
848f727ffffffff,3.0,0.0,0.0,0.0
848f72dffffffff,3.0,0.0,0.0,0.0
848f761ffffffff,4.0,0.0,0.0,0.0
848f765ffffffff,8.0,0.0,0.0,0.0
848f767ffffffff,39.0,0.0,0.0,0.0
848f76dffffffff,14.0,0.0,0.0,0.0
84b3219ffffffff,5.0,0.0,0.0,0.0
84b3253ffffffff,1.0,0.0,0.0,0.0
84b3257ffffffff,3.0,0.0,0.0,0.0
