cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
830153fffffffff,4.0,0.0,0.0,0.0
8306ddfffffffff,1.0,0.0,0.0,0.0
830741fffffffff,1.0,0.0,1.0,0.0
830746fffffffff,2.0,0.0,2.0,0.0
83075cfffffffff,5.0,2.0,1.0,0.0
83075dfffffffff,12.0,2.0,10.0,0.0
83075efffffffff,5.0,0.0,5.0,0.0
830762fffffffff,4.0,0.0,1.0,0.0
830773fffffffff,9.0,1.0,8.0,0.0
830815fffffffff,2.0,0.0,0.0,0.0
830884fffffffff,4.0,0.0,4.0,0.0
830886fffffffff,2.0,0.0,2.0,0.0
83089dfffffffff,2.0,0.0,2.0,0.0
8308b0fffffffff,1.0,0.0,1.0,0.0
8308c3fffffffff,1.0,0.0,1.0,0.0
8308c9fffffffff,2.0,0.0,0.0,0.0
830982fffffffff,2.0,0.0,2.0,0.0
830999fffffffff,5.0,0.0,5.0,0.0
830c14fffffffff,53.0,36.0,5.0,12.0
830c41fffffffff,15.0,0.0,0.0,0.0
830c42fffffffff,9.0,2.0,0.0,2.0
830c46fffffffff,4.0,0.0,2.0,0.0
830c50fffffffff,7.0,0.0,7.0,0.0
830c51fffffffff,46.0,13.0,16.0,17.0
830c5afffffffff,70.0,27.0,29.0,2.0
830c60fffffffff,1.0,0.0,1.0,0.0
830c62fffffffff,5.0,0.0,5.0,0.0
830c63fffffffff,6.0,0.0,6.0,0.0
830c66fffffffff,5.0,0.0,5.0,0.0
830c71fffffffff,1.0,0.0,1.0,0.0
830c73fffffffff,56.0,15.0,7.0,6.0
830c74fffffffff,4.0,0.0,4.0,0.0
830c75fffffffff,5.0,1.0,4.0,0.0
830ca4fffffffff,9.0,1.0,3.0,0.0
830cdefffffffff,2.0,0.0,0.0,0.0
830ceafffffffff,2.0,0.0,0.0,0.0
830ceefffffffff,16.0,0.0,0.0,0.0
830cf4fffffffff,2.0,0.0,0.0,0.0
830d03fffffffff,12.0,6.0,3.0,3.0
830d0cfffffffff,2.0,0.0,2.0,0.0
830d0dfffffffff,2.0,0.0,2.0,0.0
830d52fffffffff,2.0,0.0,2.0,0.0
830d53fffffffff,1.0,0.0,1.0,0.0
830d56fffffffff,1.0,0.0,1.0,0.0
830d58fffffffff,2.0,0.0,0.0,0.0
830d5afffffffff,13.0,0.0,11.0,0.0
830d5efffffffff,3.0,0.0,3.0,0.0
830d76fffffffff,3.0,0.0,3.0,0.0
