cell_id,Pycnonotus barbatus,Pycnonotus barbatus [barbatus Group],Pycnonotus barbatus somaliensis,Pycnonotus barbatus dodsoni,Pycnonotus barbatus [tricolor Group]
82382ffffffffff,5.0,0.0,0.0,0.0,0.0
823867fffffffff,38.0,13.0,0.0,0.0,0.0
823877fffffffff,20.0,3.0,0.0,0.0,0.0
82391ffffffffff,58.0,1.0,0.0,0.0,0.0
823997fffffffff,2.0,2.0,0.0,0.0,0.0
8254e7fffffffff,2.0,0.0,0.0,0.0,0.0
826a47fffffffff,4.0,0.0,0.0,0.0,0.0
826ac7fffffffff,4.0,0.0,0.0,0.0,0.0
826acffffffffff,3.0,0.0,0.0,0.0,3.0
826adffffffffff,1.0,0.0,0.0,0.0,0.0
827a47fffffffff,4.0,0.0,0.0,3.0,1.0
827a4ffffffffff,7.0,0.0,0.0,5.0,2.0
827a67fffffffff,24.0,0.0,0.0,24.0,0.0
827a6ffffffffff,4.0,0.0,0.0,1.0,1.0
827b4ffffffffff,192.0,0.0,0.0,0.0,82.0
827b5ffffffffff,10.0,0.0,0.0,10.0,0.0
827b6ffffffffff,6.0,0.0,0.0,0.0,0.0
8282a7fffffffff,7.0,0.0,0.0,0.0,7.0
8282f7fffffffff,8.0,8.0,0.0,0.0,0.0
829637fffffffff,1.0,1.0,0.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0,0.0,2.0
82972ffffffffff,1.0,0.0,0.0,0.0,1.0
829757fffffffff,1.0,0.0,0.0,0.0,0.0
82ad97fffffffff,1.0,0.0,0.0,0.0,1.0
82bc0ffffffffff,4.0,0.0,0.0,0.0,4.0
82bc1ffffffffff,48.0,0.0,0.0,0.0,48.0
82bc8ffffffffff,4.0,0.0,0.0,0.0,2.0
82bcc7fffffffff,5.0,0.0,0.0,0.0,5.0
82bccffffffffff,1.0,0.0,0.0,0.0,1.0
82bcd7fffffffff,22.0,0.0,0.0,0.0,22.0
82bcdffffffffff,3.0,0.0,0.0,0.0,3.0
82bce7fffffffff,23.0,0.0,0.0,0.0,23.0
82bcf7fffffffff,10.0,0.0,0.0,0.0,10.0
