cell_id,Tachyspiza badia,Tachyspiza badia sphenura/polyzonoides,Tachyspiza badia [badia Group]
83200afffffffff,37.0,0.0,0.0
83200efffffffff,3.0,0.0,0.0
832010fffffffff,7.0,0.0,0.0
832012fffffffff,7.0,0.0,0.0
832013fffffffff,1.0,0.0,0.0
832016fffffffff,2.0,0.0,0.0
832018fffffffff,2.0,0.0,0.0
832019fffffffff,4.0,0.0,0.0
83201dfffffffff,20.0,0.0,0.0
83204afffffffff,1.0,0.0,0.0
83205bfffffffff,31.0,0.0,0.0
832084fffffffff,6.0,0.0,0.0
83209afffffffff,48.0,0.0,0.0
83209cfffffffff,1.0,0.0,0.0
83209efffffffff,2.0,0.0,0.0
8320a0fffffffff,2.0,0.0,0.0
8320a2fffffffff,4.0,0.0,0.0
8320a5fffffffff,9.0,0.0,0.0
8320a6fffffffff,7.0,0.0,0.0
8320adfffffffff,1.0,0.0,0.0
8320b1fffffffff,3.0,0.0,0.0
8320e0fffffffff,17.0,0.0,0.0
8320e3fffffffff,3.0,0.0,0.0
8320e4fffffffff,2.0,0.0,0.0
8320e6fffffffff,32.0,0.0,0.0
8320eefffffffff,8.0,0.0,0.0
832152fffffffff,3.0,0.0,0.0
832182fffffffff,1.0,0.0,0.0
83218bfffffffff,2.0,0.0,0.0
832198fffffffff,7.0,0.0,0.0
83219bfffffffff,2.0,0.0,0.0
83219cfffffffff,4.0,0.0,0.0
8321a2fffffffff,2.0,0.0,0.0
8321b5fffffffff,2.0,0.0,0.0
8325a4fffffffff,2.0,0.0,0.0
8325b4fffffffff,2.0,0.0,0.0
832c19fffffffff,17.0,0.0,0.0
832c1dfffffffff,2.0,0.0,0.0
832c42fffffffff,1.0,0.0,0.0
832c83fffffffff,9.0,0.0,0.0
832c8efffffffff,1.0,0.0,0.0
832c90fffffffff,52.0,0.0,1.0
832c93fffffffff,65.0,0.0,4.0
832c98fffffffff,3.0,0.0,0.0
832c9cfffffffff,7.0,0.0,0.0
832c9dfffffffff,2.0,0.0,0.0
832cabfffffffff,2.0,0.0,0.0
832cacfffffffff,2.0,0.0,0.0
832cc0fffffffff,238.0,0.0,0.0
832cc1fffffffff,5.0,0.0,0.0
832cc2fffffffff,10.0,0.0,0.0
832cc3fffffffff,14.0,0.0,0.0
832cc6fffffffff,12.0,0.0,0.0
832ccafffffffff,4.0,0.0,0.0
832ccbfffffffff,7.0,0.0,0.0
832ccefffffffff,14.0,0.0,0.0
832cd4fffffffff,2.0,0.0,0.0
832cd5fffffffff,2.0,0.0,0.0
832cd9fffffffff,1.0,0.0,0.0
832cdcfffffffff,3.0,0.0,0.0
832cddfffffffff,20.0,0.0,0.0
832ce6fffffffff,2.0,0.0,0.0
832cf0fffffffff,5.0,0.0,0.0
832cf1fffffffff,9.0,0.0,0.0
832cf2fffffffff,2.0,0.0,0.0
832cf3fffffffff,173.0,0.0,0.0
832cf5fffffffff,12.0,0.0,0.0
833c02fffffffff,621.0,0.0,46.0
833c06fffffffff,5.0,0.0,0.0
833c0afffffffff,43.0,0.0,0.0
833c0bfffffffff,15.0,0.0,0.0
833c11fffffffff,41.0,0.0,0.0
833c13fffffffff,45.0,0.0,0.0
833c14fffffffff,5.0,0.0,0.0
833c15fffffffff,138.0,0.0,0.0
833c16fffffffff,20.0,0.0,0.0
833c18fffffffff,16.0,0.0,0.0
833c19fffffffff,218.0,0.0,0.0
833c1afffffffff,17.0,0.0,0.0
833c1bfffffffff,96.0,0.0,0.0
833c1cfffffffff,309.0,0.0,0.0
833c1dfffffffff,61.0,0.0,0.0
833c1efffffffff,45.0,0.0,0.0
833c30fffffffff,2.0,0.0,0.0
833c31fffffffff,3.0,0.0,0.0
833c32fffffffff,4.0,0.0,0.0
833c33fffffffff,98.0,0.0,0.0
833c34fffffffff,4.0,0.0,0.0
833c36fffffffff,26.0,0.0,0.0
833c52fffffffff,34.0,0.0,0.0
833c53fffffffff,2.0,0.0,0.0
833c58fffffffff,37.0,0.0,0.0
833c5afffffffff,86.0,0.0,0.0
833c5efffffffff,6.0,0.0,0.0
833c80fffffffff,111.0,0.0,0.0
833c82fffffffff,6.0,0.0,0.0
833c83fffffffff,52.0,0.0,0.0
833c84fffffffff,16.0,0.0,0.0
833c85fffffffff,12.0,0.0,0.0
833c88fffffffff,66.0,0.0,0.0
833c89fffffffff,110.0,0.0,2.0
833c8afffffffff,5.0,0.0,0.0
833c8cfffffffff,135.0,0.0,0.0
833c8dfffffffff,220.0,0.0,0.0
833c8efffffffff,542.0,0.0,0.0
833c90fffffffff,62.0,0.0,0.0
833c91fffffffff,19.0,0.0,0.0
833c92fffffffff,307.0,0.0,0.0
833c93fffffffff,429.0,0.0,0.0
833c94fffffffff,166.0,0.0,0.0
833c95fffffffff,21.0,0.0,0.0
833c96fffffffff,37.0,0.0,0.0
833c9cfffffffff,20.0,0.0,0.0
833c9dfffffffff,64.0,0.0,0.0
833c9efffffffff,41.0,0.0,0.0
833ca0fffffffff,15.0,0.0,0.0
833ca1fffffffff,4.0,0.0,0.0
833ca2fffffffff,116.0,0.0,0.0
833ca3fffffffff,10.0,0.0,0.0
833ca4fffffffff,40.0,0.0,0.0
833ca5fffffffff,12.0,0.0,0.0
833ca6fffffffff,7.0,0.0,0.0
833ca8fffffffff,109.0,0.0,0.0
833ca9fffffffff,342.0,0.0,0.0
833cabfffffffff,163.0,0.0,0.0
833cacfffffffff,8.0,0.0,0.0
833cadfffffffff,13.0,0.0,0.0
833caefffffffff,9.0,0.0,0.0
833cb0fffffffff,94.0,0.0,0.0
833cb1fffffffff,2257.0,0.0,0.0
833cb2fffffffff,13.0,0.0,0.0
833cb3fffffffff,141.0,0.0,0.0
833cb4fffffffff,213.0,0.0,0.0
833cb5fffffffff,427.0,0.0,0.0
833cb6fffffffff,229.0,0.0,0.0
833cc0fffffffff,22.0,0.0,0.0
833cc2fffffffff,36.0,0.0,0.0
833cc4fffffffff,160.0,0.0,0.0
833cc5fffffffff,73.0,0.0,0.0
833cc6fffffffff,61.0,0.0,0.0
833ccbfffffffff,3.0,0.0,0.0
833cd1fffffffff,3.0,0.0,0.0
833cd4fffffffff,43.0,0.0,0.0
833cd8fffffffff,23.0,0.0,0.0
833cd9fffffffff,33.0,0.0,0.0
833cdbfffffffff,10.0,0.0,0.0
833cdcfffffffff,8.0,0.0,4.0
833cddfffffffff,4.0,0.0,0.0
833ce0fffffffff,13.0,0.0,0.0
833ce1fffffffff,209.0,0.0,0.0
833ce2fffffffff,8.0,0.0,0.0
833ce3fffffffff,11.0,0.0,0.0
833ce4fffffffff,62.0,0.0,0.0
833ce5fffffffff,171.0,0.0,0.0
833ce8fffffffff,7.0,0.0,0.0
833ceafffffffff,8.0,0.0,0.0
833cecfffffffff,378.0,0.0,0.0
833cedfffffffff,28.0,0.0,0.0
833ceefffffffff,5.0,0.0,0.0
833cf0fffffffff,125.0,0.0,0.0
833cf1fffffffff,132.0,0.0,0.0
833cf2fffffffff,1841.0,0.0,64.0
833cf3fffffffff,59.0,0.0,6.0
