cell_id,Pycnonotus simplex,Pycnonotus simplex simplex/halizonus,Pycnonotus simplex prillwitzi/perplexus
846430bffffffff,3.0,0.0,0.0
8464319ffffffff,19.0,4.0,0.0
846431dffffffff,1.0,0.0,0.0
8464323ffffffff,11.0,6.0,0.0
846433dffffffff,1.0,0.0,0.0
8464343ffffffff,24.0,5.0,0.0
846434bffffffff,2.0,0.0,0.0
8464353ffffffff,1.0,1.0,0.0
8464359ffffffff,86.0,17.0,0.0
8465005ffffffff,78.0,0.0,0.0
8465009ffffffff,14.0,0.0,0.0
846500bffffffff,24.0,0.0,0.0
8465017ffffffff,6.0,0.0,0.0
8465019ffffffff,1.0,0.0,0.0
846501dffffffff,4.0,0.0,0.0
8465023ffffffff,2.0,0.0,0.0
8465029ffffffff,6.0,0.0,0.0
846502bffffffff,56.0,0.0,0.0
846502dffffffff,20.0,0.0,0.0
8465031ffffffff,8.0,0.0,0.0
8465033ffffffff,37.0,0.0,0.0
8465037ffffffff,20.0,0.0,0.0
8465039ffffffff,2.0,0.0,0.0
846503bffffffff,9.0,0.0,0.0
846504bffffffff,2.0,0.0,0.0
8465051ffffffff,60.0,0.0,0.0
8465055ffffffff,42.0,0.0,0.0
8465057ffffffff,12.0,0.0,0.0
846505dffffffff,43.0,0.0,0.0
8465063ffffffff,24.0,0.0,0.0
8465069ffffffff,2.0,0.0,0.0
8465183ffffffff,10.0,1.0,0.0
8465189ffffffff,26.0,0.0,0.0
846518bffffffff,14.0,2.0,0.0
84651b1ffffffff,6.0,2.0,0.0
84651b3ffffffff,11.0,4.0,0.0
84651c1ffffffff,2.0,0.0,0.0
84651c3ffffffff,3.0,0.0,0.0
84651c9ffffffff,47.0,12.0,0.0
84651cdffffffff,174.0,22.0,0.0
84651d9ffffffff,1.0,0.0,0.0
84651ddffffffff,2.0,0.0,0.0
8465205ffffffff,3.0,0.0,0.0
846520bffffffff,1.0,0.0,0.0
846520dffffffff,187.0,0.0,0.0
8465221ffffffff,47.0,0.0,0.0
8465223ffffffff,19.0,0.0,0.0
8465225ffffffff,78.0,0.0,0.0
8465227ffffffff,27.0,0.0,0.0
8465229ffffffff,522.0,0.0,0.0
846522dffffffff,3.0,0.0,0.0
8465237ffffffff,6.0,0.0,0.0
8465257ffffffff,29.0,0.0,0.0
8465263ffffffff,34.0,0.0,0.0
8465267ffffffff,1.0,0.0,0.0
84652cdffffffff,9.0,0.0,0.0
84652d9ffffffff,2.0,0.0,0.0
8465501ffffffff,1.0,0.0,0.0
8465545ffffffff,6.0,0.0,0.0
846556bffffffff,2.0,0.0,0.0
8465707ffffffff,3.0,0.0,0.0
8465721ffffffff,1.0,0.0,0.0
8468025ffffffff,17.0,0.0,0.0
8468101ffffffff,14.0,0.0,5.0
8468107ffffffff,2.0,0.0,0.0
8468111ffffffff,4.0,0.0,1.0
8468115ffffffff,1.0,0.0,0.0
846811bffffffff,73.0,0.0,1.0
846811dffffffff,1.0,0.0,1.0
8468123ffffffff,20.0,0.0,1.0
8468125ffffffff,7.0,0.0,0.0
8468129ffffffff,3.0,0.0,0.0
8468157ffffffff,9.0,0.0,0.0
8468181ffffffff,3.0,0.0,0.0
8468185ffffffff,15.0,0.0,0.0
8468189ffffffff,62.0,0.0,14.0
846818bffffffff,1.0,0.0,0.0
846818dffffffff,175.0,0.0,17.0
846819dffffffff,36.0,0.0,0.0
84681a9ffffffff,17.0,0.0,0.0
84681c3ffffffff,411.0,0.0,25.0
84681c5ffffffff,28.0,0.0,1.0
84681cbffffffff,1.0,0.0,0.0
84681d5ffffffff,30.0,0.0,0.0
84681e3ffffffff,3.0,0.0,0.0
84681e5ffffffff,1.0,0.0,0.0
84681edffffffff,6.0,0.0,0.0
8468817ffffffff,1.0,0.0,0.0
8468833ffffffff,1.0,0.0,0.0
8468889ffffffff,5.0,0.0,0.0
84688adffffffff,8.0,0.0,7.0
84689a1ffffffff,2.0,0.0,0.0
84689a3ffffffff,2.0,0.0,0.0
8468a0dffffffff,1.0,0.0,0.0
8468a47ffffffff,3.0,0.0,1.0
8468a51ffffffff,16.0,0.0,2.0
8468a5bffffffff,2.0,0.0,0.0
8468a63ffffffff,4.0,0.0,0.0
8468aa3ffffffff,5.0,0.0,0.0
8468ab3ffffffff,2.0,0.0,0.0
8468ab5ffffffff,4.0,0.0,0.0
8468ab7ffffffff,5.0,0.0,0.0
8468ac9ffffffff,10.0,0.0,1.0
8468b09ffffffff,1.0,0.0,0.0
8468b55ffffffff,6.0,0.0,0.0
8468b57ffffffff,1.0,0.0,0.0
84699a5ffffffff,14.0,0.0,3.0
848c101ffffffff,36.0,0.0,0.0
848c103ffffffff,2.0,0.0,0.0
848c107ffffffff,3.0,0.0,0.0
848c13bffffffff,20.0,0.0,0.0
848c1a7ffffffff,8.0,0.0,0.0
848c92dffffffff,2.0,0.0,0.0
848c961ffffffff,6.0,0.0,0.0
848c965ffffffff,8.0,0.0,0.0
848c967ffffffff,16.0,0.0,1.0
848cad5ffffffff,44.0,0.0,0.0
848caddffffffff,25.0,2.0,0.0
848cb3dffffffff,1.0,0.0,0.0
848cd23ffffffff,3.0,0.0,0.0
848cd3dffffffff,2.0,0.0,0.0
848cd55ffffffff,6.0,0.0,0.0
848cd61ffffffff,2.0,1.0,0.0
848d889ffffffff,1.0,0.0,0.0
848d88bffffffff,1.0,0.0,0.0
848da35ffffffff,4.0,0.0,0.0
848da37ffffffff,3.0,0.0,0.0
848da67ffffffff,27.0,0.0,0.0
848db53ffffffff,1.0,0.0,0.0
