cell_id,Myrmecocichla arnotti,Myrmecocichla arnotti harterti,Myrmecocichla arnotti arnotti,Myrmecocichla arnotti collaris
836ad8fffffffff,113.0,0.0,0.0,103.0
836ad9fffffffff,3.0,0.0,0.0,3.0
836adafffffffff,12.0,0.0,0.0,10.0
836adcfffffffff,10.0,0.0,0.0,10.0
836addfffffffff,49.0,0.0,0.0,45.0
836adefffffffff,42.0,0.0,0.0,21.0
837b4dfffffffff,1.0,0.0,0.0,0.0
839600fffffffff,14.0,0.0,0.0,0.0
839601fffffffff,10.0,0.0,0.0,0.0
839602fffffffff,6.0,0.0,0.0,0.0
839604fffffffff,5.0,0.0,0.0,0.0
839609fffffffff,4.0,0.0,0.0,0.0
83960bfffffffff,5.0,0.0,0.0,0.0
83960efffffffff,4.0,0.0,0.0,0.0
839610fffffffff,2.0,0.0,0.0,0.0
839612fffffffff,1.0,0.0,0.0,0.0
839614fffffffff,1.0,0.0,0.0,0.0
839615fffffffff,1.0,0.0,0.0,0.0
839616fffffffff,1.0,0.0,0.0,0.0
839619fffffffff,1.0,0.0,0.0,0.0
839620fffffffff,19.0,0.0,0.0,0.0
839621fffffffff,2.0,0.0,0.0,0.0
839622fffffffff,1.0,0.0,0.0,0.0
839623fffffffff,61.0,0.0,0.0,0.0
839626fffffffff,8.0,0.0,0.0,0.0
839628fffffffff,56.0,0.0,0.0,0.0
839629fffffffff,7.0,0.0,0.0,0.0
83962afffffffff,1.0,0.0,0.0,0.0
83962bfffffffff,9.0,0.0,0.0,0.0
83962cfffffffff,48.0,0.0,9.0,0.0
83962dfffffffff,16.0,0.0,0.0,0.0
83962efffffffff,12.0,0.0,0.0,0.0
839631fffffffff,3.0,0.0,0.0,0.0
839632fffffffff,1.0,0.0,0.0,0.0
839635fffffffff,2.0,0.0,0.0,0.0
839636fffffffff,1.0,0.0,0.0,0.0
839670fffffffff,5.0,0.0,0.0,0.0
839675fffffffff,2.0,0.0,0.0,0.0
839680fffffffff,1.0,0.0,0.0,1.0
839685fffffffff,1.0,0.0,0.0,1.0
839688fffffffff,2.0,0.0,0.0,0.0
83968cfffffffff,1.0,0.0,0.0,0.0
8396a5fffffffff,6.0,0.0,0.0,0.0
8396a8fffffffff,2.0,0.0,0.0,0.0
8396a9fffffffff,1.0,0.0,0.0,0.0
8396b0fffffffff,44.0,0.0,0.0,12.0
8396b1fffffffff,4.0,0.0,0.0,4.0
8396b6fffffffff,7.0,0.0,0.0,0.0
8396e4fffffffff,5.0,0.0,0.0,0.0
839701fffffffff,2.0,0.0,0.0,0.0
839705fffffffff,5.0,0.0,0.0,0.0
839711fffffffff,10.0,0.0,0.0,0.0
83971dfffffffff,1.0,0.0,0.0,0.0
839728fffffffff,9.0,0.0,1.0,0.0
839729fffffffff,2.0,0.0,0.0,0.0
83972cfffffffff,10.0,0.0,0.0,0.0
83972dfffffffff,3.0,0.0,0.0,0.0
83972efffffffff,32.0,0.0,9.0,0.0
839741fffffffff,18.0,0.0,0.0,0.0
839743fffffffff,97.0,0.0,6.0,0.0
83974afffffffff,3.0,0.0,0.0,0.0
83974bfffffffff,8.0,0.0,0.0,0.0
83974efffffffff,8.0,0.0,2.0,0.0
839750fffffffff,13.0,0.0,0.0,0.0
839751fffffffff,4.0,0.0,0.0,0.0
839753fffffffff,7.0,0.0,0.0,0.0
839755fffffffff,8.0,0.0,0.0,0.0
839758fffffffff,5.0,0.0,0.0,0.0
83975cfffffffff,25.0,0.0,0.0,0.0
83975dfffffffff,9.0,0.0,0.0,0.0
83975efffffffff,2.0,0.0,0.0,0.0
839782fffffffff,2.0,0.0,0.0,0.0
839788fffffffff,1.0,0.0,0.0,0.0
83978bfffffffff,10.0,0.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0,0.0
83978efffffffff,2.0,0.0,0.0,0.0
839791fffffffff,2.0,0.0,0.0,0.0
8397a8fffffffff,21.0,0.0,0.0,0.0
8397aafffffffff,19.0,0.0,0.0,0.0
83ac93fffffffff,1.0,0.0,0.0,0.0
83ac96fffffffff,3.0,0.0,0.0,0.0
