cell_id,Nyctiprogne leucopyga,Nyctiprogne leucopyga [leucopyga Group],Nyctiprogne leucopyga latifascia
835f12fffffffff,8.0,0.0,0.0
835f29fffffffff,167.0,0.0,0.0
835f2bfffffffff,3.0,0.0,0.0
835f2dfffffffff,4.0,0.0,0.0
835f43fffffffff,2.0,0.0,0.0
835f68fffffffff,4.0,0.0,0.0
836609fffffffff,1.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0
836641fffffffff,84.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836648fffffffff,1.0,0.0,0.0
83664cfffffffff,1.0,0.0,0.0
836650fffffffff,1.0,0.0,0.0
836652fffffffff,34.0,0.0,0.0
836654fffffffff,52.0,0.0,0.0
836656fffffffff,23.0,0.0,0.0
83665afffffffff,57.0,0.0,0.0
83665bfffffffff,9.0,0.0,0.0
836660fffffffff,7.0,0.0,0.0
836661fffffffff,1.0,0.0,0.0
836663fffffffff,4.0,0.0,0.0
836664fffffffff,9.0,0.0,0.0
83666efffffffff,13.0,0.0,0.0
836670fffffffff,2.0,0.0,0.0
836671fffffffff,3.0,0.0,0.0
836672fffffffff,70.0,0.0,0.0
836673fffffffff,27.0,0.0,0.0
836674fffffffff,3.0,0.0,0.0
836675fffffffff,43.0,3.0,0.0
836676fffffffff,2.0,0.0,0.0
8366cefffffffff,10.0,0.0,0.0
8366e1fffffffff,11.0,0.0,0.0
8366e3fffffffff,6.0,0.0,0.0
8366e5fffffffff,1.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0
8366ecfffffffff,18.0,0.0,0.0
83674efffffffff,4.0,0.0,0.0
836759fffffffff,14.0,0.0,0.0
83675bfffffffff,4.0,0.0,0.0
83800cfffffffff,1.0,0.0,0.0
83802bfffffffff,12.0,0.0,0.0
838140fffffffff,3.0,0.0,0.0
838145fffffffff,25.0,0.0,0.0
838146fffffffff,4.0,0.0,0.0
83814dfffffffff,17.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
838162fffffffff,31.0,0.0,0.0
838163fffffffff,96.0,0.0,0.0
838a12fffffffff,2.0,0.0,0.0
838a13fffffffff,2.0,0.0,0.0
838a1afffffffff,4.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0
838a45fffffffff,19.0,0.0,0.0
838a52fffffffff,1.0,0.0,0.0
838a58fffffffff,1.0,0.0,0.0
838a63fffffffff,17.0,0.0,0.0
838a6dfffffffff,41.0,0.0,0.0
838a80fffffffff,9.0,0.0,0.0
838a81fffffffff,6.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838a8cfffffffff,2.0,0.0,0.0
838a92fffffffff,2.0,0.0,0.0
838a9cfffffffff,6.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0
838aa8fffffffff,13.0,0.0,0.0
838aaafffffffff,57.0,0.0,0.0
838aabfffffffff,17.0,0.0,0.0
838aacfffffffff,8.0,0.0,0.0
838aadfffffffff,10.0,0.0,0.0
838ac4fffffffff,1.0,0.0,0.0
838ad1fffffffff,30.0,0.0,0.0
838adafffffffff,10.0,0.0,0.0
838adcfffffffff,18.0,0.0,0.0
838ae2fffffffff,1.0,0.0,0.0
838af0fffffffff,101.0,0.0,0.0
838af1fffffffff,25.0,0.0,0.0
838af4fffffffff,24.0,0.0,0.0
838af6fffffffff,19.0,0.0,0.0
838b08fffffffff,3.0,0.0,0.0
838b0cfffffffff,10.0,0.0,0.0
838b0dfffffffff,5.0,0.0,0.0
838b10fffffffff,2.0,0.0,0.0
838b1cfffffffff,4.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b56fffffffff,1.0,0.0,0.0
838b72fffffffff,3.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0
838b9dfffffffff,1.0,0.0,0.0
838ba0fffffffff,4.0,0.0,0.0
838ba6fffffffff,1.0,0.0,0.0
838bb5fffffffff,2.0,0.0,0.0
838f61fffffffff,10.0,0.0,0.0
838f63fffffffff,2.0,0.0,0.0
838f65fffffffff,2.0,0.0,0.0
838f6efffffffff,10.0,0.0,0.0
83a840fffffffff,11.0,0.0,0.0
83a841fffffffff,9.0,0.0,0.0
83a842fffffffff,6.0,0.0,0.0
83a843fffffffff,3.0,0.0,0.0
83a845fffffffff,11.0,0.0,0.0
83a846fffffffff,1.0,0.0,0.0
83a84afffffffff,3.0,0.0,0.0
83a84efffffffff,6.0,0.0,0.0
83a859fffffffff,646.0,0.0,0.0
83a85bfffffffff,5.0,0.0,0.0
83a85dfffffffff,678.0,0.0,0.0
83a863fffffffff,5.0,0.0,0.0
83a8ccfffffffff,5.0,0.0,0.0
83a8cefffffffff,1.0,0.0,0.0
