cell_id,Colaptes melanochloros,Colaptes melanochloros melanochloros/nattereri,Colaptes melanochloros [melanolaimus Group]
828007fffffffff,4.0,0.0,0.0
82800ffffffffff,3.0,1.0,0.0
828017fffffffff,274.0,13.0,0.0
828027fffffffff,7.0,0.0,0.0
828037fffffffff,73.0,0.0,0.0
828047fffffffff,8.0,0.0,0.0
828107fffffffff,47.0,1.0,0.0
82810ffffffffff,3.0,0.0,0.0
828117fffffffff,16.0,1.0,0.0
82811ffffffffff,21.0,0.0,0.0
828127fffffffff,59.0,1.0,0.0
82812ffffffffff,9.0,0.0,0.0
828137fffffffff,189.0,4.0,0.0
828147fffffffff,20.0,0.0,0.0
82814ffffffffff,102.0,1.0,0.0
828157fffffffff,1.0,0.0,0.0
82815ffffffffff,16.0,0.0,0.0
828167fffffffff,18.0,0.0,0.0
828177fffffffff,32.0,0.0,0.0
828187fffffffff,85.0,4.0,0.0
82818ffffffffff,65.0,9.0,0.0
82819ffffffffff,19.0,0.0,0.0
8281a7fffffffff,22.0,3.0,0.0
8281affffffffff,32.0,1.0,0.0
828b0ffffffffff,7.0,0.0,0.0
828b17fffffffff,4.0,0.0,0.0
828b27fffffffff,193.0,0.0,0.0
828b2ffffffffff,212.0,0.0,0.0
828b37fffffffff,16.0,0.0,0.0
828b47fffffffff,1.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828ba7fffffffff,61.0,0.0,0.0
828bb7fffffffff,248.0,11.0,0.0
82a597fffffffff,25.0,0.0,0.0
82a807fffffffff,409.0,19.0,0.0
82a80ffffffffff,59.0,0.0,0.0
82a817fffffffff,2776.0,78.0,0.0
82a81ffffffffff,1943.0,3.0,0.0
82a827fffffffff,98.0,4.0,0.0
82a82ffffffffff,117.0,0.0,0.0
82a837fffffffff,69.0,6.0,0.0
82a847fffffffff,366.0,6.0,0.0
82a84ffffffffff,1.0,0.0,0.0
82a857fffffffff,81.0,6.0,0.0
82a85ffffffffff,578.0,15.0,0.0
82a867fffffffff,47.0,0.0,0.0
82a86ffffffffff,32.0,0.0,0.0
82a877fffffffff,54.0,0.0,0.0
82a887fffffffff,178.0,5.0,0.0
82a88ffffffffff,151.0,5.0,0.0
82a897fffffffff,7.0,0.0,0.0
82a8a7fffffffff,503.0,5.0,0.0
82a8affffffffff,202.0,13.0,0.0
82a8c7fffffffff,181.0,2.0,0.0
82a8cffffffffff,6.0,0.0,0.0
82a8d7fffffffff,224.0,6.0,0.0
82a8dffffffffff,20.0,0.0,0.0
82a8e7fffffffff,14.0,1.0,0.0
82a8effffffffff,10.0,0.0,0.0
82a8f7fffffffff,41.0,1.0,0.0
82a907fffffffff,174.0,5.0,0.0
82a90ffffffffff,218.0,2.0,0.0
82a91ffffffffff,101.0,3.0,0.0
82a927fffffffff,8.0,0.0,0.0
82a92ffffffffff,1007.0,4.0,0.0
82a947fffffffff,1764.0,0.0,1.0
82a94ffffffffff,750.0,0.0,0.0
82a957fffffffff,677.0,0.0,0.0
82a95ffffffffff,215.0,0.0,0.0
82a967fffffffff,1371.0,14.0,0.0
82a96ffffffffff,1074.0,0.0,0.0
82a977fffffffff,285.0,0.0,0.0
82b20ffffffffff,54.0,0.0,0.0
82b22ffffffffff,7.0,0.0,0.0
82b247fffffffff,2004.0,5.0,0.0
82b24ffffffffff,1193.0,0.0,0.0
82b257fffffffff,110.0,0.0,0.0
82b25ffffffffff,2624.0,0.0,0.0
82b267fffffffff,864.0,0.0,0.0
82b26ffffffffff,369.0,0.0,0.0
82b277fffffffff,341.0,0.0,0.0
82b2cffffffffff,25.0,0.0,0.0
82b2e7fffffffff,70.0,0.0,0.0
82b2effffffffff,714.0,0.0,0.0
82b327fffffffff,5.0,0.0,0.0
82b32ffffffffff,23.0,0.0,0.0
82b347fffffffff,88.0,0.0,0.0
82b34ffffffffff,246.0,0.0,0.0
82b357fffffffff,209.0,0.0,0.0
82b35ffffffffff,1223.0,0.0,0.0
82b367fffffffff,55.0,0.0,0.0
82b36ffffffffff,122.0,0.0,0.0
82b377fffffffff,180.0,0.0,0.0
82c207fffffffff,78.0,0.0,4.0
82c21ffffffffff,686.0,0.0,1.0
82c227fffffffff,24.0,0.0,0.0
82c22ffffffffff,237.0,0.0,4.0
82c2c7fffffffff,2017.0,0.0,2.0
82c2cffffffffff,1997.0,0.0,0.0
82c2d7fffffffff,774.0,0.0,4.0
82c2dffffffffff,244.0,0.0,0.0
82c2e7fffffffff,7901.0,0.0,98.0
82c2effffffffff,614.0,0.0,2.0
82c2f7fffffffff,2595.0,0.0,9.0
82c30ffffffffff,24.0,0.0,0.0
82c32ffffffffff,77.0,0.0,4.0
82c347fffffffff,349.0,0.0,0.0
82c34ffffffffff,183.0,0.0,0.0
82c357fffffffff,294.0,0.0,5.0
82c35ffffffffff,27.0,0.0,0.0
82c367fffffffff,196.0,0.0,0.0
82c36ffffffffff,56.0,0.0,0.0
82c377fffffffff,293.0,0.0,0.0
82ce97fffffffff,1185.0,0.0,0.0
82ce9ffffffffff,131.0,0.0,0.0
