cell_id,Megascops roboratus,Megascops roboratus pacificus,Megascops roboratus roboratus
848f081ffffffff,5.0,0.0,0.0
848f089ffffffff,1.0,0.0,0.0
848f08bffffffff,9.0,0.0,0.0
848f091ffffffff,1.0,0.0,0.0
848f093ffffffff,2.0,0.0,0.0
848f099ffffffff,43.0,7.0,0.0
848f0d1ffffffff,4.0,0.0,0.0
848f0d3ffffffff,271.0,18.0,0.0
848f0d5ffffffff,12.0,0.0,0.0
848f0d7ffffffff,5.0,4.0,0.0
848f0ddffffffff,2.0,0.0,0.0
848f287ffffffff,5.0,0.0,0.0
848f289ffffffff,2.0,0.0,0.0
848f28dffffffff,11.0,0.0,0.0
848f2a9ffffffff,23.0,7.0,0.0
848f2abffffffff,4.0,0.0,0.0
848f2b9ffffffff,3.0,2.0,0.0
848f2bbffffffff,2.0,0.0,0.0
848f2bdffffffff,19.0,6.0,0.0
848f2cdffffffff,1.0,0.0,0.0
848f2e3ffffffff,10.0,0.0,0.0
848f2e9ffffffff,1.0,0.0,0.0
848f2ebffffffff,2.0,0.0,0.0
848f501ffffffff,98.0,24.0,0.0
848f503ffffffff,1.0,0.0,0.0
848f505ffffffff,3.0,0.0,0.0
848f509ffffffff,9.0,0.0,0.0
848f50bffffffff,1.0,0.0,0.0
848f50dffffffff,155.0,18.0,0.0
848f519ffffffff,4.0,0.0,0.0
848f545ffffffff,41.0,2.0,0.0
848f547ffffffff,5.0,0.0,0.0
848f549ffffffff,7.0,0.0,0.0
848f54bffffffff,31.0,0.0,1.0
848f54dffffffff,10.0,0.0,0.0
848f553ffffffff,1.0,0.0,0.0
848f559ffffffff,10.0,0.0,0.0
848f55dffffffff,8.0,0.0,0.0
848f725ffffffff,1.0,0.0,0.0
848f727ffffffff,1.0,0.0,0.0
848f729ffffffff,1.0,0.0,0.0
848f72dffffffff,14.0,0.0,0.0
848f737ffffffff,4.0,0.0,0.0
