cell_id,Sturnia malabarica,Sturnia malabarica malabarica,Sturnia malabarica nemoricola
84209a5ffffffff,6.0,0.0,0.0
843c02dffffffff,5.0,0.0,0.0
843c0a5ffffffff,4.0,0.0,0.0
843c191ffffffff,2.0,0.0,0.0
843c199ffffffff,13.0,0.0,0.0
843c19bffffffff,7.0,0.0,0.0
843c1b5ffffffff,9.0,0.0,0.0
843c1b9ffffffff,1.0,0.0,0.0
843c1d3ffffffff,5.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0
843c1d7ffffffff,1.0,0.0,0.0
843c1e9ffffffff,20.0,0.0,0.0
843c525ffffffff,4.0,0.0,0.0
843c527ffffffff,15.0,2.0,0.0
843c585ffffffff,2.0,0.0,0.0
843c5a9ffffffff,6.0,0.0,0.0
843c5c1ffffffff,2.0,0.0,0.0
843c5c5ffffffff,1.0,0.0,0.0
843c839ffffffff,2.0,0.0,0.0
843c885ffffffff,9.0,0.0,0.0
843c8c1ffffffff,3.0,0.0,0.0
843c8c3ffffffff,3.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0
843c8dbffffffff,7.0,0.0,0.0
843c8e5ffffffff,7.0,0.0,0.0
843c8edffffffff,11.0,0.0,0.0
843c905ffffffff,2.0,0.0,0.0
843c909ffffffff,4.0,0.0,0.0
843c929ffffffff,19.0,0.0,0.0
843c92dffffffff,38.0,0.0,0.0
843c931ffffffff,6.0,0.0,0.0
843c943ffffffff,5.0,0.0,0.0
843c967ffffffff,80.0,0.0,0.0
843ca87ffffffff,1.0,0.0,0.0
843ca93ffffffff,2.0,0.0,0.0
843cab9ffffffff,2.0,0.0,0.0
843cb11ffffffff,2.0,0.0,0.0
843cb1dffffffff,3.0,0.0,0.0
843cb51ffffffff,1.0,0.0,0.0
843cb5dffffffff,6.0,0.0,0.0
843cb65ffffffff,2.0,0.0,0.0
843cc4bffffffff,3.0,0.0,0.0
843ce4dffffffff,2.0,0.0,0.0
843cf05ffffffff,3.0,0.0,0.0
