cell_id,Psarocolius angustifrons,Psarocolius angustifrons [angustifrons Group],Psarocolius angustifrons oleagineus
846601bffffffff,2.0,0.0,0.0
8466081ffffffff,3.0,0.0,0.0
8466085ffffffff,17.0,0.0,0.0
8466087ffffffff,4.0,0.0,0.0
846608dffffffff,584.0,8.0,0.0
8466091ffffffff,2.0,0.0,0.0
8466097ffffffff,4.0,0.0,0.0
8466099ffffffff,11.0,0.0,0.0
846609bffffffff,4.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0
84660a7ffffffff,6.0,0.0,0.0
84660b3ffffffff,136.0,0.0,0.0
84660b7ffffffff,28.0,0.0,0.0
84660b9ffffffff,3.0,0.0,0.0
84660bbffffffff,67.0,0.0,0.0
84660c1ffffffff,17.0,2.0,0.0
84660cbffffffff,2.0,0.0,0.0
84660d3ffffffff,3.0,0.0,0.0
84660ddffffffff,13.0,0.0,0.0
8466113ffffffff,1.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
8466181ffffffff,23.0,0.0,0.0
8466183ffffffff,703.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0
8466187ffffffff,12.0,0.0,0.0
8466189ffffffff,59.0,0.0,0.0
846618bffffffff,68.0,0.0,0.0
846618dffffffff,5.0,0.0,0.0
8466191ffffffff,24.0,0.0,0.0
8466193ffffffff,48.0,0.0,0.0
8466195ffffffff,82.0,0.0,0.0
8466197ffffffff,518.0,0.0,0.0
8466199ffffffff,13.0,0.0,0.0
846619bffffffff,27.0,0.0,0.0
846619dffffffff,156.0,0.0,0.0
84661a5ffffffff,2.0,0.0,0.0
84661b1ffffffff,1185.0,95.0,0.0
84661b3ffffffff,159.0,0.0,0.0
84661b7ffffffff,6.0,0.0,0.0
84661b9ffffffff,2245.0,2.0,0.0
84661bbffffffff,1314.0,0.0,0.0
84661bdffffffff,42.0,0.0,0.0
84661c3ffffffff,10.0,0.0,0.0
84661d1ffffffff,536.0,0.0,0.0
84661d5ffffffff,121.0,0.0,0.0
84661d7ffffffff,10.0,0.0,0.0
84661d9ffffffff,5.0,0.0,0.0
84661ddffffffff,26.0,0.0,0.0
84661ebffffffff,1.0,0.0,0.0
8466211ffffffff,4.0,0.0,0.0
8466213ffffffff,6.0,0.0,0.0
8466217ffffffff,297.0,0.0,0.0
8466291ffffffff,7.0,0.0,0.0
8466295ffffffff,2.0,0.0,0.0
8466299ffffffff,2.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0
846629dffffffff,24.0,0.0,0.0
84662b1ffffffff,6.0,0.0,0.0
84662b7ffffffff,2.0,0.0,0.0
84662d3ffffffff,22.0,0.0,0.0
84662e1ffffffff,2.0,0.0,0.0
84662e5ffffffff,2.0,0.0,0.0
84662e9ffffffff,8.0,0.0,0.0
84662edffffffff,2.0,0.0,0.0
8466411ffffffff,4.0,0.0,0.0
8466415ffffffff,15.0,0.0,0.0
8466417ffffffff,2.0,0.0,0.0
846641dffffffff,5.0,0.0,0.0
8466427ffffffff,3.0,0.0,0.0
8466529ffffffff,5.0,0.0,0.0
846652dffffffff,7.0,0.0,0.0
8466537ffffffff,12.0,0.0,0.0
8466545ffffffff,6.0,0.0,0.0
8466547ffffffff,1.0,0.0,0.0
846654bffffffff,2.0,0.0,0.0
8466561ffffffff,9.0,0.0,0.0
8466565ffffffff,35.0,0.0,0.0
846656bffffffff,2.0,0.0,0.0
846656dffffffff,41.0,0.0,0.0
84665abffffffff,21.0,0.0,0.0
84665bdffffffff,3.0,0.0,0.0
84665e9ffffffff,147.0,0.0,0.0
8466725ffffffff,2.0,0.0,0.0
8466727ffffffff,4.0,0.0,0.0
8466737ffffffff,4.0,0.0,0.0
8466c01ffffffff,241.0,2.0,0.0
8466c03ffffffff,8.0,0.0,0.0
8466c05ffffffff,99.0,0.0,0.0
8466c07ffffffff,4.0,0.0,0.0
8466c09ffffffff,26.0,0.0,0.0
8466c0dffffffff,799.0,3.0,0.0
8466c15ffffffff,18.0,0.0,0.0
8466c17ffffffff,9.0,0.0,0.0
8466c19ffffffff,5.0,0.0,0.0
