cell_id,Vanellus indicus,Vanellus indicus [indicus Group],Vanellus indicus atronuchalis
82209ffffffffff,1.0,0.0,0.0
822c17fffffffff,30.0,0.0,0.0
822c37fffffffff,4.0,0.0,0.0
822c87fffffffff,112.0,0.0,0.0
822c8ffffffffff,23.0,0.0,0.0
822c97fffffffff,134.0,0.0,0.0
822c9ffffffffff,71.0,0.0,0.0
822ca7fffffffff,6.0,0.0,0.0
822caffffffffff,39.0,0.0,0.0
822daffffffffff,25.0,0.0,0.0
823c07fffffffff,443.0,0.0,0.0
823c0ffffffffff,107.0,0.0,0.0
823c17fffffffff,484.0,0.0,0.0
823c1ffffffffff,1248.0,0.0,0.0
823c37fffffffff,273.0,0.0,0.0
823c57fffffffff,172.0,0.0,0.0
823c5ffffffffff,926.0,0.0,0.0
823c87fffffffff,364.0,0.0,0.0
823c8ffffffffff,1372.0,0.0,0.0
823c97fffffffff,946.0,0.0,0.0
823c9ffffffffff,415.0,0.0,0.0
823ca7fffffffff,419.0,0.0,0.0
823caffffffffff,323.0,0.0,0.0
823cb7fffffffff,7574.0,0.0,0.0
823cc7fffffffff,1082.0,0.0,0.0
823ccffffffffff,26.0,0.0,0.0
823cd7fffffffff,14.0,0.0,0.0
823cdffffffffff,53.0,0.0,0.0
823ce7fffffffff,1820.0,0.0,0.0
823ceffffffffff,1661.0,0.0,0.0
823cf7fffffffff,3111.0,0.0,0.0
823d17fffffffff,7772.0,0.0,0.0
823d1ffffffffff,14.0,0.0,0.0
823d37fffffffff,1192.0,0.0,0.0
823d87fffffffff,5142.0,0.0,0.0
823d8ffffffffff,1926.0,0.0,0.0
823d97fffffffff,2550.0,0.0,0.0
823d9ffffffffff,5841.0,0.0,0.0
823da7fffffffff,11408.0,0.0,0.0
823daffffffffff,3592.0,0.0,0.0
823db7fffffffff,3751.0,0.0,0.0
82404ffffffffff,141.0,0.0,1.0
824067fffffffff,2.0,0.0,0.0
82406ffffffffff,8.0,0.0,0.0
824147fffffffff,3.0,0.0,0.0
824167fffffffff,6.0,0.0,0.0
82416ffffffffff,26.0,0.0,0.0
824207fffffffff,5.0,0.0,0.0
82420ffffffffff,2.0,0.0,0.0
824227fffffffff,5.0,0.0,0.0
824237fffffffff,45.0,0.0,0.0
824247fffffffff,1.0,0.0,0.0
82424ffffffffff,479.0,0.0,0.0
824257fffffffff,509.0,0.0,0.0
82425ffffffffff,748.0,0.0,0.0
82426ffffffffff,697.0,0.0,0.0
8242c7fffffffff,7351.0,0.0,0.0
8242cffffffffff,8277.0,0.0,0.0
8242d7fffffffff,65.0,0.0,0.0
8242dffffffffff,2940.0,0.0,0.0
8242e7fffffffff,396.0,0.0,0.0
8242effffffffff,527.0,0.0,0.0
824317fffffffff,86.0,0.0,0.0
82431ffffffffff,295.0,0.0,0.0
824337fffffffff,36.0,0.0,0.0
824367fffffffff,12.0,0.0,0.0
824387fffffffff,23.0,0.0,0.0
82438ffffffffff,297.0,0.0,0.0
82439ffffffffff,2.0,0.0,0.0
8243a7fffffffff,2377.0,0.0,0.0
8243affffffffff,3971.0,0.0,0.0
8243b7fffffffff,1.0,0.0,0.0
82524ffffffffff,65.0,0.0,0.0
82526ffffffffff,4.0,0.0,0.0
82534ffffffffff,125.0,0.0,0.0
825367fffffffff,19.0,0.0,0.0
82536ffffffffff,150.0,0.0,0.0
826007fffffffff,11019.0,0.0,0.0
826017fffffffff,34650.0,0.0,0.0
82601ffffffffff,5602.0,0.0,0.0
826027fffffffff,6356.0,0.0,0.0
826037fffffffff,25736.0,0.0,0.0
826087fffffffff,791.0,0.0,0.0
82608ffffffffff,12457.0,0.0,0.0
826097fffffffff,4340.0,0.0,0.0
82609ffffffffff,3368.0,0.0,0.0
8260a7fffffffff,2074.0,0.0,0.0
8260affffffffff,6115.0,0.0,0.0
8260b7fffffffff,4216.0,0.0,0.0
8260f7fffffffff,27.0,0.0,0.0
826107fffffffff,2209.0,0.0,0.0
826117fffffffff,363.0,0.0,0.0
82611ffffffffff,3369.0,0.0,0.0
82618ffffffffff,10149.0,0.0,0.0
82619ffffffffff,343.0,0.0,0.0
8261affffffffff,1772.0,0.0,0.0
826337fffffffff,5.0,0.0,0.0
826417fffffffff,1197.0,0.0,0.0
826427fffffffff,38.0,0.0,0.0
826437fffffffff,539.0,0.0,2.0
826487fffffffff,1482.0,0.0,1.0
82648ffffffffff,53.0,0.0,0.0
826497fffffffff,212.0,0.0,0.0
82649ffffffffff,49.0,0.0,0.0
8264a7fffffffff,3451.0,0.0,4.0
8264b7fffffffff,374.0,0.0,0.0
826507fffffffff,400.0,0.0,0.0
82650ffffffffff,4.0,0.0,0.0
82651ffffffffff,231.0,0.0,0.0
826527fffffffff,886.0,0.0,0.0
826587fffffffff,201.0,0.0,0.0
82658ffffffffff,3439.0,0.0,3.0
826597fffffffff,363.0,0.0,0.0
82659ffffffffff,1492.0,0.0,0.0
8265a7fffffffff,3.0,0.0,0.0
8265b7fffffffff,285.0,0.0,0.0
