cell_id,Strix leptogrammica,Strix leptogrammica [indranee Group],Strix leptogrammica niasensis,Strix leptogrammica [leptogrammica Group]
843c0a5ffffffff,8.0,0.0,0.0,0.0
843c1d3ffffffff,14.0,0.0,0.0,0.0
843c369ffffffff,1.0,0.0,0.0,0.0
843c437ffffffff,1.0,0.0,0.0,0.0
843c5cbffffffff,2.0,0.0,0.0,0.0
843c839ffffffff,2.0,0.0,0.0,0.0
843c909ffffffff,7.0,0.0,0.0,0.0
843c92dffffffff,5.0,0.0,0.0,0.0
843c967ffffffff,3.0,0.0,0.0,0.0
843cab1ffffffff,54.0,1.0,0.0,0.0
843cb45ffffffff,3.0,0.0,0.0,0.0
843cc09ffffffff,2.0,0.0,0.0,0.0
843cc5bffffffff,6.0,0.0,0.0,0.0
843cd4bffffffff,13.0,0.0,0.0,0.0
843ce25ffffffff,1.0,0.0,0.0,0.0
843ce4bffffffff,2.0,0.0,0.0,0.0
843ce55ffffffff,2.0,0.0,0.0,0.0
843ce5bffffffff,3.0,0.0,0.0,0.0
843cf35ffffffff,6.0,0.0,0.0,0.0
843d151ffffffff,2.0,0.0,0.0,0.0
843d9b7ffffffff,1.0,0.0,0.0,0.0
843dad1ffffffff,9.0,1.0,0.0,0.0
8441855ffffffff,7.0,0.0,0.0,0.0
8442d93ffffffff,4.0,0.0,0.0,0.0
8442d97ffffffff,2.0,0.0,0.0,0.0
8442db7ffffffff,2.0,0.0,0.0,0.0
8460025ffffffff,19.0,0.0,0.0,0.0
8460027ffffffff,2.0,0.0,0.0,0.0
846002dffffffff,3.0,0.0,0.0,0.0
8460065ffffffff,1.0,0.0,0.0,0.0
8460067ffffffff,2.0,0.0,0.0,0.0
846006dffffffff,7.0,0.0,0.0,0.0
846011bffffffff,31.0,0.0,0.0,0.0
8460145ffffffff,7.0,0.0,0.0,0.0
8460153ffffffff,2.0,0.0,0.0,0.0
846015bffffffff,9.0,0.0,0.0,0.0
8460169ffffffff,3.0,0.0,0.0,0.0
84601e5ffffffff,1.0,0.0,0.0,0.0
84601e9ffffffff,1.0,0.0,0.0,0.0
8460267ffffffff,11.0,0.0,0.0,0.0
8460311ffffffff,4.0,0.0,0.0,0.0
8460319ffffffff,55.0,0.0,0.0,0.0
846031bffffffff,21.0,1.0,0.0,0.0
8460327ffffffff,1.0,0.0,0.0,0.0
8460329ffffffff,5.0,0.0,0.0,0.0
846032dffffffff,1.0,0.0,0.0,0.0
8460331ffffffff,15.0,0.0,0.0,0.0
8460333ffffffff,29.0,0.0,0.0,0.0
846033bffffffff,6.0,0.0,0.0,0.0
8460887ffffffff,14.0,0.0,0.0,0.0
8460889ffffffff,2.0,0.0,0.0,0.0
846088dffffffff,2.0,0.0,0.0,0.0
84608b9ffffffff,1.0,0.0,0.0,0.0
84608bdffffffff,12.0,0.0,0.0,0.0
84608d5ffffffff,5.0,0.0,0.0,0.0
84608d7ffffffff,6.0,0.0,0.0,0.0
84608ddffffffff,2.0,0.0,0.0,0.0
8460925ffffffff,14.0,0.0,0.0,0.0
8460a91ffffffff,16.0,0.0,0.0,0.0
8460a95ffffffff,1.0,0.0,0.0,0.0
8460a97ffffffff,8.0,0.0,0.0,0.0
8460a99ffffffff,8.0,0.0,0.0,0.0
8460a9dffffffff,4.0,0.0,0.0,0.0
8460abbffffffff,3.0,0.0,0.0,0.0
846500bffffffff,32.0,0.0,0.0,0.0
8465033ffffffff,5.0,0.0,0.0,0.0
8465037ffffffff,1.0,0.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0,0.0
84651d9ffffffff,1.0,0.0,0.0,0.0
8465911ffffffff,2.0,0.0,0.0,0.0
8465b0bffffffff,1.0,0.0,0.0,0.0
8468189ffffffff,1.0,0.0,0.0,1.0
846818dffffffff,2.0,0.0,0.0,2.0
