cell_id,Sakesphoroides cristatus,Sakesphoroides cristatus niedeguidonae,Sakesphoroides cristatus cristatus
8480021ffffffff,3.0,0.0,0.0
8480023ffffffff,2.0,0.0,0.0
8480037ffffffff,1.0,0.0,0.0
8480061ffffffff,5.0,0.0,0.0
8480105ffffffff,5.0,0.0,0.0
8480109ffffffff,2.0,0.0,0.0
848010dffffffff,2.0,0.0,0.0
8480115ffffffff,1.0,0.0,0.0
848011bffffffff,4.0,0.0,0.0
8480139ffffffff,3.0,0.0,0.0
8480141ffffffff,2.0,0.0,0.0
8480155ffffffff,2.0,0.0,0.0
8480165ffffffff,5.0,0.0,0.0
8480245ffffffff,1.0,0.0,0.0
8480247ffffffff,1.0,0.0,0.0
848024dffffffff,2.0,0.0,0.0
8480265ffffffff,2.0,0.0,0.0
8480301ffffffff,26.0,0.0,0.0
8480309ffffffff,104.0,0.0,0.0
848030dffffffff,51.0,0.0,0.0
8480355ffffffff,2.0,0.0,0.0
8480363ffffffff,19.0,0.0,0.0
8481003ffffffff,1.0,0.0,0.0
8481005ffffffff,78.0,0.0,0.0
8481007ffffffff,2.0,0.0,0.0
8481011ffffffff,7.0,0.0,0.0
8481023ffffffff,2.0,0.0,0.0
8481027ffffffff,1.0,0.0,0.0
8481029ffffffff,7.0,0.0,0.0
8481049ffffffff,26.0,0.0,0.0
848104bffffffff,2.0,0.0,0.0
8481051ffffffff,1.0,0.0,0.0
8481061ffffffff,4.0,0.0,0.0
8481063ffffffff,57.0,0.0,0.0
8481065ffffffff,2.0,0.0,0.0
848106dffffffff,1.0,0.0,0.0
84810a3ffffffff,2.0,0.0,0.0
848112bffffffff,2.0,0.0,0.0
8481137ffffffff,2.0,0.0,0.0
8481189ffffffff,10.0,0.0,0.0
8481193ffffffff,5.0,0.0,0.0
84811abffffffff,1.0,0.0,0.0
84811bbffffffff,1.0,0.0,0.0
84811c3ffffffff,1.0,0.0,0.0
84811c5ffffffff,2.0,0.0,0.0
84811c9ffffffff,4.0,0.0,0.0
848120dffffffff,2.0,0.0,0.0
8481211ffffffff,27.0,0.0,0.0
8481215ffffffff,12.0,0.0,0.0
8481219ffffffff,3.0,0.0,0.0
848123bffffffff,1.0,0.0,0.0
8481241ffffffff,8.0,0.0,0.0
8481245ffffffff,52.0,0.0,0.0
8481247ffffffff,1.0,0.0,0.0
848124bffffffff,88.0,0.0,0.0
848124dffffffff,335.0,0.0,0.0
8481255ffffffff,1.0,0.0,0.0
8481269ffffffff,1.0,0.0,0.0
84812a1ffffffff,2.0,0.0,0.0
84812a5ffffffff,1.0,0.0,0.0
84812bdffffffff,1.0,0.0,0.0
8481303ffffffff,31.0,0.0,0.0
848131dffffffff,1.0,0.0,0.0
8481327ffffffff,2.0,0.0,0.0
8481331ffffffff,13.0,0.0,0.0
8481339ffffffff,290.0,0.0,0.0
848135dffffffff,1.0,0.0,0.0
8481811ffffffff,2.0,0.0,0.0
8481885ffffffff,11.0,0.0,0.0
8481889ffffffff,2.0,0.0,0.0
848188dffffffff,7.0,0.0,0.0
84818a7ffffffff,8.0,0.0,0.0
84818b3ffffffff,2.0,0.0,0.0
84818bbffffffff,4.0,0.0,0.0
84818c3ffffffff,5.0,0.0,0.0
84818c7ffffffff,3.0,0.0,0.0
84818e3ffffffff,2.0,0.0,0.0
8481aa3ffffffff,9.0,0.0,0.0
8481aa7ffffffff,1.0,0.0,0.0
8481aadffffffff,2.0,0.0,0.0
8481ac3ffffffff,1.0,0.0,0.0
8481ad1ffffffff,64.0,0.0,0.0
8481ad5ffffffff,17.0,0.0,0.0
8481ad9ffffffff,2.0,0.0,0.0
8481addffffffff,5.0,0.0,0.0
84a88a3ffffffff,6.0,0.0,0.0
84a88a9ffffffff,19.0,0.0,0.0
84a88adffffffff,2.0,0.0,0.0
84a88b1ffffffff,4.0,0.0,0.0
84a88b5ffffffff,5.0,0.0,0.0
84a88b7ffffffff,2.0,0.0,0.0
84a88e1ffffffff,1.0,0.0,0.0
84a88e7ffffffff,2.0,0.0,0.0
84a88e9ffffffff,66.0,0.0,0.0
84a88ebffffffff,1.0,0.0,0.0
84a8993ffffffff,3.0,0.0,0.0
84a89b3ffffffff,9.0,0.0,0.0
