cell_id,Copsychus malabaricus,Copsychus malabaricus [malabaricus Group],Copsychus malabaricus ngae,Copsychus malabaricus [melanurus Group]
843c02dffffffff,1.0,0.0,0.0,0.0
843c159ffffffff,1.0,0.0,0.0,0.0
843c193ffffffff,1.0,0.0,0.0,0.0
843c19bffffffff,4.0,0.0,0.0,0.0
843c1b9ffffffff,2.0,0.0,0.0,0.0
843c1c3ffffffff,11.0,0.0,0.0,0.0
843c1d3ffffffff,2.0,0.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0,0.0
843c1d7ffffffff,2.0,0.0,0.0,0.0
843c36bffffffff,2.0,0.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0,0.0
843c581ffffffff,2.0,2.0,0.0,0.0
843c5a1ffffffff,4.0,4.0,0.0,0.0
843c5adffffffff,1.0,1.0,0.0,0.0
843c8c7ffffffff,18.0,0.0,0.0,0.0
843c8cbffffffff,4.0,0.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0,0.0
843c8e5ffffffff,6.0,0.0,0.0,0.0
843c909ffffffff,4.0,0.0,0.0,0.0
843c92dffffffff,7.0,0.0,0.0,0.0
843c959ffffffff,2.0,0.0,0.0,0.0
843c965ffffffff,2.0,0.0,0.0,0.0
843c967ffffffff,2.0,0.0,0.0,0.0
843ca87ffffffff,13.0,0.0,0.0,0.0
843ca95ffffffff,1.0,0.0,0.0,0.0
843cab1ffffffff,21.0,0.0,0.0,0.0
843cb45ffffffff,3.0,3.0,0.0,0.0
843ce15ffffffff,2.0,0.0,0.0,0.0
843ce4dffffffff,5.0,0.0,0.0,0.0
843ce55ffffffff,2.0,0.0,0.0,0.0
843cec9ffffffff,5.0,5.0,0.0,0.0
843ced5ffffffff,2.0,0.0,0.0,0.0
843d101ffffffff,21.0,0.0,0.0,0.0
843d107ffffffff,3.0,0.0,0.0,0.0
843d993ffffffff,2.0,2.0,0.0,0.0
843d9a7ffffffff,2.0,2.0,0.0,0.0
843d9b7ffffffff,5.0,2.0,0.0,0.0
84404ddffffffff,3.0,3.0,0.0,0.0
84411c9ffffffff,9.0,1.0,0.0,0.0
84415edffffffff,2.0,2.0,0.0,0.0
8442d97ffffffff,15.0,0.0,0.0,0.0
8446495ffffffff,3.0,2.0,0.0,0.0
84464e1ffffffff,2.0,0.0,0.0,0.0
844ba21ffffffff,8.0,0.0,0.0,0.0
844ba25ffffffff,3.0,0.0,0.0,0.0
844ba2bffffffff,6.0,0.0,0.0,0.0
844bb11ffffffff,5.0,0.0,0.0,0.0
845d145ffffffff,40.0,2.0,0.0,0.0
845d169ffffffff,2.0,0.0,0.0,0.0
846006dffffffff,25.0,0.0,0.0,0.0
8460115ffffffff,1.0,0.0,0.0,0.0
846011bffffffff,4.0,0.0,0.0,0.0
8460139ffffffff,2.0,0.0,0.0,0.0
8460145ffffffff,737.0,9.0,0.0,0.0
846014dffffffff,223.0,4.0,0.0,0.0
8460151ffffffff,1.0,0.0,0.0,0.0
8460157ffffffff,9.0,0.0,0.0,0.0
846015dffffffff,4.0,0.0,0.0,0.0
84601e9ffffffff,3.0,0.0,0.0,0.0
84601edffffffff,37.0,0.0,0.0,0.0
846030bffffffff,1.0,0.0,0.0,0.0
8460311ffffffff,2.0,0.0,0.0,0.0
8460313ffffffff,20.0,0.0,0.0,0.0
8460315ffffffff,3.0,0.0,0.0,0.0
846031dffffffff,12.0,2.0,0.0,0.0
8460321ffffffff,18.0,0.0,0.0,0.0
8460323ffffffff,3.0,0.0,0.0,0.0
8460327ffffffff,22.0,0.0,0.0,0.0
8460329ffffffff,2.0,0.0,0.0,0.0
846032dffffffff,42.0,0.0,0.0,0.0
8460331ffffffff,142.0,0.0,0.0,0.0
8460335ffffffff,6.0,0.0,0.0,0.0
846033bffffffff,185.0,0.0,0.0,0.0
8460343ffffffff,2.0,0.0,0.0,0.0
8460367ffffffff,1.0,0.0,0.0,0.0
8460887ffffffff,4.0,0.0,0.0,0.0
84608abffffffff,13.0,0.0,0.0,0.0
84608b5ffffffff,7.0,7.0,0.0,0.0
84608bdffffffff,9.0,0.0,0.0,0.0
84608d5ffffffff,2.0,0.0,0.0,0.0
84608ddffffffff,2.0,0.0,0.0,0.0
8460a45ffffffff,8.0,0.0,0.0,0.0
8460a89ffffffff,2.0,0.0,0.0,0.0
8460a8bffffffff,2.0,0.0,0.0,0.0
8460a91ffffffff,15.0,2.0,0.0,0.0
8460a99ffffffff,12.0,0.0,0.0,0.0
8460ab3ffffffff,1.0,0.0,0.0,0.0
8460ad7ffffffff,2.0,0.0,0.0,0.0
8460adbffffffff,7.0,1.0,0.0,0.0
8460b29ffffffff,4.0,0.0,0.0,0.0
8460b41ffffffff,7.0,0.0,0.0,0.0
8460b47ffffffff,3.0,0.0,0.0,0.0
846188bffffffff,2.0,0.0,0.0,0.0
8461893ffffffff,23.0,0.0,0.0,0.0
846189bffffffff,12.0,0.0,0.0,0.0
84618a1ffffffff,4.0,0.0,0.0,0.0
84618d1ffffffff,1.0,0.0,0.0,0.0
84618d7ffffffff,11.0,0.0,0.0,0.0
84618ddffffffff,7.0,0.0,0.0,0.0
846414dffffffff,1.0,0.0,0.0,0.0
84648c9ffffffff,1.0,0.0,0.0,0.0
8464a03ffffffff,1.0,1.0,0.0,0.0
8464a4bffffffff,1.0,0.0,0.0,0.0
8464a57ffffffff,3.0,0.0,0.0,0.0
846520dffffffff,13.0,4.0,0.0,0.0
8465263ffffffff,101.0,4.0,0.0,0.0
8465887ffffffff,2.0,2.0,0.0,0.0
