cell_id,Chrysococcyx cupreus,Chrysococcyx cupreus cupreus,Chrysococcyx cupreus intermedius,Chrysococcyx cupreus insularum
82529ffffffffff,3.0,0.0,0.0,0.0
8254e7fffffffff,3.0,0.0,0.0,0.0
8254f7fffffffff,12.0,0.0,0.0,0.0
825887fffffffff,1.0,1.0,0.0,0.0
825897fffffffff,2.0,0.0,0.0,0.0
8258c7fffffffff,3.0,3.0,0.0,0.0
8258d7fffffffff,55.0,46.0,0.0,0.0
8258dffffffffff,5.0,0.0,0.0,0.0
826a5ffffffffff,2.0,0.0,0.0,0.0
826a9ffffffffff,11.0,0.0,0.0,0.0
826ac7fffffffff,514.0,75.0,0.0,0.0
826acffffffffff,184.0,21.0,0.0,0.0
826adffffffffff,350.0,33.0,0.0,0.0
826aeffffffffff,113.0,16.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0,0.0
82750ffffffffff,487.0,51.0,0.0,0.0
82751ffffffffff,7.0,0.0,0.0,0.0
827527fffffffff,3.0,0.0,0.0,0.0
82752ffffffffff,320.0,36.0,0.0,0.0
8275a7fffffffff,7.0,0.0,0.0,0.0
8275affffffffff,2.0,0.0,0.0,0.0
8275b7fffffffff,2.0,0.0,0.0,0.0
827a47fffffffff,173.0,0.0,0.0,0.0
827a4ffffffffff,223.0,1.0,0.0,0.0
827a67fffffffff,36.0,0.0,0.0,0.0
827a6ffffffffff,93.0,2.0,0.0,0.0
827acffffffffff,80.0,0.0,0.0,0.0
827aeffffffffff,1.0,0.0,0.0,0.0
827b4ffffffffff,10.0,0.0,0.0,0.0
82821ffffffffff,13.0,0.0,0.0,0.0
828287fffffffff,11.0,0.0,0.0,0.0
82828ffffffffff,256.0,30.0,0.0,0.0
8282a7fffffffff,18.0,0.0,0.0,0.0
8282affffffffff,25.0,0.0,0.0,0.0
8282c7fffffffff,20.0,0.0,0.0,0.0
8282d7fffffffff,103.0,7.0,41.0,0.0
8282e7fffffffff,34.0,0.0,0.0,0.0
8282f7fffffffff,6.0,0.0,0.0,0.0
828317fffffffff,1.0,0.0,0.0,0.0
82831ffffffffff,2.0,0.0,0.0,0.0
828387fffffffff,1.0,0.0,0.0,0.0
82838ffffffffff,3.0,0.0,0.0,0.0
828397fffffffff,1.0,0.0,0.0,0.0
82839ffffffffff,43.0,0.0,0.0,0.0
8283affffffffff,6.0,0.0,0.0,0.0
829607fffffffff,17.0,7.0,0.0,0.0
82960ffffffffff,12.0,1.0,0.0,0.0
829617fffffffff,5.0,3.0,0.0,0.0
829627fffffffff,70.0,6.0,0.0,0.0
82962ffffffffff,20.0,10.0,0.0,0.0
829637fffffffff,7.0,3.0,0.0,0.0
829657fffffffff,5.0,5.0,0.0,0.0
829667fffffffff,1.0,0.0,0.0,0.0
829677fffffffff,3.0,0.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0,0.0
829697fffffffff,219.0,24.0,0.0,0.0
82969ffffffffff,5.0,0.0,0.0,0.0
8296a7fffffffff,1.0,0.0,0.0,0.0
8296affffffffff,2.0,0.0,0.0,0.0
8296b7fffffffff,16.0,0.0,0.0,0.0
8296d7fffffffff,4.0,0.0,0.0,0.0
829707fffffffff,32.0,0.0,0.0,0.0
829717fffffffff,71.0,0.0,0.0,0.0
82971ffffffffff,6.0,0.0,0.0,0.0
82972ffffffffff,94.0,30.0,0.0,0.0
829757fffffffff,79.0,7.0,0.0,0.0
82975ffffffffff,8.0,0.0,0.0,0.0
82978ffffffffff,11.0,0.0,0.0,0.0
8297affffffffff,21.0,0.0,0.0,0.0
82bc1ffffffffff,1.0,0.0,0.0,0.0
82bc47fffffffff,43.0,8.0,0.0,0.0
82bc57fffffffff,5.0,0.0,0.0,0.0
82bc6ffffffffff,1.0,0.0,0.0,0.0
82bc8ffffffffff,17.0,12.0,0.0,0.0
82bcd7fffffffff,65.0,18.0,0.0,0.0
82bce7fffffffff,85.0,28.0,0.0,0.0
82bcf7fffffffff,390.0,101.0,0.0,0.0
