cell_id,Troglodytes pacificus,Troglodytes pacificus [alascensis Group],Troglodytes pacificus [pacificus Group]
820c47fffffffff,1183.0,0.0,0.0
820c57fffffffff,199.0,0.0,0.0
820c5ffffffffff,868.0,0.0,0.0
820c6ffffffffff,13.0,0.0,0.0
820c77fffffffff,39.0,0.0,0.0
820ccffffffffff,6.0,0.0,0.0
820cdffffffffff,2.0,0.0,0.0
820ceffffffffff,32.0,0.0,0.0
82121ffffffffff,18.0,0.0,0.0
821287fffffffff,495.0,0.0,0.0
82128ffffffffff,186.0,0.0,0.0
821297fffffffff,446.0,0.0,0.0
82129ffffffffff,660.0,0.0,0.0
8212a7fffffffff,34.0,0.0,0.0
8212affffffffff,189.0,0.0,0.0
8212b7fffffffff,1831.0,0.0,0.0
8212c7fffffffff,728.0,0.0,0.0
8212cffffffffff,1626.0,0.0,0.0
8212d7fffffffff,935.0,0.0,0.0
8212dffffffffff,2533.0,0.0,0.0
8212e7fffffffff,10.0,0.0,0.0
8212effffffffff,3.0,0.0,0.0
8212f7fffffffff,384.0,0.0,0.0
821397fffffffff,388.0,0.0,0.0
82139ffffffffff,1427.0,0.0,0.0
821657fffffffff,137.0,113.0,0.0
82165ffffffffff,205.0,95.0,0.0
821d27fffffffff,226.0,0.0,0.0
8222c7fffffffff,3.0,0.0,0.0
8222d7fffffffff,158.0,73.0,0.0
8222dffffffffff,1937.0,1083.0,0.0
8222effffffffff,417.0,148.0,0.0
822697fffffffff,252.0,0.0,0.0
82269ffffffffff,2.0,0.0,0.0
8226a7fffffffff,22.0,0.0,1.0
822797fffffffff,15.0,0.0,0.0
8227b7fffffffff,6.0,0.0,0.0
822807fffffffff,6125.0,0.0,0.0
822817fffffffff,711.0,0.0,17.0
82281ffffffffff,7656.0,0.0,200.0
822837fffffffff,18546.0,0.0,1037.0
822887fffffffff,920.0,0.0,0.0
82288ffffffffff,1009.0,0.0,0.0
822897fffffffff,46.0,0.0,0.0
82289ffffffffff,915.0,0.0,1.0
8228a7fffffffff,17.0,0.0,0.0
8228affffffffff,678.0,0.0,0.0
8228b7fffffffff,96.0,0.0,0.0
8228c7fffffffff,7211.0,0.0,0.0
8228cffffffffff,34.0,0.0,0.0
8228d7fffffffff,53111.0,0.0,30.0
8228dffffffffff,21001.0,0.0,344.0
8228f7fffffffff,28492.0,0.0,28.0
822917fffffffff,86.0,0.0,0.0
82291ffffffffff,706.0,0.0,195.0
822987fffffffff,5.0,0.0,0.0
82298ffffffffff,539.0,0.0,14.0
822997fffffffff,38.0,0.0,0.0
82299ffffffffff,9.0,0.0,0.0
8229a7fffffffff,29.0,0.0,0.0
8229affffffffff,640.0,0.0,17.0
8229b7fffffffff,21.0,0.0,0.0
8248cffffffffff,66.0,0.0,0.0
