cell_id,Contopus pertinax,Contopus pertinax pertinax,Contopus pertinax minor
832834fffffffff,3.0,0.0,0.0
832912fffffffff,5.0,0.0,0.0
832995fffffffff,3.0,0.0,0.0
8329a0fffffffff,7.0,0.0,0.0
8329a1fffffffff,110.0,0.0,0.0
8329a4fffffffff,201.0,2.0,0.0
8329a5fffffffff,25.0,0.0,0.0
8329a6fffffffff,1.0,0.0,0.0
8329aefffffffff,1.0,0.0,0.0
8329b0fffffffff,4.0,0.0,0.0
8329b2fffffffff,29.0,0.0,0.0
8329b5fffffffff,22.0,0.0,0.0
8329b6fffffffff,8.0,0.0,0.0
83446cfffffffff,335.0,0.0,0.0
834520fffffffff,2.0,0.0,0.0
834526fffffffff,1.0,0.0,0.0
834832fffffffff,2.0,0.0,0.0
834833fffffffff,6.0,2.0,0.0
834836fffffffff,7.0,0.0,0.0
83485bfffffffff,4.0,0.0,0.0
83488dfffffffff,2.0,0.0,0.0
834891fffffffff,140.0,0.0,0.0
83489cfffffffff,7.0,0.0,0.0
8348b3fffffffff,143.0,0.0,0.0
8348c0fffffffff,7.0,0.0,0.0
8348c1fffffffff,5.0,0.0,0.0
8348c3fffffffff,6.0,0.0,0.0
8348c5fffffffff,6.0,0.0,0.0
8348c6fffffffff,1.0,0.0,0.0
8348ccfffffffff,1.0,0.0,0.0
8348cdfffffffff,8.0,0.0,0.0
8348d8fffffffff,51.0,0.0,0.0
8348e3fffffffff,5.0,0.0,0.0
8348e8fffffffff,646.0,4.0,0.0
8348e9fffffffff,6.0,0.0,0.0
8348eafffffffff,10.0,0.0,0.0
8348ebfffffffff,28.0,1.0,0.0
8348ecfffffffff,75.0,0.0,0.0
8348eefffffffff,114.0,0.0,0.0
8348f2fffffffff,2.0,0.0,0.0
834983fffffffff,5.0,0.0,0.0
834986fffffffff,1.0,1.0,0.0
834988fffffffff,1.0,0.0,0.0
834990fffffffff,4.0,0.0,0.0
834994fffffffff,13.0,2.0,0.0
834995fffffffff,1.0,1.0,0.0
834996fffffffff,18.0,1.0,0.0
83499cfffffffff,2.0,2.0,0.0
8349a9fffffffff,2.0,0.0,0.0
8349b3fffffffff,30.0,16.0,0.0
8349b5fffffffff,1.0,0.0,0.0
836790fffffffff,13.0,0.0,0.0
836d04fffffffff,4.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0
836d29fffffffff,1.0,0.0,0.0
836d2bfffffffff,1.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0
836d32fffffffff,15.0,0.0,0.0
836d33fffffffff,2.0,2.0,0.0
836d64fffffffff,1.0,0.0,0.0
836d74fffffffff,1.0,0.0,0.0
