cell_id,Phylloscopus humei,Phylloscopus humei humei,Phylloscopus humei mandellii
830763fffffffff,5.0,0.0,0.0
8308b3fffffffff,3.0,0.0,0.0
830999fffffffff,2.0,0.0,0.0
8310eefffffffff,4.0,0.0,0.0
831828fffffffff,1.0,0.0,0.0
831849fffffffff,27.0,0.0,0.0
831940fffffffff,3.0,0.0,0.0
831941fffffffff,27.0,0.0,0.0
831948fffffffff,26.0,0.0,0.0
83194afffffffff,21.0,0.0,0.0
83194cfffffffff,2.0,0.0,0.0
83194dfffffffff,20.0,0.0,0.0
831953fffffffff,2.0,0.0,0.0
831958fffffffff,5.0,0.0,0.0
831969fffffffff,9.0,0.0,0.0
83196bfffffffff,2.0,0.0,0.0
83196dfffffffff,10.0,0.0,0.0
831973fffffffff,1.0,0.0,0.0
831e0efffffffff,1.0,0.0,0.0
831e19fffffffff,1.0,0.0,0.0
831e2dfffffffff,1.0,0.0,0.0
831e83fffffffff,2.0,0.0,0.0
831ea5fffffffff,11.0,0.0,0.0
831ec1fffffffff,6.0,0.0,0.0
831ec9fffffffff,7.0,0.0,0.0
831edafffffffff,21.0,0.0,0.0
831f05fffffffff,14.0,0.0,0.0
831f0bfffffffff,8.0,0.0,0.0
831f12fffffffff,2.0,0.0,0.0
831f13fffffffff,2.0,0.0,0.0
831f24fffffffff,1.0,0.0,0.0
831f28fffffffff,2.0,0.0,0.0
831f29fffffffff,6.0,0.0,0.0
831f2afffffffff,5.0,4.0,0.0
831f33fffffffff,5.0,0.0,0.0
831f4efffffffff,4.0,0.0,0.0
831f72fffffffff,29.0,0.0,0.0
831f83fffffffff,2.0,0.0,0.0
831f98fffffffff,2.0,0.0,0.0
831fa4fffffffff,6.0,0.0,0.0
831fa5fffffffff,2.0,0.0,0.0
831fb5fffffffff,1.0,0.0,0.0
832012fffffffff,4.0,0.0,0.0
832019fffffffff,2.0,0.0,0.0
83201afffffffff,2.0,0.0,0.0
832083fffffffff,2.0,0.0,0.0
83208afffffffff,1.0,0.0,0.0
832099fffffffff,2.0,0.0,0.0
8320a2fffffffff,4.0,0.0,0.0
8320a9fffffffff,8.0,0.0,0.0
8320e0fffffffff,2.0,2.0,0.0
8320e6fffffffff,12.0,0.0,0.0
8320f5fffffffff,3.0,0.0,0.0
832512fffffffff,18.0,4.0,0.0
832513fffffffff,5.0,1.0,0.0
8325a8fffffffff,1.0,1.0,0.0
8325acfffffffff,94.0,33.0,0.0
8325adfffffffff,1.0,1.0,0.0
8325aefffffffff,14.0,4.0,0.0
832c90fffffffff,44.0,0.0,0.0
832c93fffffffff,5.0,0.0,0.0
832cc3fffffffff,3.0,0.0,0.0
832cdefffffffff,1.0,0.0,0.0
832cf3fffffffff,23.0,0.0,0.0
832d03fffffffff,1.0,0.0,0.0
832da1fffffffff,5.0,0.0,0.0
832da2fffffffff,2.0,0.0,0.0
832db0fffffffff,29.0,0.0,0.0
832db1fffffffff,5.0,0.0,0.0
832db2fffffffff,3.0,0.0,0.0
832db6fffffffff,2.0,0.0,0.0
833032fffffffff,2.0,0.0,0.0
83309bfffffffff,7.0,0.0,0.0
8330e2fffffffff,1.0,0.0,0.0
833113fffffffff,2.0,0.0,0.0
833188fffffffff,1.0,0.0,0.0
83318dfffffffff,11.0,0.0,0.0
8331a1fffffffff,2.0,0.0,0.0
8331a3fffffffff,1.0,0.0,0.0
8331a8fffffffff,80.0,0.0,0.0
8331aafffffffff,1.0,0.0,1.0
833910fffffffff,5.0,0.0,0.0
833911fffffffff,38.0,0.0,0.0
83391afffffffff,12.0,0.0,0.0
83391efffffffff,5.0,0.0,0.0
833925fffffffff,1.0,0.0,0.0
83392afffffffff,47.0,0.0,0.0
833931fffffffff,18.0,0.0,0.0
833944fffffffff,27.0,0.0,0.0
833946fffffffff,12.0,0.0,0.0
83395cfffffffff,3.0,0.0,0.0
833969fffffffff,2.0,0.0,0.0
833973fffffffff,2.0,0.0,0.0
833983fffffffff,1.0,0.0,0.0
8339abfffffffff,2.0,0.0,0.0
833c02fffffffff,2.0,0.0,0.0
833c0afffffffff,59.0,0.0,0.0
833c14fffffffff,2.0,0.0,0.0
833c19fffffffff,17.0,1.0,0.0
833c1bfffffffff,4.0,0.0,0.0
833c1cfffffffff,5.0,0.0,0.0
833c1dfffffffff,20.0,0.0,0.0
833c33fffffffff,3.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0
833c52fffffffff,22.0,0.0,0.0
833c5afffffffff,8.0,0.0,0.0
833c5cfffffffff,4.0,0.0,0.0
833c80fffffffff,2.0,0.0,0.0
833c8dfffffffff,3.0,0.0,0.0
833c92fffffffff,15.0,0.0,0.0
833c93fffffffff,5.0,0.0,0.0
833c95fffffffff,1.0,0.0,0.0
833c96fffffffff,2.0,0.0,0.0
833ca2fffffffff,2.0,0.0,0.0
833ca8fffffffff,13.0,0.0,0.0
833ca9fffffffff,17.0,0.0,0.0
833caafffffffff,2.0,0.0,0.0
833cabfffffffff,1.0,0.0,0.0
833cacfffffffff,49.0,0.0,0.0
833cadfffffffff,51.0,0.0,0.0
833caefffffffff,1.0,0.0,0.0
833cb5fffffffff,4.0,0.0,0.0
833cc0fffffffff,6.0,0.0,0.0
833cccfffffffff,4.0,0.0,0.0
833cdcfffffffff,3.0,0.0,0.0
833cddfffffffff,2.0,0.0,0.0
833ce0fffffffff,5.0,0.0,0.0
833ce1fffffffff,26.0,0.0,0.0
833ce2fffffffff,16.0,0.0,0.0
833ce3fffffffff,14.0,0.0,5.0
833ce5fffffffff,81.0,0.0,0.0
833ceafffffffff,19.0,0.0,0.0
833cebfffffffff,2.0,0.0,0.0
833cecfffffffff,36.0,0.0,0.0
833cedfffffffff,15.0,0.0,0.0
833ceefffffffff,6.0,0.0,0.0
833cf0fffffffff,3.0,0.0,0.0
833cf2fffffffff,21.0,0.0,0.0
833cf6fffffffff,1.0,0.0,0.0
833d00fffffffff,3.0,0.0,0.0
833d02fffffffff,1.0,0.0,0.0
833d04fffffffff,8.0,0.0,0.0
833d10fffffffff,13.0,0.0,0.0
833d11fffffffff,14.0,0.0,0.0
833d15fffffffff,52.0,0.0,0.0
833d1efffffffff,3.0,0.0,0.0
833d22fffffffff,6.0,0.0,0.0
833d33fffffffff,5.0,0.0,0.0
833d34fffffffff,8.0,0.0,0.0
833d35fffffffff,4.0,0.0,0.0
833d84fffffffff,3.0,0.0,0.0
833d8dfffffffff,2.0,0.0,0.0
833d91fffffffff,2.0,0.0,0.0
833d99fffffffff,2.0,0.0,0.0
833d9efffffffff,3.0,0.0,0.0
833da1fffffffff,2.0,0.0,0.0
833da3fffffffff,4.0,0.0,0.0
833dacfffffffff,2.0,0.0,0.0
833dadfffffffff,9.0,0.0,0.0
833e68fffffffff,46.0,0.0,0.0
833e6cfffffffff,52.0,0.0,0.0
833f4dfffffffff,1.0,0.0,0.0
833f63fffffffff,6.0,0.0,0.0
83404efffffffff,2.0,0.0,2.0
834103fffffffff,45.0,0.0,0.0
83411cfffffffff,11.0,0.0,0.0
834220fffffffff,6.0,0.0,0.0
834230fffffffff,3.0,0.0,0.0
834233fffffffff,8.0,0.0,0.0
8342c1fffffffff,10.0,0.0,0.0
8342c2fffffffff,2.0,0.0,0.0
8342c4fffffffff,8.0,0.0,0.0
8342c6fffffffff,2.0,0.0,0.0
8342cafffffffff,2.0,0.0,0.0
8342ccfffffffff,14.0,0.0,0.0
8342cdfffffffff,2.0,0.0,0.0
8342cefffffffff,8.0,0.0,0.0
8342d9fffffffff,5.0,0.0,0.0
8342dbfffffffff,2.0,0.0,0.0
8342dcfffffffff,2.0,0.0,0.0
8342ddfffffffff,13.0,0.0,0.0
8342ebfffffffff,4.0,0.0,0.0
834313fffffffff,3.0,0.0,0.0
83431efffffffff,28.0,0.0,0.0
834360fffffffff,4.0,0.0,0.0
834381fffffffff,2.0,0.0,0.0
83438bfffffffff,2.0,0.0,0.0
834392fffffffff,2.0,0.0,0.0
8343a0fffffffff,9.0,0.0,0.0
8343a1fffffffff,5.0,0.0,0.0
8343a6fffffffff,1.0,0.0,0.0
8343acfffffffff,9.0,0.0,0.0
8343aefffffffff,3.0,0.0,0.0
835269fffffffff,16.0,0.0,0.0
836010fffffffff,3.0,0.0,0.0
836011fffffffff,28.0,0.0,0.0
836012fffffffff,4.0,0.0,0.0
836014fffffffff,22.0,0.0,0.0
836015fffffffff,1.0,0.0,0.0
836016fffffffff,48.0,0.0,0.0
83601efffffffff,5.0,0.0,0.0
836031fffffffff,2.0,0.0,0.0
836033fffffffff,3.0,0.0,0.0
836084fffffffff,8.0,0.0,0.0
836088fffffffff,6.0,0.0,0.0
83608afffffffff,6.0,0.0,0.0
83608bfffffffff,92.0,2.0,0.0
83608dfffffffff,2.0,0.0,0.0
836091fffffffff,4.0,0.0,0.0
836093fffffffff,2.0,0.0,0.0
8360a0fffffffff,12.0,0.0,0.0
8360a2fffffffff,33.0,0.0,0.0
8360a4fffffffff,2.0,0.0,0.0
8360a6fffffffff,26.0,0.0,0.0
8360adfffffffff,3.0,0.0,0.0
8360b1fffffffff,13.0,0.0,0.0
8360b5fffffffff,2.0,0.0,0.0
836188fffffffff,9.0,0.0,0.0
836189fffffffff,4.0,0.0,0.0
83619afffffffff,14.0,0.0,0.0
836491fffffffff,7.0,0.0,0.0
836599fffffffff,2.0,0.0,0.0
