cell_id,Tyrannus melancholicus,Tyrannus melancholicus occidentalis,Tyrannus melancholicus satrapa,Tyrannus melancholicus melancholicus/despotes
8412b01ffffffff,1.0,0.0,0.0,0.0
8412b03ffffffff,17.0,0.0,0.0,0.0
841d243ffffffff,3.0,0.0,0.0,0.0
84262cdffffffff,20.0,0.0,0.0,0.0
8426409ffffffff,1.0,0.0,0.0,0.0
8426443ffffffff,1.0,0.0,0.0,0.0
84265b7ffffffff,44.0,0.0,0.0,0.0
8426889ffffffff,3.0,0.0,0.0,0.0
84268cdffffffff,52.0,0.0,0.0,0.0
8426963ffffffff,2.0,0.0,0.0,0.0
8426969ffffffff,5.0,0.0,0.0,0.0
8426989ffffffff,4.0,0.0,0.0,0.0
8426c89ffffffff,1.0,0.0,0.0,0.0
8427541ffffffff,5.0,0.0,0.0,0.0
8427631ffffffff,2.0,0.0,0.0,0.0
8427633ffffffff,12.0,0.0,0.0,0.0
84276e9ffffffff,2.0,0.0,0.0,0.0
84276edffffffff,2.0,0.0,0.0,0.0
842775dffffffff,2.0,0.0,0.0,0.0
8428005ffffffff,2.0,0.0,0.0,0.0
8428007ffffffff,14.0,0.0,0.0,0.0
8428023ffffffff,85.0,0.0,0.0,0.0
842802bffffffff,152.0,0.0,0.0,0.0
8428035ffffffff,5.0,0.0,0.0,0.0
8428063ffffffff,3.0,0.0,0.0,0.0
8428069ffffffff,6.0,0.0,0.0,0.0
842806bffffffff,8.0,0.0,0.0,0.0
8428183ffffffff,2.0,0.0,0.0,0.0
842818bffffffff,11.0,0.0,0.0,0.0
8428195ffffffff,3.0,0.0,0.0,0.0
842819dffffffff,5.0,0.0,0.0,0.0
84281b1ffffffff,12.0,0.0,0.0,0.0
84281b3ffffffff,21.0,0.0,0.0,0.0
84281b9ffffffff,1.0,0.0,0.0,0.0
84281c3ffffffff,6.0,0.0,0.0,0.0
84281cbffffffff,26.0,0.0,0.0,0.0
84281d5ffffffff,8.0,0.0,0.0,0.0
84281ddffffffff,3.0,0.0,0.0,0.0
84281ebffffffff,7.0,0.0,0.0,0.0
8428301ffffffff,23.0,0.0,0.0,0.0
8428305ffffffff,2.0,0.0,0.0,0.0
8428309ffffffff,366.0,0.0,0.0,0.0
842830bffffffff,111.0,0.0,0.0,0.0
842830dffffffff,141.0,0.0,0.0,0.0
8428313ffffffff,10.0,0.0,0.0,0.0
8428317ffffffff,6.0,0.0,0.0,0.0
842831dffffffff,63.0,0.0,0.0,0.0
842832bffffffff,33.0,0.0,0.0,0.0
8428341ffffffff,114.0,0.0,0.0,0.0
8428343ffffffff,96.0,0.0,0.0,0.0
8428345ffffffff,6.0,0.0,0.0,0.0
8428347ffffffff,201.0,0.0,0.0,0.0
842834dffffffff,396.0,0.0,0.0,0.0
8428355ffffffff,98.0,0.0,0.0,0.0
8428357ffffffff,69.0,0.0,0.0,0.0
8428361ffffffff,10.0,0.0,0.0,0.0
842836dffffffff,4.0,0.0,0.0,0.0
8428c23ffffffff,6.0,0.0,0.0,0.0
8428c27ffffffff,25.0,0.0,0.0,0.0
8428c2bffffffff,7.0,0.0,0.0,0.0
8428c35ffffffff,3.0,0.0,0.0,0.0
8428c61ffffffff,47.0,0.0,0.0,0.0
8428c65ffffffff,3.0,0.0,0.0,0.0
8428c67ffffffff,3.0,0.0,0.0,0.0
8428c6dffffffff,34.0,0.0,0.0,0.0
8428d0bffffffff,15.0,0.0,0.0,0.0
8428d13ffffffff,10.0,0.0,0.0,0.0
8428d15ffffffff,4.0,0.0,0.0,0.0
8428d17ffffffff,4.0,0.0,0.0,0.0
8428d19ffffffff,30.0,0.0,0.0,0.0
8428d1bffffffff,75.0,0.0,0.0,0.0
8428d1dffffffff,21.0,0.0,0.0,0.0
8428d43ffffffff,1.0,0.0,0.0,0.0
8428d55ffffffff,9.0,0.0,0.0,0.0
8428d81ffffffff,1.0,0.0,0.0,0.0
8428d8bffffffff,10.0,0.0,0.0,0.0
8428d9dffffffff,2.0,0.0,0.0,0.0
8428dc7ffffffff,3.0,0.0,0.0,0.0
8428dc9ffffffff,384.0,0.0,0.0,0.0
8428dcdffffffff,2.0,0.0,0.0,0.0
8428dd1ffffffff,13.0,0.0,0.0,0.0
8428dd5ffffffff,15.0,0.0,0.0,0.0
8428de9ffffffff,94.0,0.0,0.0,0.0
8428f01ffffffff,5.0,0.0,0.0,0.0
8428f11ffffffff,4.0,0.0,0.0,0.0
8428f17ffffffff,27.0,0.0,0.0,0.0
8428f19ffffffff,18.0,0.0,0.0,0.0
8428f1dffffffff,5.0,0.0,0.0,0.0
8428f51ffffffff,3.0,0.0,0.0,0.0
8428f57ffffffff,28.0,0.0,0.0,0.0
8428f59ffffffff,22.0,0.0,0.0,0.0
8429121ffffffff,6.0,0.0,0.0,0.0
8429125ffffffff,125.0,0.0,0.0,0.0
8429127ffffffff,62.0,0.0,0.0,0.0
842912dffffffff,2.0,0.0,0.0,0.0
8429135ffffffff,11.0,0.0,0.0,0.0
8429137ffffffff,8.0,0.0,0.0,0.0
8429167ffffffff,2.0,0.0,0.0,0.0
84291a7ffffffff,229.0,0.0,0.0,0.0
