cell_id,Heterophasia desgodinsi,Heterophasia desgodinsi desgodinsi/tonkinensis,Heterophasia desgodinsi engelbachi/kingi,Heterophasia desgodinsi robinsoni
844001bffffffff,1.0,0.0,0.0,0.0
8440021ffffffff,1.0,0.0,0.0,0.0
8440035ffffffff,3.0,0.0,0.0,0.0
8440123ffffffff,1.0,0.0,0.0,0.0
8440133ffffffff,2.0,0.0,0.0,0.0
8440139ffffffff,1.0,0.0,0.0,0.0
844018bffffffff,1.0,0.0,0.0,0.0
844019dffffffff,1.0,0.0,0.0,0.0
84401dbffffffff,4.0,0.0,0.0,0.0
8440291ffffffff,1.0,0.0,0.0,0.0
8440403ffffffff,8.0,0.0,0.0,0.0
8440417ffffffff,5.0,0.0,0.0,0.0
8440431ffffffff,1.0,0.0,0.0,0.0
8440435ffffffff,1.0,0.0,0.0,0.0
8440437ffffffff,1.0,0.0,0.0,0.0
8440439ffffffff,65.0,0.0,0.0,0.0
844043dffffffff,4.0,0.0,0.0,0.0
8440443ffffffff,5.0,0.0,0.0,0.0
8440447ffffffff,70.0,2.0,0.0,0.0
844044bffffffff,3.0,0.0,0.0,0.0
8440455ffffffff,4.0,0.0,0.0,0.0
8440457ffffffff,8.0,0.0,0.0,0.0
844045dffffffff,3.0,0.0,0.0,0.0
84404c1ffffffff,86.0,3.0,0.0,0.0
84404c3ffffffff,4.0,0.0,0.0,0.0
84404c5ffffffff,372.0,6.0,0.0,0.0
84404c9ffffffff,1.0,0.0,0.0,0.0
84404ddffffffff,18.0,0.0,0.0,0.0
84404e9ffffffff,1.0,0.0,0.0,0.0
84404edffffffff,2.0,0.0,0.0,0.0
8440503ffffffff,1.0,0.0,0.0,0.0
8440589ffffffff,9.0,0.0,0.0,0.0
8440591ffffffff,1.0,0.0,0.0,0.0
84405c1ffffffff,4.0,0.0,0.0,0.0
84405c9ffffffff,19.0,2.0,0.0,0.0
84405cbffffffff,7.0,0.0,0.0,0.0
84405ddffffffff,9.0,0.0,0.0,0.0
84405e9ffffffff,1.0,0.0,0.0,0.0
8440603ffffffff,1.0,0.0,0.0,0.0
8440611ffffffff,1.0,1.0,0.0,0.0
8440613ffffffff,2.0,0.0,0.0,0.0
8440627ffffffff,1.0,1.0,0.0,0.0
8440635ffffffff,1.0,0.0,0.0,0.0
8440651ffffffff,5.0,0.0,0.0,0.0
8440657ffffffff,2.0,0.0,0.0,0.0
844066dffffffff,6.0,0.0,0.0,0.0
84406b7ffffffff,19.0,1.0,0.0,0.0
8440717ffffffff,18.0,1.0,0.0,0.0
8440a8dffffffff,1.0,0.0,0.0,0.0
8440ac5ffffffff,2.0,0.0,0.0,0.0
8440c59ffffffff,2.0,0.0,0.0,0.0
8440e11ffffffff,21.0,0.0,0.0,0.0
8440e13ffffffff,9.0,0.0,0.0,0.0
8440e17ffffffff,6.0,0.0,0.0,0.0
8440e33ffffffff,3.0,0.0,0.0,0.0
8440e37ffffffff,17.0,0.0,0.0,0.0
8440e5bffffffff,2.0,0.0,0.0,0.0
8440ec9ffffffff,1.0,0.0,0.0,0.0
8440ee9ffffffff,2.0,0.0,0.0,0.0
8441597ffffffff,1.0,0.0,0.0,0.0
84415a1ffffffff,7.0,0.0,0.0,0.0
84415a9ffffffff,4.0,0.0,0.0,0.0
84415abffffffff,1.0,0.0,0.0,0.0
8441653ffffffff,1.0,0.0,0.0,0.0
8464983ffffffff,6.0,0.0,0.0,0.0
846592bffffffff,2.0,0.0,0.0,0.0
