cell_id,Toxostoma lecontei,Toxostoma lecontei lecontei/macmillanorum,Toxostoma lecontei arenicola
8429819ffffffff,10.0,0.0,0.0
842981bffffffff,3.0,0.0,0.0
8429841ffffffff,29.0,0.0,0.0
8429845ffffffff,12.0,0.0,0.0
8429847ffffffff,2.0,0.0,0.0
842984bffffffff,2.0,0.0,0.0
842984dffffffff,28.0,0.0,0.0
8429851ffffffff,13.0,0.0,0.0
8429853ffffffff,6.0,0.0,0.0
8429855ffffffff,2.0,0.0,0.0
8429857ffffffff,3.0,0.0,0.0
8429859ffffffff,50.0,0.0,0.0
842985bffffffff,4.0,0.0,0.0
8429863ffffffff,3.0,0.0,0.0
842986dffffffff,1.0,0.0,0.0
84298c9ffffffff,2.0,0.0,0.0
84298cdffffffff,16.0,0.0,0.0
8429a03ffffffff,14.0,0.0,0.0
8429a05ffffffff,8.0,0.0,0.0
8429a07ffffffff,1.0,0.0,0.0
8429a13ffffffff,1.0,0.0,0.0
8429a15ffffffff,113.0,0.0,0.0
8429a17ffffffff,997.0,0.0,0.0
8429a23ffffffff,6.0,0.0,0.0
8429a25ffffffff,9.0,0.0,0.0
8429a27ffffffff,10.0,0.0,0.0
8429a29ffffffff,117.0,0.0,0.0
8429a2dffffffff,2.0,0.0,0.0
8429a31ffffffff,147.0,0.0,0.0
8429a33ffffffff,17.0,0.0,0.0
8429a35ffffffff,1.0,0.0,0.0
8429a37ffffffff,4.0,0.0,0.0
8429a39ffffffff,6.0,0.0,0.0
8429a3bffffffff,336.0,0.0,0.0
8429a3dffffffff,6.0,0.0,0.0
8429a61ffffffff,41.0,0.0,0.0
8429a63ffffffff,3.0,0.0,0.0
8429a65ffffffff,1.0,0.0,0.0
8429a67ffffffff,50.0,0.0,0.0
8429a69ffffffff,43.0,0.0,0.0
8429a6bffffffff,75.0,0.0,0.0
8429aa5ffffffff,102.0,0.0,0.0
8429aa7ffffffff,63.0,0.0,0.0
8429aadffffffff,42.0,0.0,0.0
8429ac1ffffffff,184.0,0.0,0.0
8429ac3ffffffff,12.0,0.0,0.0
8429ac5ffffffff,258.0,0.0,0.0
8429ac7ffffffff,29.0,0.0,0.0
8429acdffffffff,1.0,0.0,0.0
8429ae1ffffffff,41.0,0.0,0.0
8429ae5ffffffff,254.0,0.0,0.0
8429ae9ffffffff,2.0,0.0,0.0
8429aedffffffff,100.0,0.0,0.0
8429b03ffffffff,2.0,0.0,0.0
8429b0bffffffff,2.0,0.0,0.0
8429b11ffffffff,5.0,0.0,0.0
8429b13ffffffff,18.0,0.0,0.0
8429b1bffffffff,52.0,0.0,0.0
8429b39ffffffff,1.0,0.0,0.0
8429b41ffffffff,2.0,0.0,0.0
8429b45ffffffff,5.0,0.0,0.0
8429b47ffffffff,2.0,0.0,0.0
8429b53ffffffff,1.0,0.0,0.0
8429b57ffffffff,2.0,0.0,0.0
8429b59ffffffff,23.0,0.0,0.0
8429b5bffffffff,7.0,0.0,0.0
8429b5dffffffff,2.0,0.0,0.0
844846dffffffff,6.0,0.0,0.0
8448559ffffffff,6.0,0.0,3.0
8448585ffffffff,10.0,2.0,0.0
8448587ffffffff,2.0,2.0,0.0
8448597ffffffff,1.0,0.0,0.0
84485a9ffffffff,1.0,1.0,0.0
84485adffffffff,1.0,0.0,0.0
84485c7ffffffff,13.0,0.0,0.0
84485e3ffffffff,5.0,1.0,0.0
84485e5ffffffff,7.0,4.0,0.0
84485e7ffffffff,11.0,6.0,0.0
8448715ffffffff,18.0,0.0,10.0
844872bffffffff,1.0,0.0,0.0
8448731ffffffff,29.0,0.0,13.0
8448733ffffffff,37.0,0.0,15.0
8448735ffffffff,2.0,0.0,2.0
8448737ffffffff,3.0,0.0,0.0
8448739ffffffff,2.0,0.0,2.0
844873dffffffff,3.0,0.0,0.0
8448e93ffffffff,677.0,0.0,0.0
8448e97ffffffff,9.0,0.0,0.0
8448e9bffffffff,2.0,0.0,0.0
8448ebbffffffff,2.0,0.0,0.0
