cell_id,Melanochlora sultanea,Melanochlora sultanea [sultanea Group],Melanochlora sultanea gayeti
833c06fffffffff,3.0,0.0,0.0
833c0afffffffff,168.0,0.0,0.0
833c0bfffffffff,8.0,2.0,0.0
833c15fffffffff,1.0,0.0,0.0
833c19fffffffff,273.0,0.0,0.0
833c1dfffffffff,98.0,0.0,0.0
833c52fffffffff,311.0,0.0,0.0
833c53fffffffff,5.0,0.0,0.0
833c58fffffffff,271.0,0.0,0.0
833c59fffffffff,4.0,0.0,0.0
833c5afffffffff,757.0,0.0,0.0
833c5bfffffffff,311.0,0.0,0.0
833c5cfffffffff,16.0,0.0,0.0
833c5efffffffff,2.0,0.0,0.0
833cc0fffffffff,23.0,0.0,0.0
833ccbfffffffff,1.0,0.0,0.0
833ce1fffffffff,59.0,0.0,0.0
833ce4fffffffff,118.0,10.0,0.0
833ce5fffffffff,418.0,20.0,0.0
833cebfffffffff,2.0,0.0,0.0
833cecfffffffff,196.0,0.0,0.0
834049fffffffff,2.0,0.0,0.0
83404bfffffffff,1.0,0.0,0.0
83404dfffffffff,55.0,0.0,0.0
83404efffffffff,2.0,0.0,0.0
834061fffffffff,1.0,0.0,0.0
834065fffffffff,9.0,0.0,0.0
83406bfffffffff,5.0,0.0,0.0
834143fffffffff,112.0,10.0,0.0
834149fffffffff,5.0,0.0,0.0
834158fffffffff,3.0,1.0,0.0
83415cfffffffff,35.0,5.0,0.0
83415efffffffff,35.0,1.0,0.0
834160fffffffff,1.0,0.0,0.0
834161fffffffff,5.0,5.0,0.0
834165fffffffff,54.0,0.0,17.0
83416bfffffffff,3.0,0.0,0.0
83416efffffffff,67.0,17.0,2.0
834171fffffffff,158.0,27.0,0.0
834184fffffffff,6.0,0.0,0.0
834185fffffffff,20.0,0.0,0.0
8341a3fffffffff,2.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0
836416fffffffff,911.0,202.0,0.0
836431fffffffff,4.0,0.0,0.0
836433fffffffff,2.0,0.0,0.0
836434fffffffff,11.0,5.0,0.0
836482fffffffff,46.0,10.0,0.0
836485fffffffff,1.0,0.0,0.0
83648afffffffff,2.0,0.0,0.0
83648efffffffff,4.0,0.0,0.0
836490fffffffff,2.0,0.0,0.0
836491fffffffff,7.0,2.0,0.0
836495fffffffff,1.0,0.0,0.0
83649cfffffffff,4.0,4.0,0.0
83649efffffffff,2.0,0.0,0.0
8364a0fffffffff,6.0,0.0,0.0
8364a1fffffffff,19.0,2.0,0.0
8364a3fffffffff,9.0,0.0,0.0
8364a5fffffffff,3.0,2.0,0.0
8364b0fffffffff,2.0,0.0,0.0
8364b1fffffffff,2.0,0.0,0.0
8364b5fffffffff,48.0,3.0,0.0
836500fffffffff,394.0,32.0,0.0
836502fffffffff,9.0,1.0,0.0
836503fffffffff,17.0,0.0,0.0
836505fffffffff,104.0,4.0,0.0
836518fffffffff,4.0,0.0,0.0
83651bfffffffff,4.0,0.0,0.0
83651cfffffffff,79.0,31.0,0.0
836589fffffffff,4.0,0.0,0.0
836599fffffffff,235.0,54.0,0.0
836934fffffffff,84.0,0.0,28.0
