cell_id,Chloris sinica,Chloris sinica [sinica Group],Chloris sinica kittlitzi
821487fffffffff,1.0,0.0,0.0
82148ffffffffff,6.0,0.0,0.0
821497fffffffff,2.0,0.0,0.0
82149ffffffffff,35.0,0.0,0.0
8214a7fffffffff,1.0,0.0,0.0
8214affffffffff,58.0,0.0,0.0
8214cffffffffff,5.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0
82158ffffffffff,2.0,0.0,0.0
82159ffffffffff,10.0,2.0,0.0
8215b7fffffffff,2.0,0.0,0.0
821617fffffffff,36.0,0.0,0.0
8216a7fffffffff,1.0,0.0,0.0
82171ffffffffff,20.0,0.0,0.0
821747fffffffff,12.0,0.0,0.0
821757fffffffff,19.0,0.0,0.0
82178ffffffffff,3.0,0.0,0.0
82244ffffffffff,1.0,0.0,0.0
822457fffffffff,2.0,0.0,0.0
82245ffffffffff,1.0,0.0,0.0
822467fffffffff,8.0,0.0,0.0
822487fffffffff,2.0,0.0,0.0
82248ffffffffff,147.0,0.0,0.0
82249ffffffffff,2.0,0.0,0.0
8224affffffffff,5.0,0.0,0.0
8224c7fffffffff,30.0,0.0,0.0
8224cffffffffff,2.0,0.0,0.0
8224d7fffffffff,29.0,0.0,0.0
8224dffffffffff,4.0,0.0,0.0
82255ffffffffff,2.0,0.0,0.0
822e0ffffffffff,124.0,0.0,0.0
822e17fffffffff,85.0,4.0,0.0
822e1ffffffffff,139.0,1.0,0.0
822e2ffffffffff,48.0,0.0,0.0
822e47fffffffff,19.0,0.0,0.0
822e4ffffffffff,2.0,0.0,0.0
822e67fffffffff,531.0,0.0,0.0
822e6ffffffffff,691.0,0.0,0.0
822e77fffffffff,456.0,0.0,0.0
822e8ffffffffff,88.0,0.0,0.0
822e9ffffffffff,10.0,0.0,0.0
822ea7fffffffff,7.0,0.0,0.0
822eaffffffffff,142.0,4.0,0.0
822ec7fffffffff,7.0,0.0,0.0
822ecffffffffff,7.0,0.0,0.0
822ed7fffffffff,5.0,0.0,0.0
822edffffffffff,2.0,0.0,0.0
822ee7fffffffff,1.0,0.0,0.0
822eeffffffffff,2.0,0.0,0.0
822ef7fffffffff,45.0,0.0,0.0
822f47fffffffff,9.0,0.0,0.0
822f5ffffffffff,1127.0,0.0,0.0
823007fffffffff,36.0,0.0,0.0
823017fffffffff,26.0,0.0,0.0
82301ffffffffff,89.0,0.0,0.0
823027fffffffff,59.0,0.0,0.0
823037fffffffff,68.0,0.0,0.0
823087fffffffff,28.0,0.0,0.0
823097fffffffff,36.0,0.0,0.0
82309ffffffffff,436.0,6.0,0.0
8230a7fffffffff,16.0,0.0,0.0
8230affffffffff,10.0,0.0,0.0
8230b7fffffffff,5.0,0.0,0.0
8230c7fffffffff,184.0,0.0,0.0
8230cffffffffff,14.0,0.0,0.0
8230d7fffffffff,115.0,0.0,0.0
8230dffffffffff,68.0,0.0,0.0
8230e7fffffffff,645.0,0.0,0.0
8230effffffffff,102.0,0.0,0.0
8230f7fffffffff,4.0,0.0,0.0
823117fffffffff,2.0,0.0,0.0
82311ffffffffff,4.0,0.0,0.0
823127fffffffff,3.0,0.0,0.0
823137fffffffff,6.0,0.0,0.0
823147fffffffff,2.0,0.0,0.0
823157fffffffff,3.0,0.0,0.0
82315ffffffffff,9.0,0.0,0.0
823167fffffffff,8.0,0.0,0.0
82316ffffffffff,102.0,0.0,0.0
823187fffffffff,789.0,2.0,0.0
82318ffffffffff,37.0,0.0,0.0
823197fffffffff,27.0,0.0,0.0
82319ffffffffff,8.0,0.0,0.0
8231a7fffffffff,1.0,0.0,0.0
8231affffffffff,1634.0,3.0,0.0
8231b7fffffffff,6.0,0.0,0.0
824007fffffffff,9.0,0.0,0.0
82400ffffffffff,18.0,0.0,0.0
824017fffffffff,7.0,0.0,0.0
82401ffffffffff,14.0,0.0,0.0
824027fffffffff,6.0,0.0,0.0
82402ffffffffff,4.0,0.0,0.0
824037fffffffff,10.0,0.0,0.0
824047fffffffff,1.0,0.0,0.0
824057fffffffff,12.0,0.0,0.0
82405ffffffffff,3.0,0.0,0.0
824077fffffffff,6.0,0.0,0.0
82408ffffffffff,48.0,0.0,0.0
824097fffffffff,15.0,0.0,0.0
8240a7fffffffff,26.0,0.0,0.0
8240affffffffff,10.0,0.0,0.0
8240b7fffffffff,47.0,0.0,0.0
8240c7fffffffff,76.0,2.0,0.0
8240cffffffffff,2.0,0.0,0.0
8240d7fffffffff,9.0,0.0,0.0
8240dffffffffff,4.0,0.0,0.0
8240e7fffffffff,202.0,2.0,0.0
8240effffffffff,66.0,3.0,0.0
8240f7fffffffff,5.0,0.0,0.0
824117fffffffff,3.0,0.0,0.0
82411ffffffffff,158.0,1.0,0.0
824157fffffffff,11.0,0.0,0.0
82415ffffffffff,11.0,0.0,0.0
824167fffffffff,14.0,0.0,0.0
824177fffffffff,6.0,0.0,0.0
824187fffffffff,9.0,0.0,0.0
82418ffffffffff,18.0,0.0,0.0
824197fffffffff,198.0,2.0,0.0
82419ffffffffff,55.0,1.0,0.0
8241a7fffffffff,1382.0,0.0,0.0
8241b7fffffffff,1042.0,3.0,0.0
824b37fffffffff,47.0,1.0,0.0
824b67fffffffff,221.0,0.0,0.0
824b6ffffffffff,6.0,0.0,0.0
824b77fffffffff,320.0,0.0,0.0
824b87fffffffff,5.0,0.0,0.0
824ba7fffffffff,153.0,0.0,0.0
824bb7fffffffff,54.0,0.0,0.0
8265b7fffffffff,3.0,0.0,0.0
