cell_id,Oriolus chinensis,Oriolus chinensis diffusus,Oriolus chinensis [maculatus Group],Oriolus chinensis [chinensis Group],Oriolus chinensis melanisticus,Oriolus chinensis [frontalis Group],Oriolus chinensis broderipi/boneratensis
8414ae5ffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8414ae9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8424de7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842ec03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
842ec95ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842ec99ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
842ecb9ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
842edb7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843000dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843015bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430259ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
843025dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84302b7ffffffff,57.0,4.0,0.0,0.0,0.0,0.0,0.0
8430305ffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
843030dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8430325ffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8430329ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
843032dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430833ffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8430911ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8430915ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
843091bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
843091dffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8430963ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8430981ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430985ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430987ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
843098dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430991ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8430995ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8430997ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84309a5ffffffff,26.0,2.0,0.0,0.0,0.0,0.0,0.0
84309b3ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84309b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84309bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84309bdffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84309d9ffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8430ac1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c0dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c15ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c17ffffffff,6.0,2.0,0.0,0.0,0.0,0.0,0.0
8430c1dffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c29ffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c2bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8430c3bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
