cell_id,Lanius cristatus,Lanius cristatus cristatus/confusus,Lanius cristatus superciliosus,Lanius cristatus lucionensis
830895fffffffff,4.0,2.0,0.0,0.0
8309a4fffffffff,2.0,0.0,0.0,0.0
830ca4fffffffff,9.0,0.0,0.0,0.0
831126fffffffff,5.0,1.0,0.0,0.0
83158afffffffff,2.0,0.0,0.0,0.0
831592fffffffff,1.0,0.0,0.0,0.0
831598fffffffff,27.0,27.0,0.0,0.0
831873fffffffff,5.0,0.0,0.0,0.0
831876fffffffff,3.0,0.0,0.0,0.0
83192cfffffffff,1.0,0.0,0.0,0.0
831940fffffffff,3.0,1.0,0.0,0.0
831941fffffffff,18.0,0.0,0.0,0.0
831942fffffffff,1.0,0.0,0.0,0.0
83194dfffffffff,6.0,0.0,0.0,2.0
83195dfffffffff,8.0,2.0,0.0,0.0
831973fffffffff,6.0,0.0,0.0,0.0
831eb1fffffffff,2.0,0.0,0.0,0.0
831f22fffffffff,2.0,1.0,0.0,0.0
831fa5fffffffff,2.0,0.0,0.0,0.0
8322dbfffffffff,1.0,0.0,0.0,0.0
83240afffffffff,2.0,0.0,0.0,2.0
83240cfffffffff,2.0,0.0,0.0,0.0
83244bfffffffff,2.0,0.0,0.0,0.0
832451fffffffff,1.0,0.0,0.0,0.0
832452fffffffff,2.0,0.0,0.0,0.0
832456fffffffff,1.0,0.0,0.0,0.0
832460fffffffff,11.0,1.0,0.0,0.0
83248bfffffffff,2.0,0.0,0.0,0.0
832498fffffffff,1.0,0.0,0.0,0.0
83255afffffffff,5.0,4.0,0.0,0.0
83255bfffffffff,1.0,0.0,0.0,0.0
8325acfffffffff,4.0,4.0,0.0,0.0
832802fffffffff,70.0,2.0,0.0,0.0
832830fffffffff,8.0,0.0,0.0,0.0
832835fffffffff,5.0,0.0,0.0,0.0
8328d1fffffffff,4.0,0.0,0.0,0.0
832b0efffffffff,3.0,0.0,0.0,0.0
832c93fffffffff,12.0,0.0,0.0,0.0
83302bfffffffff,1.0,1.0,0.0,0.0
833030fffffffff,2.0,0.0,0.0,0.0
833099fffffffff,2.0,0.0,0.0,0.0
83309bfffffffff,29.0,0.0,0.0,0.0
83309dfffffffff,2.0,0.0,0.0,0.0
8330e3fffffffff,2.0,0.0,0.0,0.0
83318dfffffffff,4.0,0.0,0.0,0.0
8331b4fffffffff,2.0,0.0,0.0,0.0
833925fffffffff,19.0,2.0,0.0,0.0
833973fffffffff,2.0,0.0,0.0,0.0
833c02fffffffff,1.0,0.0,0.0,0.0
833c0afffffffff,6.0,0.0,0.0,0.0
833c11fffffffff,2.0,0.0,0.0,0.0
833c15fffffffff,5.0,4.0,0.0,0.0
833c18fffffffff,6.0,0.0,0.0,0.0
833c19fffffffff,19.0,8.0,0.0,0.0
833c1afffffffff,2.0,0.0,0.0,0.0
833c1bfffffffff,8.0,1.0,0.0,0.0
833c1cfffffffff,1.0,0.0,0.0,0.0
833c1dfffffffff,3.0,0.0,0.0,0.0
833c32fffffffff,1.0,0.0,0.0,0.0
833c33fffffffff,4.0,0.0,0.0,0.0
833c36fffffffff,2.0,0.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0,0.0
833c58fffffffff,5.0,0.0,0.0,0.0
833c89fffffffff,2.0,0.0,0.0,0.0
833c8dfffffffff,7.0,2.0,0.0,2.0
