cell_id,Chionomesa lactea,Chionomesa lactea lactea/zimmeri,Chionomesa lactea bartletti
845f407ffffffff,2.0,0.0,0.0
845f68bffffffff,7.0,0.0,0.0
8481029ffffffff,8.0,1.0,0.0
8481049ffffffff,3.0,0.0,0.0
8481061ffffffff,3.0,0.0,0.0
8481063ffffffff,11.0,1.0,0.0
8481105ffffffff,2.0,0.0,0.0
8481137ffffffff,2.0,0.0,0.0
8481161ffffffff,2.0,0.0,0.0
8481211ffffffff,4.0,0.0,0.0
8481245ffffffff,3.0,0.0,0.0
848124bffffffff,2.0,0.0,0.0
848124dffffffff,5.0,1.0,0.0
8481303ffffffff,13.0,0.0,0.0
848131dffffffff,2.0,0.0,0.0
8481321ffffffff,1.0,0.0,0.0
8481329ffffffff,2.0,0.0,0.0
8481331ffffffff,9.0,0.0,0.0
8481339ffffffff,261.0,13.0,0.0
8481345ffffffff,1.0,0.0,0.0
848b0c9ffffffff,6.0,0.0,0.0
848b1edffffffff,1.0,0.0,0.0
848b2a7ffffffff,4.0,0.0,0.0
848b401ffffffff,20.0,0.0,0.0
848b40bffffffff,8.0,0.0,0.0
848b40dffffffff,9.0,0.0,0.0
848b429ffffffff,7.0,0.0,0.0
848b445ffffffff,28.0,0.0,0.0
848b449ffffffff,3.0,0.0,0.0
848b44bffffffff,32.0,0.0,0.0
848b44dffffffff,77.0,0.0,4.0
848b459ffffffff,2.0,0.0,0.0
848b461ffffffff,2.0,0.0,0.0
848b493ffffffff,2.0,0.0,0.0
848b4e5ffffffff,8.0,0.0,3.0
848b511ffffffff,6.0,0.0,5.0
848b513ffffffff,36.0,0.0,18.0
848b529ffffffff,3.0,0.0,0.0
848b563ffffffff,11.0,0.0,0.0
848b567ffffffff,10.0,0.0,0.0
848b56bffffffff,2.0,0.0,0.0
848b5cdffffffff,56.0,0.0,30.0
848b617ffffffff,823.0,0.0,14.0
848b623ffffffff,1.0,0.0,0.0
848b627ffffffff,12.0,0.0,0.0
848b631ffffffff,6.0,0.0,0.0
848b633ffffffff,8.0,0.0,0.0
848b635ffffffff,6.0,0.0,0.0
848b637ffffffff,75.0,0.0,4.0
848b639ffffffff,5.0,0.0,0.0
848b63bffffffff,509.0,0.0,15.0
848b691ffffffff,2.0,0.0,0.0
848b6c1ffffffff,1.0,0.0,0.0
848b6c3ffffffff,3.0,0.0,0.0
848b6c7ffffffff,2.0,0.0,0.0
848b6cbffffffff,5.0,0.0,0.0
848b6cdffffffff,2.0,0.0,0.0
848b6e5ffffffff,2.0,0.0,0.0
848b6e7ffffffff,10.0,0.0,0.0
848b6edffffffff,20.0,0.0,0.0
848b713ffffffff,301.0,0.0,6.0
848b717ffffffff,2.0,0.0,0.0
848b71bffffffff,13.0,0.0,0.0
848b745ffffffff,6.0,0.0,0.0
848b747ffffffff,2.0,0.0,0.0
848b74bffffffff,7.0,0.0,0.0
848b75dffffffff,6.0,0.0,0.0
848e641ffffffff,9.0,0.0,0.0
848e643ffffffff,60.0,0.0,0.0
848e649ffffffff,5.0,0.0,0.0
