cell_id,Sarothrura pulchra,Sarothrura pulchra [pulchra Group],Sarothrura pulchra centralis
8354a9fffffffff,50.0,1.0,0.0
8354e2fffffffff,3.0,0.0,0.0
8354f0fffffffff,1.0,0.0,0.0
8354f1fffffffff,12.0,0.0,0.0
8354f4fffffffff,6.0,2.0,0.0
8354f5fffffffff,2.0,0.0,0.0
835888fffffffff,1.0,0.0,0.0
835890fffffffff,2.0,0.0,0.0
83589cfffffffff,2.0,2.0,0.0
8358c3fffffffff,3.0,0.0,0.0
8358c8fffffffff,2.0,0.0,0.0
8358d2fffffffff,12.0,0.0,0.0
8358d3fffffffff,24.0,23.0,0.0
8358defffffffff,2.0,0.0,0.0
836ac0fffffffff,77.0,0.0,0.0
836ac1fffffffff,331.0,0.0,0.0
836ac3fffffffff,8.0,0.0,0.0
836ac8fffffffff,22.0,0.0,0.0
836acafffffffff,3.0,0.0,0.0
836accfffffffff,42.0,0.0,0.0
836acdfffffffff,76.0,0.0,0.0
836acefffffffff,4.0,0.0,0.0
836adcfffffffff,40.0,0.0,0.0
836addfffffffff,5.0,0.0,0.0
836adefffffffff,1.0,0.0,0.0
836ae8fffffffff,2.0,0.0,0.0
836aeafffffffff,140.0,0.0,0.0
836aebfffffffff,1.0,0.0,0.0
837508fffffffff,55.0,5.0,0.0
83750afffffffff,1.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,272.0,28.0,0.0
837518fffffffff,2.0,0.0,0.0
837519fffffffff,1.0,0.0,0.0
83751dfffffffff,6.0,0.0,0.0
837520fffffffff,1.0,0.0,0.0
837529fffffffff,29.0,5.0,0.0
83752afffffffff,14.0,0.0,0.0
83752bfffffffff,1.0,0.0,0.0
83752dfffffffff,3.0,0.0,0.0
837586fffffffff,7.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0
8375aafffffffff,1.0,0.0,0.0
8375b0fffffffff,2.0,0.0,0.0
8375b6fffffffff,1.0,0.0,0.0
837a4cfffffffff,199.0,0.0,0.0
837a4dfffffffff,32.0,0.0,0.0
838212fffffffff,5.0,0.0,0.0
838283fffffffff,1.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0
83828dfffffffff,27.0,15.0,0.0
838290fffffffff,4.0,0.0,0.0
8382a8fffffffff,3.0,0.0,0.0
8382aafffffffff,5.0,4.0,0.0
8382abfffffffff,7.0,0.0,0.0
8382b1fffffffff,1.0,0.0,0.0
8382d2fffffffff,10.0,9.0,0.0
8382d4fffffffff,1.0,0.0,0.0
8382f0fffffffff,2.0,0.0,0.0
838312fffffffff,13.0,0.0,0.0
838313fffffffff,5.0,0.0,0.0
838392fffffffff,1.0,0.0,0.0
8383a8fffffffff,5.0,0.0,0.0
839609fffffffff,7.0,0.0,0.0
83960bfffffffff,6.0,0.0,0.0
839656fffffffff,2.0,0.0,0.0
