cell_id,Dendrexetastes rufigula,Dendrexetastes rufigula devillei,Dendrexetastes rufigula rufigula,Dendrexetastes rufigula paraensis/moniliger
845f011ffffffff,2.0,0.0,0.0,0.0
845f017ffffffff,1.0,0.0,0.0,0.0
845f01bffffffff,1.0,0.0,0.0,0.0
845f025ffffffff,3.0,0.0,0.0,0.0
845f03dffffffff,48.0,0.0,0.0,0.0
845f0e1ffffffff,1.0,0.0,0.0,0.0
845f105ffffffff,7.0,0.0,1.0,0.0
845f107ffffffff,3.0,0.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0,0.0
845f13dffffffff,2.0,0.0,0.0,0.0
845f143ffffffff,11.0,0.0,0.0,0.0
845f161ffffffff,3.0,0.0,0.0,0.0
845f1c3ffffffff,5.0,0.0,0.0,0.0
845f1cbffffffff,17.0,0.0,0.0,0.0
845f295ffffffff,11.0,0.0,0.0,0.0
845f299ffffffff,1.0,0.0,0.0,0.0
845f2b1ffffffff,4.0,0.0,0.0,0.0
845f2b3ffffffff,5.0,0.0,0.0,0.0
845f2bbffffffff,84.0,0.0,0.0,0.0
845f365ffffffff,1.0,0.0,0.0,0.0
845f407ffffffff,4.0,0.0,1.0,0.0
845f42bffffffff,11.0,0.0,0.0,0.0
84665abffffffff,3.0,0.0,0.0,0.0
8466c01ffffffff,10.0,0.0,0.0,0.0
8466c03ffffffff,5.0,0.0,0.0,0.0
8466c07ffffffff,1.0,0.0,0.0,0.0
8466c09ffffffff,3.0,0.0,0.0,0.0
8466c17ffffffff,2.0,0.0,0.0,0.0
8466c21ffffffff,122.0,0.0,0.0,0.0
8466c23ffffffff,94.0,0.0,0.0,0.0
8466c27ffffffff,4.0,0.0,0.0,0.0
8466c2bffffffff,19.0,0.0,0.0,0.0
8466c35ffffffff,2.0,0.0,0.0,0.0
8466c37ffffffff,1.0,0.0,0.0,0.0
8466c57ffffffff,10.0,0.0,0.0,0.0
8466ce1ffffffff,3.0,0.0,0.0,0.0
8466ce9ffffffff,12.0,0.0,0.0,0.0
8466cedffffffff,2.0,0.0,0.0,0.0
8466d13ffffffff,1.0,0.0,0.0,0.0
8466d1bffffffff,6.0,0.0,0.0,0.0
8466d81ffffffff,41.0,2.0,0.0,0.0
8466d8dffffffff,6.0,0.0,0.0,0.0
8466db1ffffffff,9.0,0.0,0.0,0.0
8466dc3ffffffff,455.0,51.0,0.0,0.0
8466dc7ffffffff,40.0,0.0,0.0,0.0
8466dc9ffffffff,44.0,0.0,0.0,0.0
8466dcbffffffff,22.0,0.0,0.0,0.0
8466dcdffffffff,6.0,0.0,0.0,0.0
8466dd3ffffffff,5.0,0.0,0.0,0.0
8466dd5ffffffff,13.0,0.0,0.0,0.0
8466dd7ffffffff,2.0,0.0,0.0,0.0
8466ddbffffffff,12.0,2.0,0.0,0.0
8466dddffffffff,8.0,1.0,0.0,0.0
8466de3ffffffff,63.0,4.0,0.0,0.0
8466de7ffffffff,11.0,0.0,0.0,0.0
8466debffffffff,13.0,3.0,0.0,0.0
8466eadffffffff,2.0,0.0,0.0,0.0
8466ec5ffffffff,4.0,0.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0,0.0
8466ee5ffffffff,9.0,0.0,0.0,0.0
8466ee7ffffffff,1.0,0.0,0.0,0.0
8466eebffffffff,3.0,0.0,0.0,0.0
8480643ffffffff,4.0,0.0,0.0,0.0
8480655ffffffff,10.0,0.0,0.0,0.0
848066bffffffff,2.0,0.0,0.0,0.0
848068bffffffff,1.0,0.0,0.0,0.0
84806a3ffffffff,1.0,0.0,0.0,0.0
84806abffffffff,2.0,0.0,0.0,0.0
84806b3ffffffff,1.0,0.0,0.0,0.0
84806b7ffffffff,12.0,0.0,0.0,0.0
8481485ffffffff,1.0,0.0,0.0,0.0
84814a1ffffffff,4.0,0.0,0.0,0.0
84814a9ffffffff,7.0,0.0,0.0,0.0
84814adffffffff,36.0,0.0,0.0,0.0
84814d5ffffffff,8.0,0.0,0.0,0.0
84814d7ffffffff,1.0,0.0,0.0,0.0
84814e3ffffffff,11.0,0.0,0.0,0.0
84814e5ffffffff,5.0,0.0,0.0,0.0
84814e7ffffffff,25.0,0.0,0.0,0.0
8481583ffffffff,4.0,0.0,0.0,0.0
84815d9ffffffff,2.0,0.0,0.0,0.0
848a01dffffffff,7.0,0.0,0.0,0.0
848a051ffffffff,2.0,0.0,0.0,0.0
848a059ffffffff,17.0,0.0,0.0,0.0
848a05bffffffff,16.0,0.0,0.0,0.0
848a05dffffffff,3.0,0.0,0.0,0.0
848a069ffffffff,12.0,0.0,0.0,0.0
848a109ffffffff,2.0,0.0,0.0,0.0
848a155ffffffff,12.0,0.0,0.0,0.0
848a157ffffffff,2.0,0.0,0.0,0.0
848a1a7ffffffff,11.0,0.0,0.0,0.0
848a201ffffffff,1.0,0.0,0.0,0.0
848a20dffffffff,1.0,0.0,0.0,0.0
848a217ffffffff,2.0,0.0,0.0,0.0
848a233ffffffff,2.0,0.0,0.0,0.0
848a249ffffffff,6.0,0.0,0.0,0.0
848a2cdffffffff,1.0,0.0,0.0,0.0
848a317ffffffff,2.0,0.0,0.0,0.0
848a33bffffffff,6.0,0.0,0.0,0.0
848a451ffffffff,25.0,0.0,0.0,0.0
848a459ffffffff,25.0,0.0,0.0,0.0
848a45bffffffff,18.0,0.0,0.0,0.0
848a45dffffffff,33.0,0.0,0.0,0.0
848a68bffffffff,4.0,0.0,0.0,0.0
848a699ffffffff,105.0,0.0,0.0,0.0
848a69dffffffff,4.0,0.0,0.0,0.0
848a6a1ffffffff,1.0,0.0,0.0,0.0
848a6d3ffffffff,17.0,0.0,0.0,0.0
848a6d7ffffffff,38.0,0.0,0.0,0.0
848a6d9ffffffff,65.0,0.0,0.0,0.0
848a6dbffffffff,15.0,0.0,0.0,0.0
848a6e5ffffffff,1.0,0.0,0.0,0.0
848a70bffffffff,3.0,0.0,0.0,0.0
848a809ffffffff,5.0,0.0,0.0,0.0
848a925ffffffff,4.0,0.0,0.0,0.0
848a927ffffffff,4.0,0.0,0.0,0.0
848a963ffffffff,1.0,0.0,0.0,0.0
848a9c9ffffffff,2.0,0.0,0.0,0.0
848a9cdffffffff,18.0,0.0,0.0,0.0
848aa93ffffffff,1.0,0.0,0.0,0.0
848aadbffffffff,2.0,0.0,0.0,0.0
848adc5ffffffff,2.0,0.0,2.0,0.0
848ae53ffffffff,1.0,0.0,0.0,0.0
848ae59ffffffff,1.0,0.0,0.0,0.0
848af29ffffffff,41.0,0.0,8.0,0.0
848af2dffffffff,4.0,0.0,0.0,0.0
848af4dffffffff,3.0,0.0,0.0,0.0
848af61ffffffff,140.0,0.0,14.0,0.0
848af63ffffffff,62.0,0.0,18.0,0.0
848af67ffffffff,42.0,0.0,0.0,0.0
848af6bffffffff,20.0,0.0,7.0,0.0
848b105ffffffff,1.0,0.0,0.0,0.0
848b23bffffffff,2.0,0.0,0.0,0.0
848b2e9ffffffff,2.0,0.0,0.0,0.0
848b401ffffffff,8.0,0.0,0.0,0.0
848b403ffffffff,1.0,0.0,0.0,0.0
848b40bffffffff,10.0,0.0,0.0,0.0
848b40dffffffff,23.0,0.0,0.0,0.0
848b429ffffffff,7.0,0.0,0.0,0.0
848b42dffffffff,4.0,0.0,0.0,0.0
848b445ffffffff,10.0,0.0,0.0,0.0
848b449ffffffff,13.0,0.0,0.0,0.0
848b44bffffffff,108.0,0.0,0.0,0.0
848b44dffffffff,127.0,0.0,0.0,0.0
848b459ffffffff,19.0,0.0,0.0,0.0
848b469ffffffff,5.0,0.0,0.0,0.0
848b46bffffffff,19.0,0.0,0.0,0.0
848b4e5ffffffff,18.0,0.0,0.0,0.0
