cell_id,Acrocephalus scirpaceus,Acrocephalus scirpaceus scirpaceus,Acrocephalus scirpaceus fuscus,Acrocephalus scirpaceus avicenniae,Acrocephalus scirpaceus ammon,Acrocephalus scirpaceus [baeticatus Group]
830762fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,3.0,3.0,0.0,0.0,0.0,0.0
830991fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8309a0fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8309a6fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8311aefffffffff,5.0,5.0,0.0,0.0,0.0,0.0
831805fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831828fffffffff,3.0,1.0,0.0,0.0,0.0,0.0
83182efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831849fffffffff,49.0,0.0,0.0,0.0,0.0,0.0
83184dfffffffff,2.0,2.0,0.0,0.0,0.0,0.0
831859fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83185bfffffffff,13.0,0.0,0.0,0.0,0.0,0.0
831860fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
831876fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
831922fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831943fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831946fffffffff,2.0,2.0,0.0,0.0,0.0,0.0
831948fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
83194afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83194cfffffffff,12.0,1.0,0.0,0.0,0.0,0.0
83194efffffffff,7.0,2.0,0.0,0.0,0.0,0.0
831950fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831951fffffffff,4.0,4.0,0.0,0.0,0.0,0.0
83195bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83195dfffffffff,2.0,2.0,0.0,0.0,0.0,0.0
831968fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
831972fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
831973fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
831e02fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831e04fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831e05fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831e0afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831e0efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831e12fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
831e34fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
831e5afffffffff,13.0,13.0,0.0,0.0,0.0,0.0
831e5efffffffff,6.0,6.0,0.0,0.0,0.0,0.0
