cell_id,Ducula aenea,Ducula aenea [aenea Group],Ducula aenea nuchalis,Ducula aenea paulina
843c199ffffffff,7.0,0.0,0.0,0.0
843c19bffffffff,5.0,0.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0,0.0
843c587ffffffff,3.0,0.0,0.0,0.0
843c5a1ffffffff,4.0,0.0,0.0,0.0
843c839ffffffff,14.0,0.0,0.0,0.0
843c929ffffffff,10.0,0.0,0.0,0.0
843c92dffffffff,4.0,0.0,0.0,0.0
843c963ffffffff,2.0,0.0,0.0,0.0
843c967ffffffff,1.0,0.0,0.0,0.0
843cb65ffffffff,9.0,0.0,0.0,0.0
843cc2bffffffff,1.0,0.0,0.0,0.0
843ce43ffffffff,2.0,0.0,0.0,0.0
843ce45ffffffff,5.0,0.0,0.0,0.0
843ce4dffffffff,4.0,0.0,0.0,0.0
843cec1ffffffff,10.0,4.0,0.0,0.0
843cec9ffffffff,15.0,1.0,0.0,0.0
843ced3ffffffff,1.0,0.0,0.0,0.0
84404c5ffffffff,1.0,0.0,0.0,0.0
846002dffffffff,4.0,0.0,0.0,0.0
846004dffffffff,17.0,0.0,0.0,0.0
8460069ffffffff,33.0,0.0,0.0,0.0
8460117ffffffff,2.0,0.0,0.0,0.0
8460139ffffffff,1.0,0.0,0.0,0.0
8460149ffffffff,25.0,0.0,0.0,0.0
846014dffffffff,2.0,0.0,0.0,0.0
8460151ffffffff,2.0,0.0,0.0,0.0
8460159ffffffff,2.0,0.0,0.0,0.0
846015bffffffff,3.0,0.0,0.0,0.0
84601e9ffffffff,10.0,0.0,0.0,0.0
8460227ffffffff,3.0,0.0,0.0,0.0
8460311ffffffff,12.0,3.0,0.0,0.0
8460313ffffffff,31.0,3.0,0.0,0.0
8460319ffffffff,27.0,0.0,0.0,0.0
846031bffffffff,85.0,0.0,0.0,0.0
846031dffffffff,67.0,0.0,0.0,0.0
8460323ffffffff,36.0,0.0,0.0,0.0
8460327ffffffff,20.0,0.0,0.0,0.0
8460331ffffffff,71.0,0.0,0.0,0.0
8460333ffffffff,2.0,0.0,0.0,0.0
8460335ffffffff,31.0,0.0,0.0,0.0
846033bffffffff,10.0,0.0,0.0,0.0
846033dffffffff,7.0,0.0,0.0,0.0
8460353ffffffff,6.0,2.0,0.0,0.0
846035bffffffff,1.0,0.0,0.0,0.0
84608b9ffffffff,18.0,0.0,0.0,0.0
846094dffffffff,25.0,0.0,0.0,0.0
8460a41ffffffff,3.0,0.0,0.0,0.0
8460a45ffffffff,12.0,0.0,0.0,0.0
8460a61ffffffff,171.0,0.0,0.0,0.0
8460a63ffffffff,32.0,0.0,0.0,0.0
8460a69ffffffff,3.0,0.0,0.0,0.0
8460a6bffffffff,3.0,0.0,0.0,0.0
8460a99ffffffff,47.0,8.0,0.0,0.0
8460a9dffffffff,11.0,0.0,0.0,0.0
8460b27ffffffff,5.0,0.0,0.0,0.0
8460b29ffffffff,2.0,0.0,0.0,0.0
8460b2bffffffff,5.0,0.0,0.0,0.0
8460b3dffffffff,9.0,0.0,0.0,0.0
8460b41ffffffff,5.0,0.0,0.0,0.0
8460b47ffffffff,4.0,0.0,0.0,0.0
8460b6bffffffff,2.0,0.0,0.0,0.0
8461027ffffffff,1.0,1.0,0.0,0.0
8461885ffffffff,103.0,0.0,0.0,0.0
8461887ffffffff,25.0,0.0,0.0,0.0
84619a5ffffffff,11.0,0.0,0.0,0.0
84641bdffffffff,2.0,0.0,0.0,0.0
8464313ffffffff,1.0,0.0,0.0,0.0
84648c9ffffffff,1.0,0.0,0.0,0.0
8464a3dffffffff,4.0,0.0,0.0,0.0
8464e49ffffffff,6.0,6.0,0.0,0.0
8465005ffffffff,8.0,0.0,0.0,0.0
846500dffffffff,3.0,0.0,0.0,0.0
8465029ffffffff,2.0,0.0,0.0,0.0
8465189ffffffff,1.0,0.0,0.0,0.0
84651d1ffffffff,3.0,0.0,0.0,0.0
84651dbffffffff,4.0,0.0,0.0,0.0
846520dffffffff,3.0,0.0,0.0,0.0
8465263ffffffff,40.0,0.0,0.0,0.0
846526bffffffff,21.0,0.0,0.0,0.0
8465813ffffffff,4.0,0.0,0.0,0.0
84658adffffffff,2.0,0.0,0.0,0.0
846598bffffffff,20.0,0.0,0.0,0.0
846818dffffffff,2.0,0.0,0.0,0.0
8468281ffffffff,3.0,0.0,0.0,0.0
8468447ffffffff,3.0,0.0,0.0,0.0
84684e5ffffffff,2.0,2.0,0.0,0.0
8468c8bffffffff,6.0,0.0,0.0,2.0
8468ce7ffffffff,4.0,2.0,0.0,0.0
8469439ffffffff,5.0,5.0,0.0,0.0
