cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
842e619ffffffff,2.0,2.0,0.0
842e639ffffffff,1.0,1.0,0.0
84302b7ffffffff,3.0,3.0,0.0
8430305ffffffff,8.0,8.0,0.0
8430833ffffffff,2.0,2.0,0.0
8430997ffffffff,1.0,1.0,0.0
84309b3ffffffff,3.0,3.0,0.0
84309bdffffffff,4.0,4.0,0.0
84309d9ffffffff,1.0,1.0,0.0
8431649ffffffff,2.0,2.0,0.0
8431aa5ffffffff,1.0,1.0,0.0
843c02dffffffff,3.0,3.0,0.0
843c0a5ffffffff,1.0,1.0,0.0
843c0adffffffff,2.0,2.0,0.0
843c193ffffffff,2.0,2.0,0.0
843c199ffffffff,2.0,2.0,0.0
843c1b5ffffffff,10.0,10.0,0.0
843c1c3ffffffff,2.0,2.0,0.0
843c33bffffffff,6.0,6.0,0.0
843c33dffffffff,3.0,3.0,0.0
843c533ffffffff,5.0,0.0,0.0
843c585ffffffff,7.0,7.0,0.0
843c587ffffffff,4.0,0.0,4.0
843c58dffffffff,1.0,1.0,0.0
843c595ffffffff,2.0,2.0,0.0
843c5a1ffffffff,2.0,0.0,2.0
843c5a3ffffffff,3.0,2.0,1.0
843c5abffffffff,3.0,0.0,3.0
843c5e3ffffffff,2.0,2.0,0.0
843c8d7ffffffff,5.0,5.0,0.0
843c8d9ffffffff,2.0,2.0,0.0
843c8dbffffffff,5.0,5.0,0.0
843ca87ffffffff,9.0,9.0,0.0
843ca93ffffffff,5.0,4.0,0.0
843ca97ffffffff,21.0,21.0,0.0
843cab1ffffffff,9.0,9.0,0.0
843cab9ffffffff,18.0,18.0,0.0
843cc09ffffffff,2.0,2.0,0.0
843cc27ffffffff,2.0,2.0,0.0
843cc43ffffffff,5.0,4.0,1.0
843cc47ffffffff,3.0,0.0,3.0
843cc5bffffffff,3.0,0.0,3.0
843cc6bffffffff,2.0,2.0,0.0
843cdcdffffffff,4.0,4.0,0.0
843ce03ffffffff,1.0,1.0,0.0
843ce11ffffffff,2.0,0.0,2.0
843ce15ffffffff,20.0,5.0,15.0
843ce17ffffffff,1.0,1.0,0.0
843ce1dffffffff,5.0,5.0,0.0
843ce55ffffffff,5.0,0.0,1.0
843cec1ffffffff,64.0,0.0,64.0
843cec3ffffffff,14.0,7.0,7.0
843ced1ffffffff,1.0,0.0,1.0
843ced3ffffffff,2.0,0.0,2.0
843ceddffffffff,1.0,0.0,1.0
843cf11ffffffff,13.0,13.0,0.0
843cf21ffffffff,1.0,1.0,0.0
843cf27ffffffff,1.0,1.0,0.0
843cf29ffffffff,15.0,15.0,0.0
843cf2dffffffff,75.0,75.0,0.0
843cf41ffffffff,14.0,14.0,0.0
843cf49ffffffff,2.0,2.0,0.0
843cf65ffffffff,2.0,2.0,0.0
843cf69ffffffff,4.0,4.0,0.0
843d135ffffffff,6.0,6.0,0.0
843d137ffffffff,4.0,4.0,0.0
843d139ffffffff,3.0,3.0,0.0
843d13dffffffff,1.0,1.0,0.0
843d157ffffffff,2.0,2.0,0.0
843d323ffffffff,4.0,4.0,0.0
843d33dffffffff,4.0,4.0,0.0
843d8c1ffffffff,4.0,4.0,0.0
843d9e5ffffffff,6.0,6.0,0.0
843da11ffffffff,2.0,2.0,0.0
843da13ffffffff,4.0,4.0,0.0
843da37ffffffff,2.0,0.0,0.0
843da81ffffffff,4.0,4.0,0.0
843dac9ffffffff,3.0,3.0,0.0
843daddffffffff,5.0,2.0,0.0
84411cbffffffff,1.0,1.0,0.0
8441547ffffffff,3.0,3.0,0.0
84416b1ffffffff,2.0,0.0,2.0
8441739ffffffff,2.0,2.0,0.0
8441859ffffffff,1.0,1.0,0.0
8441921ffffffff,2.0,2.0,0.0
844192dffffffff,13.0,13.0,0.0
8441a09ffffffff,1.0,0.0,0.0
8441a43ffffffff,4.0,0.0,0.0
8441a55ffffffff,29.0,25.0,0.0
8441b43ffffffff,19.0,19.0,0.0
8441b5dffffffff,1.0,1.0,0.0
8442c07ffffffff,2.0,2.0,0.0
8442c11ffffffff,1.0,1.0,0.0
8442c13ffffffff,4.0,4.0,0.0
8442c1bffffffff,1.0,1.0,0.0
8442c2dffffffff,10.0,10.0,0.0
8442c41ffffffff,1.0,1.0,0.0
8442ccdffffffff,1.0,1.0,0.0
8442cddffffffff,4.0,4.0,0.0
8442ce9ffffffff,4.0,4.0,0.0
8442cebffffffff,3.0,3.0,0.0
8442d95ffffffff,5.0,5.0,0.0
8442db3ffffffff,2.0,2.0,0.0
8442db5ffffffff,7.0,7.0,0.0
8442db7ffffffff,2.0,2.0,0.0
8442dc3ffffffff,2.0,2.0,0.0
8442dc9ffffffff,2.0,2.0,0.0
8442dd1ffffffff,2.0,2.0,0.0
8442dd9ffffffff,2.0,2.0,0.0
844a697ffffffff,1.0,1.0,0.0
844b26dffffffff,13.0,13.0,0.0
844b845ffffffff,19.0,0.0,16.0
844b869ffffffff,2.0,0.0,2.0
844b86dffffffff,31.0,11.0,1.0
844ba03ffffffff,7.0,7.0,0.0
844ba05ffffffff,6.0,0.0,6.0
844ba0bffffffff,15.0,3.0,2.0
