cell_id,Aegithalos concinnus,Aegithalos concinnus [concinnus Group],Aegithalos concinnus iredalei/rubricapillus,Aegithalos concinnus annamensis
83309afffffffff,2.0,0.0,0.0,0.0
83309bfffffffff,1.0,0.0,0.0,0.0
833c02fffffffff,2.0,0.0,2.0,0.0
833c06fffffffff,2.0,0.0,2.0,0.0
833c0afffffffff,11.0,0.0,0.0,0.0
833c1dfffffffff,11.0,0.0,0.0,0.0
833c52fffffffff,19.0,0.0,19.0,0.0
833c53fffffffff,2.0,0.0,0.0,0.0
833c58fffffffff,12.0,0.0,6.0,0.0
833c5bfffffffff,14.0,6.0,0.0,0.0
833c5cfffffffff,16.0,0.0,16.0,0.0
833cd8fffffffff,2.0,0.0,0.0,0.0
833ce4fffffffff,9.0,0.0,0.0,0.0
833ce5fffffffff,1.0,0.0,1.0,0.0
833ce8fffffffff,4.0,0.0,0.0,0.0
833ce9fffffffff,1.0,1.0,0.0,0.0
833d10fffffffff,10.0,3.0,3.0,0.0
833d11fffffffff,2.0,0.0,0.0,0.0
833d13fffffffff,37.0,0.0,0.0,0.0
833d15fffffffff,39.0,0.0,0.0,0.0
833d31fffffffff,2.0,0.0,0.0,0.0
833d34fffffffff,1.0,0.0,0.0,0.0
833d35fffffffff,6.0,0.0,0.0,0.0
833dadfffffffff,57.0,0.0,9.0,0.0
83404cfffffffff,6.0,6.0,0.0,0.0
834071fffffffff,7.0,7.0,0.0,0.0
834089fffffffff,3.0,0.0,0.0,0.0
8340b5fffffffff,4.0,0.0,0.0,0.0
8340e3fffffffff,9.0,9.0,0.0,0.0
83411cfffffffff,5.0,0.0,0.0,0.0
834191fffffffff,2.0,0.0,0.0,0.0
834192fffffffff,5.0,0.0,0.0,0.0
8341a4fffffffff,8.0,0.0,0.0,0.0
8341b5fffffffff,7.0,0.0,0.0,0.0
834ba0fffffffff,15.0,0.0,0.0,0.0
834ba2fffffffff,26.0,6.0,0.0,0.0
834ba3fffffffff,10.0,0.0,0.0,0.0
836491fffffffff,3.0,0.0,0.0,0.0
8365b2fffffffff,5.0,0.0,0.0,0.0
8365b6fffffffff,2.0,0.0,0.0,0.0
