cell_id,Aethopyga gouldiae,Aethopyga gouldiae gouldiae/isolata,Aethopyga gouldiae dabryii,Aethopyga gouldiae annamensis
833c00fffffffff,3.0,0.0,0.0,0.0
833c02fffffffff,12.0,0.0,0.0,0.0
833c06fffffffff,12.0,0.0,0.0,0.0
833c0afffffffff,216.0,7.0,0.0,0.0
833c0bfffffffff,254.0,36.0,0.0,0.0
833c19fffffffff,42.0,0.0,0.0,0.0
833c1dfffffffff,153.0,3.0,0.0,0.0
833c31fffffffff,20.0,0.0,0.0,0.0
833c42fffffffff,6.0,3.0,0.0,0.0
833c43fffffffff,10.0,9.0,0.0,0.0
833c4afffffffff,1.0,0.0,0.0,0.0
833c52fffffffff,705.0,0.0,0.0,0.0
833c53fffffffff,35.0,0.0,0.0,0.0
833c56fffffffff,5.0,0.0,0.0,0.0
833c58fffffffff,47.0,0.0,0.0,0.0
833c59fffffffff,20.0,0.0,0.0,0.0
833c5cfffffffff,9.0,2.0,0.0,0.0
833cc0fffffffff,15.0,0.0,0.0,0.0
833cc1fffffffff,17.0,0.0,0.0,0.0
833cc3fffffffff,30.0,0.0,0.0,0.0
833cccfffffffff,4.0,0.0,0.0,0.0
833cd8fffffffff,67.0,10.0,0.0,0.0
833cddfffffffff,15.0,1.0,0.0,0.0
833ce3fffffffff,17.0,0.0,0.0,0.0
833ce4fffffffff,1.0,0.0,0.0,0.0
833ce5fffffffff,148.0,7.0,0.0,0.0
833ce8fffffffff,157.0,0.0,0.0,0.0
833ce9fffffffff,370.0,0.0,0.0,0.0
833ceafffffffff,60.0,0.0,0.0,0.0
833cebfffffffff,19.0,0.0,0.0,0.0
833d10fffffffff,7.0,0.0,0.0,0.0
833d13fffffffff,9.0,0.0,0.0,0.0
833d15fffffffff,23.0,0.0,0.0,0.0
833d1afffffffff,33.0,0.0,0.0,0.0
833d1efffffffff,136.0,0.0,0.0,0.0
833dadfffffffff,17.0,0.0,0.0,0.0
834013fffffffff,8.0,0.0,1.0,0.0
834019fffffffff,1.0,0.0,0.0,0.0
83401dfffffffff,3.0,0.0,0.0,0.0
83402dfffffffff,2.0,0.0,2.0,0.0
834040fffffffff,6.0,0.0,2.0,0.0
834043fffffffff,35.0,0.0,0.0,0.0
834044fffffffff,16.0,0.0,1.0,0.0
834045fffffffff,8.0,0.0,4.0,0.0
83404cfffffffff,203.0,0.0,30.0,0.0
83404dfffffffff,110.0,0.0,26.0,0.0
83404efffffffff,13.0,0.0,3.0,0.0
834052fffffffff,7.0,0.0,4.0,0.0
834058fffffffff,8.0,0.0,0.0,0.0
834059fffffffff,16.0,0.0,6.0,0.0
83405bfffffffff,1.0,0.0,0.0,0.0
83405cfffffffff,14.0,0.0,0.0,0.0
83405dfffffffff,2.0,0.0,1.0,0.0
834061fffffffff,5.0,0.0,0.0,0.0
834062fffffffff,1.0,0.0,0.0,0.0
834065fffffffff,14.0,0.0,4.0,0.0
834066fffffffff,14.0,0.0,7.0,0.0
83406bfffffffff,56.0,0.0,6.0,0.0
834071fffffffff,11.0,0.0,0.0,0.0
834073fffffffff,2.0,0.0,0.0,0.0
834088fffffffff,1.0,0.0,0.0,0.0
834089fffffffff,2.0,0.0,0.0,0.0
83408dfffffffff,2.0,0.0,0.0,0.0
8340a8fffffffff,3.0,0.0,0.0,0.0
8340acfffffffff,2.0,0.0,0.0,0.0
8340aefffffffff,11.0,0.0,0.0,0.0
8340c0fffffffff,2.0,0.0,0.0,0.0
8340c4fffffffff,2.0,0.0,0.0,0.0
8340c5fffffffff,78.0,0.0,6.0,0.0
8340c6fffffffff,32.0,0.0,0.0,0.0
8340e1fffffffff,111.0,0.0,15.0,0.0
8340e3fffffffff,22.0,0.0,0.0,0.0
8340e5fffffffff,8.0,0.0,1.0,0.0
8340ecfffffffff,62.0,0.0,7.0,0.0
8340eefffffffff,22.0,0.0,2.0,0.0
83411cfffffffff,10.0,0.0,0.0,0.0
834143fffffffff,6.0,0.0,0.0,0.0
834149fffffffff,3.0,0.0,0.0,0.0
83414cfffffffff,32.0,0.0,0.0,0.0
83414dfffffffff,4.0,0.0,0.0,0.0
834159fffffffff,27.0,0.0,7.0,0.0
83415cfffffffff,1.0,0.0,0.0,0.0
83415efffffffff,4.0,0.0,0.0,0.0
834161fffffffff,6.0,0.0,0.0,0.0
834165fffffffff,4.0,0.0,0.0,0.0
836482fffffffff,1084.0,0.0,276.0,0.0
836484fffffffff,3.0,0.0,1.0,0.0
836490fffffffff,30.0,0.0,15.0,0.0
836491fffffffff,1308.0,0.0,425.0,0.0
836494fffffffff,16.0,0.0,5.0,0.0
836495fffffffff,1.0,0.0,0.0,0.0
836498fffffffff,6.0,1.0,1.0,0.0
83649bfffffffff,2.0,0.0,2.0,0.0
8364a3fffffffff,9.0,0.0,0.0,0.0
8364b0fffffffff,9.0,0.0,4.0,0.0
8365b2fffffffff,3.0,0.0,0.0,0.0
8365b6fffffffff,468.0,0.0,0.0,145.0
836934fffffffff,91.0,0.0,30.0,0.0
