cell_id,Elanus caeruleus,Elanus caeruleus caeruleus,Elanus caeruleus [vociferus Group]
8418491ffffffff,61.0,0.0,0.0
8418499ffffffff,3.0,0.0,0.0
841849bffffffff,3.0,0.0,0.0
841849dffffffff,45.0,0.0,0.0
84184d9ffffffff,4.0,0.0,0.0
84186a1ffffffff,1.0,0.0,0.0
84186a3ffffffff,3.0,0.0,0.0
84186a5ffffffff,1.0,0.0,0.0
84186c9ffffffff,5.0,0.0,0.0
84186cbffffffff,2.0,0.0,0.0
84209a5ffffffff,33.0,0.0,0.0
842c129ffffffff,1.0,0.0,0.0
842c163ffffffff,1.0,0.0,0.0
842c193ffffffff,1.0,0.0,0.0
842c19dffffffff,2.0,0.0,0.0
842c1edffffffff,2.0,0.0,0.0
842c32dffffffff,2.0,0.0,0.0
842c365ffffffff,1.0,0.0,0.0
842c823ffffffff,4.0,0.0,0.0
842c833ffffffff,29.0,0.0,3.0
842c835ffffffff,1.0,0.0,0.0
842c8e5ffffffff,5.0,0.0,0.0
842c903ffffffff,18.0,0.0,0.0
842c907ffffffff,2.0,0.0,2.0
842c917ffffffff,4.0,0.0,0.0
842c933ffffffff,2.0,0.0,0.0
842c937ffffffff,18.0,0.0,0.0
842c93bffffffff,148.0,0.0,10.0
842c987ffffffff,3.0,0.0,0.0
842c995ffffffff,2.0,0.0,0.0
842c9c9ffffffff,8.0,0.0,0.0
842c9cbffffffff,3.0,0.0,0.0
842c9d9ffffffff,5.0,0.0,0.0
842ca13ffffffff,2.0,0.0,0.0
842cac1ffffffff,6.0,0.0,0.0
842cd4bffffffff,8.0,0.0,4.0
842cd5dffffffff,1.0,0.0,0.0
842cf03ffffffff,2.0,0.0,0.0
842cf07ffffffff,17.0,0.0,0.0
842cf27ffffffff,8.0,0.0,0.0
842cf35ffffffff,30.0,0.0,0.0
842d125ffffffff,4.0,0.0,0.0
842da17ffffffff,21.0,0.0,0.0
842da1bffffffff,8.0,0.0,0.0
842da81ffffffff,12.0,0.0,0.0
842da83ffffffff,1.0,0.0,0.0
842da89ffffffff,3.0,0.0,0.0
842da8dffffffff,25.0,0.0,0.0
842da95ffffffff,1.0,0.0,0.0
842dab3ffffffff,5.0,0.0,0.0
842dab9ffffffff,2.0,0.0,0.0
842dac5ffffffff,5.0,0.0,0.0
842dae9ffffffff,2.0,0.0,0.0
842db01ffffffff,816.0,0.0,110.0
842db03ffffffff,658.0,0.0,242.0
842db05ffffffff,818.0,0.0,282.0
842db07ffffffff,15.0,0.0,2.0
842db0bffffffff,413.0,0.0,72.0
842db0dffffffff,155.0,0.0,43.0
842db11ffffffff,178.0,0.0,74.0
842db15ffffffff,213.0,0.0,55.0
842db1dffffffff,457.0,0.0,97.0
842db21ffffffff,5.0,0.0,0.0
842db25ffffffff,13.0,0.0,0.0
842db29ffffffff,55.0,0.0,8.0
842db2bffffffff,23.0,0.0,2.0
842db2dffffffff,3.0,0.0,0.0
842db57ffffffff,1.0,0.0,0.0
842db63ffffffff,326.0,0.0,72.0
842db65ffffffff,3.0,0.0,1.0
842db67ffffffff,264.0,0.0,84.0
8430123ffffffff,2.0,0.0,0.0
843012dffffffff,7.0,0.0,0.0
843016dffffffff,1.0,0.0,0.0
84301ebffffffff,2.0,0.0,0.0
8430815ffffffff,28.0,0.0,0.0
8430833ffffffff,21.0,0.0,0.0
843084bffffffff,11.0,0.0,0.0
8430905ffffffff,1.0,0.0,0.0
8430911ffffffff,4.0,0.0,0.0
8430921ffffffff,2.0,0.0,0.0
843093bffffffff,1.0,0.0,0.0
8430981ffffffff,1.0,0.0,0.0
8430985ffffffff,1.0,0.0,0.0
8430987ffffffff,2.0,0.0,0.0
8430991ffffffff,31.0,0.0,1.0
8430997ffffffff,2.0,0.0,0.0
84309a3ffffffff,3.0,0.0,1.0
84309b1ffffffff,2.0,0.0,0.0
84309b3ffffffff,2.0,0.0,0.0
84309b5ffffffff,4.0,0.0,0.0
84309bbffffffff,4.0,0.0,0.0
84309bdffffffff,2.0,0.0,0.0
84309d3ffffffff,7.0,0.0,0.0
84309d5ffffffff,2.0,0.0,0.0
84309d9ffffffff,24.0,0.0,0.0
84309ebffffffff,1.0,0.0,0.0
8430a13ffffffff,2.0,0.0,0.0
843185bffffffff,1.0,0.0,0.0
8431881ffffffff,2.0,0.0,0.0
8431889ffffffff,5.0,0.0,0.0
84318c7ffffffff,13.0,0.0,0.0
84318d1ffffffff,1.0,0.0,0.0
8431aa1ffffffff,6.0,0.0,1.0
8431aa5ffffffff,3.0,0.0,0.0
8431aadffffffff,1.0,0.0,0.0
8431abdffffffff,6.0,0.0,0.0
843834dffffffff,3.0,0.0,0.0
8438361ffffffff,4.0,0.0,0.0
8438369ffffffff,3.0,0.0,0.0
843836dffffffff,9.0,0.0,0.0
843840bffffffff,2.0,0.0,0.0
84384c5ffffffff,2.0,0.0,0.0
8438625ffffffff,9.0,0.0,0.0
8438633ffffffff,4.0,0.0,0.0
8438681ffffffff,2.0,0.0,0.0
8438685ffffffff,16.0,0.0,0.0
84386a1ffffffff,2.0,0.0,0.0
84386a9ffffffff,5.0,0.0,0.0
84386e1ffffffff,4.0,0.0,0.0
84386e3ffffffff,4.0,0.0,0.0
84386e7ffffffff,2.0,0.0,0.0
84386e9ffffffff,3.0,0.0,0.0
8438753ffffffff,1.0,0.0,0.0
843875bffffffff,3.0,0.0,0.0
8439003ffffffff,33.0,0.0,0.0
8439005ffffffff,14.0,0.0,0.0
8439007ffffffff,96.0,0.0,0.0
8439009ffffffff,43.0,0.0,0.0
843900bffffffff,44.0,0.0,0.0
843900dffffffff,84.0,0.0,0.0
8439011ffffffff,67.0,0.0,0.0
8439013ffffffff,12.0,0.0,0.0
8439015ffffffff,1.0,0.0,0.0
8439019ffffffff,9.0,0.0,0.0
843901bffffffff,20.0,0.0,0.0
843901dffffffff,482.0,0.0,0.0
8439021ffffffff,25.0,0.0,0.0
8439023ffffffff,5.0,0.0,0.0
8439025ffffffff,91.0,0.0,0.0
8439029ffffffff,127.0,0.0,0.0
843902bffffffff,117.0,0.0,0.0
843902dffffffff,113.0,0.0,0.0
8439031ffffffff,5.0,0.0,0.0
8439033ffffffff,6.0,0.0,0.0
8439035ffffffff,12.0,0.0,0.0
8439037ffffffff,8.0,0.0,0.0
8439039ffffffff,17.0,0.0,0.0
843903bffffffff,79.0,0.0,0.0
843903dffffffff,58.0,0.0,0.0
8439041ffffffff,35.0,0.0,0.0
8439043ffffffff,1.0,0.0,0.0
8439047ffffffff,72.0,0.0,0.0
843904dffffffff,6.0,0.0,0.0
8439051ffffffff,17.0,0.0,0.0
8439057ffffffff,9.0,0.0,0.0
8439059ffffffff,8.0,0.0,0.0
843905bffffffff,24.0,0.0,0.0
843905dffffffff,42.0,0.0,0.0
8439061ffffffff,47.0,0.0,0.0
8439063ffffffff,42.0,0.0,0.0
8439065ffffffff,13.0,0.0,0.0
8439067ffffffff,74.0,0.0,0.0
8439069ffffffff,28.0,0.0,0.0
843906bffffffff,26.0,0.0,0.0
843906dffffffff,218.0,0.0,0.0
8439087ffffffff,3.0,0.0,0.0
8439089ffffffff,6.0,0.0,0.0
843908dffffffff,29.0,0.0,0.0
84390bdffffffff,4.0,0.0,0.0
84390c1ffffffff,10.0,0.0,0.0
84390c3ffffffff,8.0,0.0,0.0
84390c7ffffffff,1.0,0.0,0.0
84390c9ffffffff,8.0,0.0,0.0
84390cbffffffff,3.0,0.0,0.0
84390cdffffffff,18.0,0.0,0.0
84390e1ffffffff,2.0,0.0,0.0
84390e3ffffffff,32.0,0.0,0.0
84390e7ffffffff,2.0,0.0,0.0
84390e9ffffffff,8.0,0.0,0.0
84390ebffffffff,9.0,0.0,0.0
8439101ffffffff,367.0,0.0,0.0
8439103ffffffff,181.0,0.0,0.0
8439109ffffffff,12.0,0.0,0.0
843910bffffffff,21.0,0.0,0.0
8439111ffffffff,20.0,0.0,0.0
8439113ffffffff,23.0,0.0,0.0
8439115ffffffff,193.0,0.0,0.0
8439117ffffffff,16.0,0.0,0.0
8439119ffffffff,185.0,0.0,0.0
843911bffffffff,5.0,0.0,0.0
843911dffffffff,41.0,0.0,0.0
8439151ffffffff,57.0,0.0,0.0
8439153ffffffff,194.0,0.0,0.0
8439155ffffffff,113.0,0.0,0.0
8439157ffffffff,349.0,0.0,0.0
8439159ffffffff,739.0,0.0,0.0
843915bffffffff,86.0,0.0,0.0
843915dffffffff,94.0,0.0,0.0
8439181ffffffff,6.0,0.0,0.0
8439183ffffffff,21.0,0.0,0.0
8439185ffffffff,4.0,0.0,0.0
8439189ffffffff,41.0,0.0,0.0
843918bffffffff,142.0,0.0,0.0
843918dffffffff,18.0,0.0,0.0
8439191ffffffff,35.0,0.0,0.0
8439193ffffffff,2.0,0.0,0.0
843919bffffffff,5.0,0.0,0.0
843919dffffffff,2.0,0.0,0.0
84391a1ffffffff,1.0,0.0,0.0
84391a5ffffffff,23.0,0.0,0.0
84391a9ffffffff,1426.0,37.0,0.0
84391abffffffff,7.0,0.0,0.0
