cell_id,Myiobius barbatus,Myiobius barbatus [barbatus Group],Myiobius barbatus mastacalis
835f00fffffffff,10.0,0.0,0.0
835f01fffffffff,1.0,0.0,0.0
835f03fffffffff,4.0,0.0,0.0
835f06fffffffff,1.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f10fffffffff,8.0,0.0,0.0
835f12fffffffff,9.0,0.0,0.0
835f13fffffffff,4.0,0.0,0.0
835f14fffffffff,27.0,0.0,0.0
835f15fffffffff,3.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0
835f2bfffffffff,69.0,0.0,0.0
835f2cfffffffff,1.0,0.0,0.0
835f40fffffffff,2.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f54fffffffff,8.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f71fffffffff,9.0,0.0,0.0
835f75fffffffff,6.0,0.0,0.0
836641fffffffff,59.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0
83665afffffffff,11.0,0.0,0.0
83665bfffffffff,4.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0
8366c3fffffffff,2.0,0.0,0.0
8366cefffffffff,2.0,0.0,0.0
8366d8fffffffff,4.0,0.0,0.0
8366dbfffffffff,6.0,0.0,0.0
8366dcfffffffff,38.0,2.0,0.0
8366ddfffffffff,8.0,1.0,0.0
8366defffffffff,6.0,2.0,0.0
838065fffffffff,4.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0
838102fffffffff,3.0,0.0,1.0
838112fffffffff,10.0,0.0,2.0
838114fffffffff,4.0,0.0,0.0
838116fffffffff,15.0,0.0,0.0
83811efffffffff,3.0,0.0,0.0
838121fffffffff,3.0,0.0,0.0
838132fffffffff,26.0,0.0,0.0
838133fffffffff,106.0,0.0,3.0
838134fffffffff,11.0,0.0,0.0
838136fffffffff,2.0,0.0,0.0
83814afffffffff,21.0,0.0,0.0
83814dfffffffff,13.0,0.0,0.0
83814efffffffff,26.0,0.0,0.0
838180fffffffff,5.0,0.0,0.0
838183fffffffff,4.0,0.0,0.0
838185fffffffff,3.0,0.0,0.0
83819dfffffffff,3.0,0.0,0.0
8381a1fffffffff,1.0,0.0,0.0
8381adfffffffff,1.0,0.0,0.0
838a00fffffffff,5.0,0.0,0.0
838a01fffffffff,2.0,0.0,0.0
838a05fffffffff,2.0,0.0,0.0
838a10fffffffff,4.0,0.0,0.0
838a1afffffffff,5.0,0.0,0.0
838a31fffffffff,1.0,0.0,0.0
838a33fffffffff,4.0,0.0,0.0
838a45fffffffff,6.0,0.0,0.0
838a63fffffffff,15.0,0.0,0.0
838a69fffffffff,14.0,0.0,0.0
838a6dfffffffff,10.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0
838a73fffffffff,5.0,0.0,0.0
838a80fffffffff,2.0,0.0,0.0
838a81fffffffff,1.0,0.0,0.0
838a90fffffffff,1.0,0.0,0.0
838a92fffffffff,6.0,0.0,0.0
838a9cfffffffff,6.0,0.0,0.0
838aaafffffffff,12.0,0.0,0.0
838adcfffffffff,8.0,0.0,0.0
838af0fffffffff,19.0,0.0,0.0
838af1fffffffff,6.0,0.0,0.0
838af2fffffffff,51.0,0.0,0.0
838af6fffffffff,192.0,0.0,0.0
838b63fffffffff,17.0,3.0,0.0
838b69fffffffff,9.0,0.0,0.0
838b6efffffffff,2.0,0.0,0.0
838b9dfffffffff,15.0,0.0,0.0
838e64fffffffff,3.0,0.0,0.0
838f40fffffffff,7.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0
838f4afffffffff,20.0,0.0,0.0
838f6bfffffffff,7.0,0.0,0.0
838f71fffffffff,2.0,0.0,0.0
83a596fffffffff,21.0,0.0,0.0
83a806fffffffff,81.0,0.0,15.0
83a810fffffffff,89.0,0.0,0.0
83a812fffffffff,289.0,0.0,25.0
83a814fffffffff,39.0,0.0,0.0
83a815fffffffff,95.0,0.0,6.0
83a816fffffffff,20.0,0.0,0.0
83a831fffffffff,34.0,0.0,1.0
83a833fffffffff,64.0,0.0,0.0
83a835fffffffff,5.0,0.0,0.0
83a880fffffffff,2.0,0.0,0.0
83a881fffffffff,24.0,0.0,1.0
83a882fffffffff,27.0,0.0,3.0
83a884fffffffff,11.0,0.0,1.0
83a886fffffffff,1.0,0.0,0.0
83a891fffffffff,34.0,0.0,10.0
83a895fffffffff,22.0,0.0,3.0
83a8a0fffffffff,10.0,0.0,0.0
83a8a1fffffffff,189.0,0.0,18.0
83a8a2fffffffff,276.0,0.0,18.0
83a8a3fffffffff,57.0,0.0,3.0
83a8a5fffffffff,64.0,0.0,4.0
