cell_id,Aegithalos concinnus,Aegithalos concinnus [concinnus Group],Aegithalos concinnus iredalei/rubricapillus,Aegithalos concinnus annamensis
84209b5ffffffff,1.0,0.0,0.0,0.0
84309a5ffffffff,2.0,0.0,0.0,0.0
84309b3ffffffff,1.0,0.0,0.0,0.0
843c063ffffffff,2.0,0.0,2.0,0.0
843c067ffffffff,2.0,0.0,2.0,0.0
843c0a5ffffffff,11.0,0.0,0.0,0.0
843c1d1ffffffff,1.0,0.0,0.0,0.0
843c1d3ffffffff,10.0,0.0,0.0,0.0
843c521ffffffff,6.0,0.0,6.0,0.0
843c527ffffffff,13.0,0.0,13.0,0.0
843c535ffffffff,2.0,0.0,0.0,0.0
843c581ffffffff,5.0,0.0,5.0,0.0
843c587ffffffff,7.0,0.0,1.0,0.0
843c5b7ffffffff,14.0,6.0,0.0,0.0
843c5cbffffffff,16.0,0.0,16.0,0.0
843cd8bffffffff,2.0,0.0,0.0,0.0
843ce4dffffffff,9.0,0.0,0.0,0.0
843ce53ffffffff,1.0,0.0,1.0,0.0
843ce85ffffffff,4.0,0.0,0.0,0.0
843ce95ffffffff,1.0,1.0,0.0,0.0
843d103ffffffff,6.0,3.0,3.0,0.0
843d119ffffffff,18.0,0.0,0.0,0.0
843d131ffffffff,10.0,0.0,0.0,0.0
843d135ffffffff,2.0,0.0,0.0,0.0
843d137ffffffff,21.0,0.0,0.0,0.0
843d139ffffffff,11.0,0.0,0.0,0.0
843d13dffffffff,1.0,0.0,0.0,0.0
843d153ffffffff,2.0,0.0,0.0,0.0
843d157ffffffff,21.0,0.0,0.0,0.0
843d31dffffffff,2.0,0.0,0.0,0.0
843d35dffffffff,6.0,0.0,0.0,0.0
843dad1ffffffff,16.0,0.0,8.0,0.0
843dad9ffffffff,24.0,0.0,1.0,0.0
843daddffffffff,13.0,0.0,0.0,0.0
84404c5ffffffff,6.0,6.0,0.0,0.0
8440717ffffffff,7.0,7.0,0.0,0.0
8440899ffffffff,3.0,0.0,0.0,0.0
8440b53ffffffff,4.0,0.0,0.0,0.0
8440e37ffffffff,2.0,2.0,0.0,0.0
8440e3dffffffff,7.0,7.0,0.0,0.0
84411cbffffffff,5.0,0.0,0.0,0.0
8441919ffffffff,2.0,0.0,0.0,0.0
8441921ffffffff,5.0,0.0,0.0,0.0
8441a43ffffffff,8.0,0.0,0.0,0.0
8441b53ffffffff,2.0,0.0,0.0,0.0
8441b5dffffffff,5.0,0.0,0.0,0.0
844ba05ffffffff,11.0,0.0,0.0,0.0
844ba07ffffffff,6.0,0.0,0.0,0.0
844ba27ffffffff,15.0,6.0,0.0,0.0
844ba2bffffffff,13.0,0.0,0.0,0.0
844ba3dffffffff,6.0,0.0,0.0,0.0
8464911ffffffff,3.0,0.0,0.0,0.0
8465b2bffffffff,5.0,0.0,0.0,0.0
8465b67ffffffff,2.0,0.0,0.0,0.0
