cell_id,Sarothrura pulchra,Sarothrura pulchra [pulchra Group],Sarothrura pulchra centralis
8454a9bffffffff,4.0,0.0,0.0
8454f0dffffffff,1.0,0.0,0.0
8454f11ffffffff,1.0,0.0,0.0
8454f1bffffffff,13.0,0.0,0.0
8454f1dffffffff,1.0,0.0,0.0
8454f47ffffffff,6.0,2.0,0.0
8454f4dffffffff,46.0,1.0,0.0
8454f57ffffffff,2.0,0.0,0.0
8458883ffffffff,1.0,0.0,0.0
845890bffffffff,2.0,0.0,0.0
84589c9ffffffff,2.0,2.0,0.0
8458c3dffffffff,3.0,0.0,0.0
8458c8bffffffff,2.0,0.0,0.0
8458d23ffffffff,10.0,0.0,0.0
8458d27ffffffff,2.0,0.0,0.0
8458d35ffffffff,14.0,14.0,0.0
8458d37ffffffff,10.0,9.0,0.0
8458de5ffffffff,9.0,9.0,0.0
8458debffffffff,2.0,0.0,0.0
846ac03ffffffff,50.0,0.0,0.0
846ac0bffffffff,32.0,0.0,0.0
846ac15ffffffff,322.0,0.0,0.0
846ac1dffffffff,4.0,0.0,0.0
846ac35ffffffff,5.0,0.0,0.0
846ac39ffffffff,2.0,0.0,0.0
846ac3dffffffff,1.0,0.0,0.0
846ac89ffffffff,22.0,0.0,0.0
846acadffffffff,3.0,0.0,0.0
846acc3ffffffff,1.0,0.0,0.0
846acc7ffffffff,41.0,0.0,0.0
846acd1ffffffff,5.0,0.0,0.0
846acd5ffffffff,71.0,0.0,0.0
846ace5ffffffff,9.0,0.0,0.0
846adc1ffffffff,37.0,0.0,0.0
846adc9ffffffff,3.0,0.0,0.0
846adedffffffff,1.0,0.0,0.0
846ae85ffffffff,4.0,0.0,0.0
846aea1ffffffff,131.0,0.0,0.0
846aea5ffffffff,4.0,0.0,0.0
846aeabffffffff,3.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0
8475085ffffffff,37.0,3.0,0.0
8475087ffffffff,18.0,2.0,0.0
84750a1ffffffff,1.0,0.0,0.0
84750c5ffffffff,2.0,0.0,0.0
84750d1ffffffff,258.0,28.0,0.0
84750d7ffffffff,4.0,0.0,0.0
84750d9ffffffff,7.0,0.0,0.0
84750ddffffffff,3.0,0.0,0.0
8475187ffffffff,2.0,0.0,0.0
84751d7ffffffff,7.0,0.0,0.0
8475201ffffffff,1.0,0.0,0.0
8475295ffffffff,29.0,5.0,0.0
84752a1ffffffff,3.0,0.0,0.0
84752abffffffff,7.0,0.0,0.0
84752adffffffff,4.0,0.0,0.0
84752bdffffffff,1.0,0.0,0.0
84752dbffffffff,3.0,0.0,0.0
8475861ffffffff,7.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0
8475aa7ffffffff,1.0,0.0,0.0
8475b01ffffffff,1.0,0.0,0.0
8475b07ffffffff,1.0,0.0,0.0
8475b6bffffffff,1.0,0.0,0.0
847a4cbffffffff,140.0,0.0,0.0
847a4d1ffffffff,6.0,0.0,0.0
847a4d3ffffffff,4.0,0.0,0.0
847a4ddffffffff,81.0,0.0,0.0
8482125ffffffff,5.0,0.0,0.0
848283bffffffff,1.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828d1ffffffff,27.0,15.0,0.0
848290bffffffff,4.0,0.0,0.0
8482a81ffffffff,3.0,0.0,0.0
8482aadffffffff,5.0,4.0,0.0
8482ab3ffffffff,7.0,0.0,0.0
8482b1dffffffff,1.0,0.0,0.0
8482d27ffffffff,1.0,0.0,0.0
8482d4dffffffff,1.0,0.0,0.0
8482f09ffffffff,2.0,0.0,0.0
8483125ffffffff,13.0,0.0,0.0
8483131ffffffff,1.0,0.0,0.0
848313dffffffff,4.0,0.0,0.0
8483921ffffffff,1.0,0.0,0.0
8483a89ffffffff,5.0,0.0,0.0
8496097ffffffff,7.0,0.0,0.0
84960bbffffffff,6.0,0.0,0.0
8496561ffffffff,2.0,0.0,0.0
