cell_id,Ploceus baglafecht,Ploceus baglafecht [baglafecht Group],Ploceus baglafecht emini,Ploceus baglafecht reichenowi,Ploceus baglafecht [stuhlmanni Group]
835280fffffffff,2.0,0.0,0.0,0.0,0.0
835282fffffffff,2.0,0.0,0.0,0.0,0.0
835283fffffffff,24.0,8.0,0.0,0.0,0.0
835284fffffffff,1.0,0.0,0.0,0.0,0.0
835286fffffffff,10.0,2.0,0.0,0.0,0.0
83528efffffffff,2.0,0.0,0.0,0.0,0.0
835291fffffffff,16.0,0.0,0.0,0.0,0.0
835293fffffffff,6.0,3.0,0.0,0.0,0.0
835298fffffffff,19.0,2.0,0.0,0.0,0.0
835299fffffffff,16.0,0.0,0.0,0.0,0.0
83529afffffffff,3.0,0.0,0.0,0.0,0.0
83529bfffffffff,574.0,73.0,0.0,0.0,0.0
83529dfffffffff,4.0,0.0,0.0,0.0,0.0
83529efffffffff,5.0,5.0,0.0,0.0,0.0
8352a3fffffffff,1.0,0.0,0.0,0.0,0.0
8358c8fffffffff,3.0,0.0,0.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0,0.0,0.0
8358defffffffff,6.0,0.0,0.0,0.0,0.0
836a49fffffffff,3.0,0.0,0.0,0.0,0.0
836a4bfffffffff,3.0,0.0,0.0,0.0,0.0
836a4dfffffffff,2.0,0.0,0.0,0.0,0.0
836a5afffffffff,2.0,0.0,0.0,0.0,0.0
836a61fffffffff,2.0,2.0,0.0,0.0,0.0
836a69fffffffff,8.0,0.0,0.0,0.0,0.0
836a6bfffffffff,1.0,0.0,0.0,0.0,0.0
836ac0fffffffff,68.0,0.0,0.0,0.0,0.0
836ac1fffffffff,89.0,0.0,0.0,0.0,0.0
836ac3fffffffff,102.0,0.0,0.0,0.0,0.0
836ac5fffffffff,2.0,1.0,0.0,0.0,0.0
836ac8fffffffff,125.0,0.0,0.0,0.0,0.0
836ac9fffffffff,60.0,0.0,0.0,0.0,0.0
836accfffffffff,7.0,0.0,0.0,0.0,0.0
836acdfffffffff,24.0,0.0,0.0,0.0,0.0
836acefffffffff,57.0,0.0,0.0,0.0,0.0
836ad8fffffffff,140.0,0.0,0.0,0.0,0.0
836ad9fffffffff,3.0,0.0,0.0,0.0,0.0
836adafffffffff,14.0,0.0,0.0,0.0,0.0
836adcfffffffff,1028.0,16.0,0.0,0.0,1.0
836addfffffffff,29.0,0.0,0.0,0.0,0.0
836adefffffffff,204.0,2.0,0.0,0.0,0.0
836ae8fffffffff,7.0,0.0,0.0,0.0,0.0
836aeafffffffff,109.0,0.0,0.0,0.0,0.0
836aebfffffffff,2.0,0.0,0.0,0.0,0.0
836aecfffffffff,1.0,0.0,0.0,0.0,0.0
836aeefffffffff,10.0,0.0,0.0,0.0,0.0
837a40fffffffff,101.0,0.0,0.0,0.0,0.0
837a41fffffffff,85.0,0.0,0.0,0.0,0.0
837a43fffffffff,2.0,0.0,0.0,0.0,0.0
837a45fffffffff,845.0,0.0,0.0,5.0,0.0
837a48fffffffff,142.0,0.0,0.0,0.0,0.0
837a4bfffffffff,4.0,0.0,0.0,0.0,0.0
837a4cfffffffff,301.0,0.0,0.0,0.0,0.0
837a4dfffffffff,152.0,0.0,0.0,0.0,0.0
837a60fffffffff,6.0,0.0,0.0,0.0,0.0
837a61fffffffff,62.0,0.0,0.0,0.0,0.0
837a63fffffffff,5.0,0.0,0.0,0.0,0.0
837a64fffffffff,19.0,0.0,0.0,0.0,0.0
837a65fffffffff,313.0,0.0,0.0,23.0,0.0
837a68fffffffff,283.0,0.0,0.0,0.0,0.0
837a69fffffffff,3.0,0.0,0.0,0.0,0.0
837a6afffffffff,616.0,0.0,0.0,0.0,0.0
837a6bfffffffff,73.0,0.0,0.0,0.0,0.0
837a6cfffffffff,4.0,0.0,0.0,0.0,0.0
837a6dfffffffff,31.0,0.0,0.0,0.0,0.0
837a6efffffffff,1149.0,0.0,0.0,0.0,0.0
837ac1fffffffff,3.0,1.0,0.0,0.0,0.0
837ac8fffffffff,58.0,11.0,0.0,0.0,0.0
837ac9fffffffff,7.0,0.0,0.0,0.0,0.0
837acafffffffff,72.0,18.0,0.0,0.0,0.0
837acbfffffffff,20.0,0.0,0.0,0.0,0.0
837accfffffffff,192.0,42.0,0.0,0.0,0.0
837acdfffffffff,94.0,10.0,0.0,0.0,0.0
837acefffffffff,31.0,3.0,0.0,0.0,0.0
837ad9fffffffff,35.0,2.0,0.0,0.0,0.0
837ae8fffffffff,4.0,0.0,0.0,0.0,0.0
837ae9fffffffff,2.0,0.0,0.0,0.0,0.0
837aeafffffffff,3.0,0.0,0.0,0.0,0.0
837aebfffffffff,12.0,0.0,0.0,0.0,0.0
837b48fffffffff,15.0,0.0,0.0,1.0,0.0
837b4bfffffffff,106.0,0.0,0.0,25.0,0.0
839686fffffffff,3.0,0.0,0.0,0.0,0.0
839688fffffffff,1.0,0.0,0.0,0.0,0.0
839690fffffffff,48.0,0.0,0.0,0.0,0.0
839692fffffffff,746.0,0.0,0.0,189.0,0.0
839693fffffffff,765.0,0.0,0.0,147.0,0.0
83969afffffffff,2.0,0.0,0.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0,0.0,0.0
8396a2fffffffff,8.0,0.0,0.0,0.0,0.0
8396a3fffffffff,18.0,0.0,0.0,0.0,0.0
8396a5fffffffff,28.0,0.0,0.0,0.0,0.0
8396b0fffffffff,2.0,0.0,0.0,0.0,0.0
8396b5fffffffff,11.0,0.0,0.0,0.0,0.0
8396b6fffffffff,3.0,0.0,0.0,0.0,0.0
8396d2fffffffff,1.0,0.0,0.0,0.0,0.0
