cell_id,Vanellus indicus,Vanellus indicus [indicus Group],Vanellus indicus atronuchalis
8419689ffffffff,2.0,0.0,0.0
842c149ffffffff,14.0,0.0,0.0
842c323ffffffff,6.0,0.0,0.0
842c32bffffffff,3.0,0.0,0.0
842c365ffffffff,7.0,0.0,0.0
842c911ffffffff,2.0,0.0,0.0
842c917ffffffff,2.0,0.0,0.0
842c93bffffffff,28.0,0.0,0.0
842da81ffffffff,3.0,0.0,0.0
842da83ffffffff,3.0,0.0,0.0
842dab1ffffffff,7.0,0.0,0.0
842dab3ffffffff,3.0,0.0,0.0
842dab9ffffffff,32.0,0.0,0.0
842db11ffffffff,7.0,0.0,0.0
842db1dffffffff,1.0,0.0,0.0
843c029ffffffff,14.0,0.0,0.0
843c0a5ffffffff,2.0,0.0,0.0
843c0e3ffffffff,2.0,0.0,0.0
843c117ffffffff,1.0,0.0,0.0
843c187ffffffff,2.0,0.0,0.0
843c193ffffffff,2.0,0.0,0.0
843c199ffffffff,16.0,0.0,0.0
843c19bffffffff,2.0,0.0,0.0
843c1b5ffffffff,3.0,0.0,0.0
843c1c3ffffffff,2.0,0.0,0.0
843c335ffffffff,2.0,0.0,0.0
843c33bffffffff,1.0,0.0,0.0
843c839ffffffff,2.0,0.0,0.0
843c899ffffffff,9.0,0.0,0.0
843c8a9ffffffff,4.0,0.0,0.0
843c8d3ffffffff,2.0,0.0,0.0
843c8d7ffffffff,13.0,0.0,0.0
843c8dbffffffff,4.0,0.0,0.0
843c8e5ffffffff,8.0,0.0,0.0
843c8e7ffffffff,6.0,0.0,0.0
843c9c3ffffffff,4.0,0.0,0.0
843c9d9ffffffff,17.0,0.0,0.0
843c9dbffffffff,2.0,0.0,0.0
843c9ddffffffff,2.0,0.0,0.0
843ca87ffffffff,2.0,0.0,0.0
843ca93ffffffff,2.0,0.0,0.0
843cab9ffffffff,7.0,0.0,0.0
843cb6dffffffff,3.0,0.0,0.0
843cc03ffffffff,2.0,0.0,0.0
843cc6bffffffff,2.0,0.0,0.0
843cc6dffffffff,2.0,0.0,0.0
843ce81ffffffff,2.0,0.0,0.0
843ceabffffffff,3.0,0.0,0.0
843cf0bffffffff,5.0,0.0,0.0
843cf0dffffffff,3.0,0.0,0.0
843cf21ffffffff,3.0,0.0,0.0
843cf29ffffffff,11.0,0.0,0.0
843cf2dffffffff,18.0,0.0,0.0
843cf41ffffffff,7.0,0.0,0.0
843cf43ffffffff,8.0,0.0,0.0
843cf4bffffffff,7.0,0.0,0.0
843cf61ffffffff,1.0,0.0,0.0
843cf67ffffffff,2.0,0.0,0.0
843cf69ffffffff,6.0,0.0,0.0
843d005ffffffff,4.0,0.0,0.0
843d04dffffffff,13.0,0.0,0.0
843d063ffffffff,2.0,0.0,0.0
843d8b1ffffffff,1.0,0.0,0.0
843d8b9ffffffff,3.0,0.0,0.0
843d8c7ffffffff,3.0,0.0,0.0
843d8d5ffffffff,1.0,0.0,0.0
843d8ddffffffff,3.0,0.0,0.0
843d915ffffffff,3.0,0.0,0.0
843d929ffffffff,1.0,0.0,0.0
843da1dffffffff,5.0,0.0,0.0
843da37ffffffff,6.0,0.0,0.0
843db35ffffffff,3.0,0.0,0.0
843db57ffffffff,3.0,0.0,0.0
843e689ffffffff,2.0,0.0,0.0
8442c05ffffffff,1.0,0.0,0.0
8442c17ffffffff,1.0,0.0,0.0
8442c21ffffffff,1.0,0.0,0.0
8442c2dffffffff,6.0,0.0,0.0
8442c43ffffffff,7.0,0.0,0.0
8442c5dffffffff,3.0,0.0,0.0
8442cc5ffffffff,2.0,0.0,0.0
8442cc7ffffffff,2.0,0.0,0.0
8442cdbffffffff,2.0,0.0,0.0
8442cddffffffff,7.0,0.0,0.0
