cell_id,Psarocolius angustifrons,Psarocolius angustifrons [angustifrons Group],Psarocolius angustifrons oleagineus
836601fffffffff,2.0,0.0,0.0
836608fffffffff,608.0,8.0,0.0
836609fffffffff,8.0,0.0,0.0
83660afffffffff,8.0,0.0,0.0
83660bfffffffff,237.0,0.0,0.0
83660cfffffffff,19.0,2.0,0.0
83660dfffffffff,27.0,0.0,0.0
836611fffffffff,3.0,0.0,0.0
836618fffffffff,339.0,0.0,0.0
836619fffffffff,1344.0,0.0,0.0
83661afffffffff,2.0,0.0,0.0
83661bfffffffff,5028.0,97.0,0.0
83661dfffffffff,708.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
836621fffffffff,307.0,0.0,0.0
836629fffffffff,38.0,0.0,0.0
83662bfffffffff,8.0,0.0,0.0
83662dfffffffff,22.0,0.0,0.0
83662efffffffff,14.0,0.0,0.0
836641fffffffff,26.0,0.0,0.0
836652fffffffff,15.0,0.0,0.0
836653fffffffff,12.0,0.0,0.0
836654fffffffff,9.0,0.0,0.0
836656fffffffff,78.0,0.0,0.0
83665afffffffff,22.0,0.0,0.0
83665bfffffffff,2.0,0.0,0.0
83665cfffffffff,3.0,0.0,0.0
83665efffffffff,147.0,0.0,0.0
836672fffffffff,6.0,0.0,0.0
836673fffffffff,4.0,0.0,0.0
8366c0fffffffff,1240.0,5.0,0.0
8366c1fffffffff,29.0,0.0,0.0
8366c2fffffffff,4088.0,40.0,0.0
8366c3fffffffff,59.0,1.0,0.0
8366c4fffffffff,209.0,0.0,0.0
8366c5fffffffff,112.0,0.0,0.0
8366c6fffffffff,637.0,2.0,0.0
8366c8fffffffff,2.0,0.0,0.0
8366c9fffffffff,4.0,0.0,0.0
8366cdfffffffff,6.0,0.0,0.0
8366cefffffffff,292.0,0.0,0.0
8366d0fffffffff,10.0,0.0,0.0
8366d1fffffffff,827.0,40.0,0.0
8366d2fffffffff,7.0,0.0,0.0
8366d3fffffffff,158.0,16.0,0.0
8366d5fffffffff,3.0,0.0,0.0
8366d8fffffffff,234.0,13.0,0.0
8366dafffffffff,844.0,125.0,0.0
8366dbfffffffff,51.0,6.0,0.0
8366dcfffffffff,4291.0,321.0,0.0
8366ddfffffffff,359.0,30.0,0.0
8366defffffffff,7691.0,849.0,0.0
8366e0fffffffff,989.0,2.0,0.0
8366e1fffffffff,300.0,0.0,0.0
8366e2fffffffff,19.0,0.0,0.0
8366e3fffffffff,325.0,2.0,0.0
8366e4fffffffff,7.0,0.0,0.0
8366e5fffffffff,2770.0,41.0,0.0
8366e6fffffffff,39.0,0.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366e9fffffffff,5.0,0.0,0.0
8366ecfffffffff,950.0,0.0,0.0
8366eefffffffff,607.0,0.0,0.0
8366f0fffffffff,57.0,0.0,0.0
8366f1fffffffff,154.0,0.0,0.0
8366f3fffffffff,5.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0
836741fffffffff,43.0,0.0,0.0
836743fffffffff,403.0,0.0,4.0
83674cfffffffff,8.0,0.0,0.0
83674efffffffff,32.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
83675afffffffff,77.0,0.0,0.0
83675cfffffffff,98.0,0.0,0.0
83675efffffffff,70.0,0.0,0.0
838a41fffffffff,12.0,0.0,0.0
838a45fffffffff,1656.0,11.0,0.0
838a4efffffffff,2.0,0.0,0.0
838a52fffffffff,2.0,0.0,0.0
838a63fffffffff,201.0,10.0,0.0
838a68fffffffff,49.0,0.0,0.0
838a69fffffffff,913.0,0.0,0.0
838a6dfffffffff,1679.0,0.0,0.0
838a6efffffffff,4.0,0.0,0.0
838a70fffffffff,34.0,0.0,0.0
838a73fffffffff,10.0,0.0,0.0
838a75fffffffff,6.0,0.0,0.0
838aa8fffffffff,3.0,0.0,0.0
838ae5fffffffff,31.0,0.0,0.0
838af0fffffffff,2.0,2.0,0.0
838af1fffffffff,3.0,0.0,0.0
838af2fffffffff,7.0,0.0,0.0
838af4fffffffff,12.0,0.0,0.0
838af6fffffffff,143.0,15.0,0.0
838b0bfffffffff,2.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b21fffffffff,39.0,0.0,0.0
838b22fffffffff,113.0,0.0,0.0
838b23fffffffff,25.0,0.0,0.0
838b28fffffffff,2.0,0.0,0.0
838b29fffffffff,2.0,0.0,0.0
838b2cfffffffff,91.0,0.0,0.0
838b2dfffffffff,2.0,0.0,0.0
838b2efffffffff,63.0,0.0,0.0
838b40fffffffff,56.0,2.0,0.0
838b42fffffffff,16.0,0.0,0.0
838b44fffffffff,892.0,10.0,0.0
838b45fffffffff,62.0,0.0,0.0
838b46fffffffff,20.0,0.0,0.0
838b48fffffffff,13.0,1.0,0.0
838b4dfffffffff,1.0,0.0,0.0
838b4efffffffff,29.0,4.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b5dfffffffff,5.0,0.0,0.0
