cell_id,Megascops watsonii,Megascops watsonii watsonii,Megascops watsonii usta
825f07fffffffff,25.0,1.0,0.0
825f0ffffffffff,7.0,0.0,0.0
825f17fffffffff,16.0,0.0,0.0
825f2ffffffffff,216.0,0.0,0.0
825f47fffffffff,4.0,0.0,0.0
825f6ffffffffff,11.0,0.0,0.0
825f77fffffffff,2.0,0.0,0.0
826647fffffffff,21.0,0.0,0.0
82665ffffffffff,28.0,0.0,0.0
82666ffffffffff,11.0,0.0,0.0
8266c7fffffffff,133.0,0.0,0.0
8266cffffffffff,52.0,0.0,0.0
8266dffffffffff,1000.0,125.0,0.0
8266e7fffffffff,15.0,0.0,0.0
8266effffffffff,74.0,0.0,0.0
828047fffffffff,3.0,0.0,2.0
828067fffffffff,14.0,0.0,14.0
82806ffffffffff,5.0,0.0,0.0
828077fffffffff,4.0,0.0,4.0
828147fffffffff,20.0,0.0,20.0
82814ffffffffff,75.0,4.0,56.0
82815ffffffffff,30.0,0.0,25.0
828167fffffffff,43.0,0.0,43.0
828a07fffffffff,58.0,0.0,52.0
828a17fffffffff,39.0,0.0,10.0
828a1ffffffffff,10.0,0.0,10.0
828a27fffffffff,11.0,0.0,9.0
828a37fffffffff,6.0,0.0,2.0
828a47fffffffff,98.0,2.0,2.0
828a4ffffffffff,11.0,0.0,0.0
828a57fffffffff,5.0,0.0,0.0
828a6ffffffffff,259.0,0.0,0.0
828a77fffffffff,3.0,0.0,3.0
828a87fffffffff,18.0,0.0,7.0
828a97fffffffff,5.0,0.0,2.0
828a9ffffffffff,13.0,0.0,13.0
828aaffffffffff,30.0,0.0,0.0
828adffffffffff,19.0,0.0,0.0
828af7fffffffff,187.0,32.0,10.0
828b07fffffffff,2.0,0.0,0.0
828b0ffffffffff,17.0,0.0,17.0
828b17fffffffff,3.0,0.0,0.0
828b27fffffffff,38.0,0.0,6.0
828b2ffffffffff,17.0,0.0,0.0
828b37fffffffff,16.0,0.0,2.0
828b47fffffffff,904.0,0.0,76.0
828b4ffffffffff,12.0,0.0,10.0
828b57fffffffff,42.0,0.0,20.0
828b5ffffffffff,12.0,0.0,5.0
828b67fffffffff,844.0,0.0,46.0
828b6ffffffffff,156.0,0.0,3.0
828b77fffffffff,96.0,0.0,13.0
828b87fffffffff,61.0,0.0,40.0
828b8ffffffffff,20.0,0.0,5.0
828b9ffffffffff,326.0,0.0,70.0
828ba7fffffffff,17.0,0.0,8.0
828e67fffffffff,1.0,0.0,0.0
828f47fffffffff,67.0,0.0,0.0
828f4ffffffffff,67.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0
828f67fffffffff,18.0,0.0,0.0
828f6ffffffffff,15.0,0.0,2.0
828f77fffffffff,24.0,0.0,0.0
82a85ffffffffff,4.0,0.0,1.0
82a8cffffffffff,3.0,0.0,3.0
