cell_id,Colaptes melanochloros,Colaptes melanochloros melanochloros/nattereri,Colaptes melanochloros [melanolaimus Group]
8481339ffffffff,2.0,2.0,0.0
848b203ffffffff,3.0,0.0,3.0
848b20bffffffff,5.0,0.0,5.0
848b22dffffffff,5.0,0.0,4.0
848b259ffffffff,2.0,0.0,2.0
848b2c9ffffffff,9.0,0.0,9.0
84a8101ffffffff,1.0,0.0,0.0
84a8a8dffffffff,1.0,0.0,0.0
84a92d9ffffffff,2.0,0.0,0.0
84a9441ffffffff,1.0,0.0,1.0
84a9509ffffffff,1.0,0.0,0.0
84a9533ffffffff,1.0,1.0,0.0
84a9557ffffffff,2.0,0.0,2.0
84a9611ffffffff,7.0,0.0,0.0
84a9613ffffffff,61.0,0.0,0.0
84a9617ffffffff,33.0,0.0,0.0
84a9619ffffffff,29.0,0.0,0.0
84a9623ffffffff,4.0,0.0,4.0
84a9627ffffffff,10.0,5.0,5.0
84a962bffffffff,2.0,0.0,2.0
84a9653ffffffff,31.0,0.0,0.0
84a965bffffffff,2.0,0.0,0.0
84a96c5ffffffff,2.0,0.0,0.0
84a96e9ffffffff,1.0,0.0,0.0
84b2437ffffffff,1.0,0.0,0.0
84b248bffffffff,29.0,0.0,0.0
84b2491ffffffff,2.0,0.0,0.0
84b2493ffffffff,7.0,0.0,0.0
84b2495ffffffff,3.0,0.0,0.0
84b2497ffffffff,5.0,0.0,0.0
84b2499ffffffff,41.0,0.0,0.0
84b249bffffffff,22.0,0.0,0.0
84b249dffffffff,29.0,0.0,0.0
84b24b3ffffffff,1.0,0.0,0.0
84b24b9ffffffff,7.0,0.0,0.0
84b24bbffffffff,3.0,0.0,0.0
84b24c1ffffffff,2.0,0.0,0.0
84b24c3ffffffff,2.0,0.0,0.0
84b24d1ffffffff,228.0,0.0,0.0
84b24d3ffffffff,332.0,0.0,0.0
84b24d5ffffffff,19.0,0.0,0.0
84b24d7ffffffff,55.0,0.0,0.0
84b24d9ffffffff,31.0,0.0,0.0
84b24dbffffffff,342.0,0.0,0.0
84b24ddffffffff,3.0,0.0,0.0
84b25cdffffffff,1.0,0.0,1.0
84b2613ffffffff,11.0,0.0,0.0
84b2681ffffffff,1.0,0.0,0.0
84b2683ffffffff,1.0,0.0,0.0
84b2687ffffffff,7.0,0.0,0.0
84b2689ffffffff,1.0,0.0,0.0
84b268bffffffff,10.0,0.0,0.0
84b268dffffffff,4.0,0.0,0.0
84b2691ffffffff,26.0,0.0,0.0
84b2693ffffffff,8.0,0.0,0.0
84b2695ffffffff,11.0,0.0,0.0
84b2697ffffffff,5.0,0.0,0.0
84b269bffffffff,12.0,0.0,0.0
84b269dffffffff,14.0,0.0,0.0
84b26b1ffffffff,26.0,0.0,0.0
84b26b3ffffffff,16.0,0.0,0.0
84b26b5ffffffff,2.0,0.0,0.0
84b26b9ffffffff,17.0,0.0,0.0
84b26bbffffffff,6.0,0.0,0.0
84b26bdffffffff,83.0,0.0,0.0
84b26c3ffffffff,2.0,0.0,0.0
84b26c5ffffffff,2.0,0.0,0.0
84b26c9ffffffff,2.0,0.0,0.0
84b26d1ffffffff,7.0,0.0,0.0
84b26d3ffffffff,3.0,0.0,0.0
84b26d7ffffffff,67.0,0.0,0.0
84b26dbffffffff,1.0,0.0,0.0
84b26ddffffffff,12.0,0.0,0.0
84b270dffffffff,2.0,0.0,0.0
84b32dbffffffff,2.0,0.0,2.0
84b35a7ffffffff,2.0,0.0,2.0
84b35ddffffffff,1.0,0.0,0.0
84b35e9ffffffff,2.0,0.0,2.0
84c21b3ffffffff,1.0,0.0,1.0
84c2c53ffffffff,3.0,1.0,2.0
84c2c5bffffffff,3.0,0.0,3.0
84c2c91ffffffff,18.0,0.0,0.0
84c2c93ffffffff,6.0,0.0,0.0
84c2c95ffffffff,4.0,0.0,0.0
84c2c97ffffffff,35.0,0.0,0.0
84c2c99ffffffff,95.0,0.0,0.0
84c2cbbffffffff,1.0,0.0,0.0
84c2cd3ffffffff,235.0,0.0,0.0
84c2ce1ffffffff,3.0,0.0,3.0
84c2d93ffffffff,10.0,0.0,10.0
84c2e31ffffffff,3.0,0.0,0.0
84c2e33ffffffff,3.0,0.0,0.0
84c2e3bffffffff,2.0,0.0,2.0
84c2e95ffffffff,1.0,0.0,0.0
84c2e97ffffffff,6.0,0.0,0.0
84c2e99ffffffff,15.0,0.0,0.0
84c2eb9ffffffff,3.0,0.0,0.0
84c2ebbffffffff,30.0,0.0,0.0
84c2f3dffffffff,1.0,0.0,0.0
84c3487ffffffff,2.0,0.0,0.0
84c34b7ffffffff,2.0,0.0,0.0
84c34bdffffffff,3.0,0.0,0.0
84ce931ffffffff,5.0,0.0,0.0
