cell_id,Geothlypis semiflava,Geothlypis semiflava bairdi,Geothlypis semiflava chiriquensis,Geothlypis semiflava semiflava
8466117ffffffff,2.0,0.0,0.0,0.0
8466185ffffffff,2.0,0.0,0.0,0.0
84661a5ffffffff,6.0,0.0,0.0,0.0
84661a7ffffffff,2.0,0.0,0.0,0.0
84661b1ffffffff,9.0,0.0,0.0,0.0
84661b3ffffffff,41.0,0.0,0.0,0.0
84661bbffffffff,3.0,0.0,0.0,0.0
8466a65ffffffff,224.0,0.0,0.0,0.0
8466b49ffffffff,287.0,0.0,0.0,0.0
8466b4bffffffff,6.0,0.0,0.0,0.0
8466b4dffffffff,525.0,0.0,0.0,0.0
8466b51ffffffff,141.0,0.0,83.0,0.0
8466b53ffffffff,3.0,0.0,0.0,0.0
8466b55ffffffff,193.0,0.0,0.0,0.0
8466b59ffffffff,130.0,0.0,0.0,0.0
8466b5bffffffff,265.0,0.0,0.0,0.0
8466c69ffffffff,3.0,0.0,0.0,0.0
8466c6dffffffff,33.0,0.0,0.0,0.0
8466d03ffffffff,62.0,0.0,0.0,0.0
8466d05ffffffff,15.0,0.0,0.0,0.0
8466d07ffffffff,38.0,0.0,0.0,0.0
8466d0bffffffff,453.0,0.0,0.0,0.0
8466d0dffffffff,28.0,0.0,0.0,0.0
8466d21ffffffff,2.0,0.0,0.0,0.0
8466d23ffffffff,13.0,0.0,0.0,0.0
8466d25ffffffff,5.0,0.0,0.0,0.0
8466d27ffffffff,12.0,0.0,0.0,0.0
8466d29ffffffff,1.0,0.0,0.0,0.0
8466d31ffffffff,912.0,0.0,0.0,60.0
8466d35ffffffff,343.0,0.0,0.0,20.0
8466d37ffffffff,76.0,0.0,0.0,5.0
8466d3dffffffff,47.0,0.0,0.0,1.0
8466d47ffffffff,6.0,0.0,0.0,0.0
8466d49ffffffff,11.0,0.0,0.0,0.0
8466d55ffffffff,4.0,0.0,0.0,0.0
8466e65ffffffff,21.0,0.0,0.0,0.0
8466e6dffffffff,311.0,0.0,0.0,0.0
8466f01ffffffff,8.0,0.0,0.0,0.0
8466f03ffffffff,84.0,0.0,0.0,0.0
8466f0bffffffff,2.0,0.0,0.0,0.0
8466f11ffffffff,10.0,0.0,0.0,0.0
8466f15ffffffff,8.0,0.0,0.0,0.0
8466f17ffffffff,3.0,0.0,0.0,0.0
8466f19ffffffff,4.0,0.0,0.0,0.0
8466f1dffffffff,94.0,0.0,0.0,0.0
8466f35ffffffff,44.0,0.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0,0.0
8466f57ffffffff,21.0,0.0,0.0,0.0
8466f59ffffffff,6.0,0.0,0.0,0.0
8466f5bffffffff,25.0,0.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0,0.0
8467933ffffffff,2.0,0.0,0.0,0.0
8467961ffffffff,3.0,0.0,0.0,0.0
8467967ffffffff,3.0,0.0,0.0,0.0
84679a1ffffffff,179.0,0.0,0.0,0.0
84679a3ffffffff,90.0,0.0,0.0,0.0
84679a5ffffffff,796.0,0.0,0.0,0.0
84679a7ffffffff,59.0,0.0,0.0,0.0
84679adffffffff,75.0,0.0,0.0,0.0
84679b3ffffffff,187.0,0.0,0.0,0.0
84679b5ffffffff,107.0,0.0,0.0,0.0
84679b7ffffffff,413.0,0.0,0.0,0.0
846d681ffffffff,21.0,0.0,0.0,0.0
846d683ffffffff,8.0,0.0,0.0,0.0
846d689ffffffff,50.0,0.0,0.0,0.0
846d68bffffffff,1060.0,0.0,0.0,0.0
846d68dffffffff,4.0,0.0,0.0,0.0
846d691ffffffff,84.0,0.0,0.0,0.0
846d699ffffffff,125.0,0.0,0.0,0.0
846d69bffffffff,166.0,0.0,0.0,0.0
846d69dffffffff,407.0,0.0,0.0,0.0
846d6c3ffffffff,3.0,0.0,0.0,0.0
846d6d1ffffffff,51.0,0.0,0.0,0.0
846d6d3ffffffff,145.0,0.0,0.0,0.0
846d6d5ffffffff,341.0,0.0,0.0,0.0
846d6d7ffffffff,25.0,0.0,0.0,0.0
846d6dbffffffff,2.0,0.0,0.0,0.0
848f0d1ffffffff,4.0,0.0,0.0,0.0
848f0d9ffffffff,1.0,0.0,0.0,0.0
848f0dbffffffff,313.0,0.0,0.0,10.0
848f283ffffffff,1.0,0.0,0.0,0.0
848f291ffffffff,52.0,0.0,0.0,0.0
848f295ffffffff,81.0,0.0,0.0,0.0
848f297ffffffff,2.0,0.0,0.0,0.0
848f2a9ffffffff,14.0,0.0,0.0,0.0
848f2b3ffffffff,6.0,0.0,0.0,0.0
848f2b9ffffffff,5.0,0.0,0.0,0.0
848f2bbffffffff,39.0,0.0,0.0,0.0
848f2bdffffffff,8.0,0.0,0.0,0.0
848f2c9ffffffff,11.0,0.0,0.0,0.0
848f2cbffffffff,12.0,0.0,0.0,0.0
848f2ebffffffff,25.0,0.0,0.0,0.0
848f765ffffffff,21.0,0.0,0.0,0.0
848f76dffffffff,1.0,0.0,0.0,0.0
