cell_id,Elanus caeruleus,Elanus caeruleus caeruleus,Elanus caeruleus [vociferus Group]
84099a3ffffffff,2.0,0.0,0.0
84099b5ffffffff,4.0,0.0,0.0
8418495ffffffff,6.0,0.0,0.0
8418497ffffffff,2.0,0.0,0.0
84184b1ffffffff,6.0,0.0,0.0
84184b7ffffffff,8.0,0.0,0.0
84184b9ffffffff,6.0,0.0,0.0
84184bbffffffff,8.0,0.0,0.0
8418597ffffffff,2.0,0.0,0.0
84185bbffffffff,26.0,0.0,0.0
84186c1ffffffff,2.0,0.0,0.0
84186c9ffffffff,9.0,0.0,0.0
84186d5ffffffff,2.0,0.0,0.0
84186edffffffff,2.0,0.0,0.0
841941bffffffff,1.0,0.0,0.0
84194c5ffffffff,1.0,0.0,0.0
84194ddffffffff,2.0,0.0,0.0
841968bffffffff,2.0,0.0,0.0
84196b3ffffffff,3.0,0.0,0.0
84196dbffffffff,2.0,0.0,0.0
841e02dffffffff,2.0,0.0,0.0
841e061ffffffff,2.0,1.0,0.0
841e199ffffffff,2.0,0.0,0.0
841e299ffffffff,2.0,0.0,0.0
841e36bffffffff,2.0,0.0,0.0
841eb13ffffffff,2.0,0.0,0.0
841ec1bffffffff,1.0,0.0,0.0
841ec9dffffffff,5.0,0.0,0.0
841eca5ffffffff,4.0,0.0,0.0
841ee97ffffffff,9.0,0.0,1.0
841f055ffffffff,2.0,0.0,0.0
841f0e7ffffffff,1.0,0.0,0.0
841f153ffffffff,2.0,0.0,0.0
841f185ffffffff,5.0,0.0,0.0
841f1dbffffffff,6.0,0.0,0.0
841f25dffffffff,1.0,0.0,0.0
841f81dffffffff,2.0,0.0,0.0
841f821ffffffff,2.0,0.0,0.0
841f823ffffffff,2.0,0.0,0.0
841f8e1ffffffff,3.0,0.0,0.0
841f8ebffffffff,6.0,0.0,0.0
841f91dffffffff,1.0,0.0,0.0
841f957ffffffff,2.0,0.0,0.0
841f9a3ffffffff,1.0,0.0,0.0
841fa07ffffffff,2.0,0.0,0.0
841fa41ffffffff,1.0,0.0,0.0
841fa43ffffffff,2.0,0.0,0.0
841fa4dffffffff,2.0,0.0,0.0
841faabffffffff,2.0,0.0,0.0
841fabdffffffff,2.0,0.0,0.0
841fb11ffffffff,1.0,0.0,0.0
841fb13ffffffff,1.0,0.0,0.0
842c043ffffffff,3.0,0.0,0.0
842c157ffffffff,2.0,0.0,0.0
842c32bffffffff,2.0,0.0,0.0
842c365ffffffff,1.0,0.0,0.0
842c831ffffffff,2.0,0.0,0.0
842c833ffffffff,14.0,0.0,0.0
842c835ffffffff,5.0,0.0,0.0
842c903ffffffff,2.0,0.0,0.0
842c93bffffffff,13.0,0.0,0.0
842c9d9ffffffff,8.0,0.0,0.0
842ce51ffffffff,6.0,0.0,0.0
842cf07ffffffff,19.0,0.0,0.0
842cf35ffffffff,5.0,0.0,0.0
842d029ffffffff,1.0,0.0,0.0
842d125ffffffff,8.0,0.0,0.0
842d959ffffffff,2.0,0.0,0.0
842da17ffffffff,30.0,0.0,0.0
842da1bffffffff,3.0,0.0,0.0
842da5dffffffff,6.0,0.0,0.0
842da81ffffffff,10.0,0.0,0.0
842da83ffffffff,2.0,0.0,0.0
842da89ffffffff,2.0,0.0,0.0
842da95ffffffff,2.0,0.0,0.0
842da99ffffffff,2.0,0.0,0.0
842dab3ffffffff,4.0,0.0,0.0
842dab9ffffffff,2.0,0.0,0.0
842dad9ffffffff,1.0,0.0,0.0
842dae9ffffffff,11.0,0.0,0.0
842db03ffffffff,4.0,0.0,4.0
842db07ffffffff,2.0,0.0,2.0
842db15ffffffff,2.0,0.0,2.0
842db1bffffffff,8.0,0.0,0.0
842db1dffffffff,5.0,0.0,5.0
842db21ffffffff,1.0,0.0,0.0
842db23ffffffff,3.0,0.0,0.0
842db29ffffffff,2.0,0.0,2.0
842db37ffffffff,8.0,0.0,1.0
842db63ffffffff,7.0,0.0,2.0
842db67ffffffff,2.0,0.0,0.0
843016dffffffff,1.0,0.0,0.0
8430985ffffffff,2.0,0.0,0.0
8430987ffffffff,3.0,0.0,0.0
8430991ffffffff,3.0,0.0,0.0
84309bdffffffff,2.0,0.0,2.0
8430e03ffffffff,2.0,0.0,0.0
8430e07ffffffff,4.0,0.0,0.0
8430e0bffffffff,15.0,0.0,0.0
8431819ffffffff,2.0,0.0,0.0
8431859ffffffff,4.0,0.0,0.0
843185bffffffff,19.0,0.0,0.0
8431889ffffffff,21.0,0.0,0.0
84318c3ffffffff,1.0,0.0,0.0
84318d1ffffffff,4.0,0.0,0.0
84318d7ffffffff,7.0,0.0,0.0
84319ddffffffff,2.0,0.0,0.0
8431a85ffffffff,6.0,0.0,2.0
8431aa1ffffffff,30.0,0.0,0.0
8431aa5ffffffff,8.0,0.0,0.0
8431aa7ffffffff,15.0,0.0,0.0
8431aadffffffff,13.0,0.0,0.0
8438247ffffffff,5.0,0.0,0.0
8438625ffffffff,9.0,0.0,0.0
8438753ffffffff,2.0,0.0,0.0
843875bffffffff,5.0,0.0,0.0
8439003ffffffff,2.0,0.0,0.0
8439005ffffffff,1.0,0.0,0.0
8439007ffffffff,1.0,0.0,0.0
843900dffffffff,4.0,0.0,0.0
8439011ffffffff,1.0,0.0,0.0
8439013ffffffff,1.0,1.0,0.0
8439019ffffffff,3.0,0.0,0.0
843901bffffffff,26.0,0.0,0.0
843901dffffffff,19.0,14.0,0.0
8439021ffffffff,2.0,0.0,0.0
