cell_id,Hylophilus thoracicus,Hylophilus thoracicus griseiventris/aemulus,Hylophilus thoracicus thoracicus
845f011ffffffff,2.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0
845f01bffffffff,1.0,0.0,0.0
845f025ffffffff,4.0,0.0,0.0
845f02bffffffff,4.0,0.0,0.0
845f035ffffffff,3.0,0.0,0.0
845f03dffffffff,54.0,2.0,0.0
845f083ffffffff,6.0,0.0,0.0
845f089ffffffff,2.0,0.0,0.0
845f08bffffffff,2.0,0.0,0.0
845f095ffffffff,19.0,0.0,0.0
845f09dffffffff,2.0,0.0,0.0
845f0b9ffffffff,3.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0
845f105ffffffff,5.0,0.0,0.0
845f117ffffffff,1.0,0.0,0.0
845f143ffffffff,6.0,0.0,0.0
845f161ffffffff,1.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0
845f1cbffffffff,6.0,0.0,0.0
845f1e9ffffffff,1.0,0.0,0.0
845f291ffffffff,1.0,0.0,0.0
845f295ffffffff,9.0,0.0,0.0
845f299ffffffff,15.0,0.0,0.0
845f29dffffffff,13.0,0.0,0.0
845f2b1ffffffff,12.0,0.0,0.0
845f2b3ffffffff,37.0,0.0,0.0
845f2b9ffffffff,2.0,0.0,0.0
845f2bbffffffff,189.0,0.0,0.0
845f2d1ffffffff,9.0,0.0,0.0
845f2d7ffffffff,4.0,0.0,0.0
845f331ffffffff,1.0,0.0,0.0
845f407ffffffff,3.0,0.0,0.0
845f42bffffffff,6.0,0.0,0.0
845f445ffffffff,1.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f50bffffffff,2.0,0.0,0.0
845f549ffffffff,23.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f683ffffffff,13.0,0.0,0.0
845f689ffffffff,5.0,0.0,0.0
845f711ffffffff,1.0,0.0,0.0
845f713ffffffff,4.0,0.0,0.0
845f717ffffffff,2.0,0.0,0.0
845f759ffffffff,1.0,0.0,0.0
84665abffffffff,14.0,0.0,0.0
84665bdffffffff,75.0,0.0,0.0
8466c23ffffffff,26.0,0.0,0.0
8466c27ffffffff,3.0,0.0,0.0
8466c35ffffffff,9.0,0.0,0.0
8466cc5ffffffff,8.0,0.0,0.0
8466ce9ffffffff,2.0,0.0,0.0
8466cedffffffff,1.0,0.0,0.0
8466d81ffffffff,18.0,2.0,0.0
8466d8bffffffff,2.0,2.0,0.0
8466d8dffffffff,3.0,0.0,0.0
8466dc3ffffffff,4.0,0.0,0.0
8466dcbffffffff,1.0,0.0,0.0
8466dd7ffffffff,3.0,0.0,0.0
8466de3ffffffff,14.0,2.0,0.0
8466e9dffffffff,2.0,0.0,0.0
8466ee5ffffffff,1.0,0.0,0.0
8481149ffffffff,3.0,0.0,0.0
848130bffffffff,2.0,0.0,0.0
8481321ffffffff,2.0,0.0,0.0
8481339ffffffff,16.0,0.0,2.0
8481343ffffffff,2.0,0.0,0.0
8481363ffffffff,81.0,0.0,2.0
848a00bffffffff,8.0,0.0,0.0
848a01dffffffff,3.0,0.0,0.0
848a051ffffffff,2.0,0.0,0.0
848a157ffffffff,1.0,0.0,0.0
848a191ffffffff,1.0,1.0,0.0
848a451ffffffff,4.0,0.0,0.0
848a459ffffffff,9.0,1.0,0.0
848a45dffffffff,1.0,0.0,0.0
848a551ffffffff,1.0,0.0,0.0
848a5a1ffffffff,1.0,1.0,0.0
848a697ffffffff,1.0,0.0,0.0
848a699ffffffff,17.0,0.0,0.0
848a6d9ffffffff,29.0,0.0,0.0
848a6dbffffffff,1.0,0.0,0.0
848a6e5ffffffff,3.0,0.0,0.0
848a70bffffffff,4.0,0.0,0.0
848aa93ffffffff,2.0,0.0,0.0
848ad13ffffffff,4.0,0.0,0.0
848ad57ffffffff,3.0,0.0,0.0
848ada9ffffffff,2.0,0.0,0.0
848ade3ffffffff,1.0,0.0,0.0
848af09ffffffff,30.0,5.0,0.0
848af0bffffffff,4.0,4.0,0.0
