cell_id,Batis capensis,Batis capensis [erythrophthalma Group],Batis capensis capensis
8497035ffffffff,51.0,6.0,0.0
849703dffffffff,4.0,0.0,0.0
84971c1ffffffff,2.0,0.0,0.0
84971c3ffffffff,17.0,0.0,0.0
84971cbffffffff,11.0,0.0,0.0
849721bffffffff,2.0,0.0,0.0
8497289ffffffff,10.0,0.0,0.0
849728dffffffff,2.0,2.0,0.0
84972d5ffffffff,9.0,2.0,0.0
84972d7ffffffff,16.0,2.0,0.0
84972d9ffffffff,210.0,39.0,0.0
84972e3ffffffff,1.0,0.0,0.0
849772dffffffff,3.0,0.0,0.0
84ad329ffffffff,4.0,0.0,0.0
84ad32dffffffff,2.0,0.0,0.0
84ad361ffffffff,500.0,0.0,149.0
84ad365ffffffff,34.0,0.0,18.0
84ad367ffffffff,13.0,0.0,4.0
84ad369ffffffff,43.0,0.0,17.0
84ad36dffffffff,61.0,0.0,22.0
84bc091ffffffff,7.0,0.0,0.0
84bc095ffffffff,4.0,0.0,2.0
84bc0bdffffffff,1.0,0.0,0.0
84bc19bffffffff,5.0,0.0,0.0
84bc1b7ffffffff,2.0,0.0,1.0
84bc1bbffffffff,3.0,0.0,0.0
84bc403ffffffff,1.0,0.0,0.0
84bc409ffffffff,10.0,0.0,1.0
84bc40dffffffff,2.0,0.0,0.0
84bc411ffffffff,1.0,0.0,1.0
84bc41dffffffff,2.0,0.0,0.0
84bc435ffffffff,2.0,0.0,0.0
84bc443ffffffff,16.0,0.0,1.0
84bc447ffffffff,66.0,0.0,9.0
84bc453ffffffff,1.0,0.0,0.0
84bc455ffffffff,201.0,0.0,46.0
84bc457ffffffff,15.0,0.0,0.0
84bc469ffffffff,2.0,0.0,0.0
84bc46dffffffff,7.0,0.0,0.0
84bc491ffffffff,12.0,0.0,1.0
84bc49dffffffff,3.0,0.0,0.0
84bc4d5ffffffff,1.0,0.0,0.0
84bc4d7ffffffff,2.0,0.0,1.0
84bc4d9ffffffff,16.0,0.0,1.0
84bc50bffffffff,1.0,0.0,0.0
84bc545ffffffff,10.0,0.0,0.0
84bc683ffffffff,5.0,0.0,2.0
84bc687ffffffff,29.0,0.0,13.0
84bc695ffffffff,29.0,0.0,14.0
84bc697ffffffff,253.0,0.0,81.0
84bc6a1ffffffff,3.0,0.0,0.0
84bc6a3ffffffff,141.0,0.0,41.0
84bc6a7ffffffff,6.0,0.0,2.0
84bc6abffffffff,22.0,0.0,4.0
84bc6b1ffffffff,2.0,0.0,0.0
84bc6b7ffffffff,2.0,0.0,0.0
84bc6b9ffffffff,4.0,0.0,0.0
84bc6bbffffffff,2.0,0.0,0.0
84bc6bdffffffff,7.0,0.0,0.0
84bc717ffffffff,14.0,0.0,0.0
84bc723ffffffff,3.0,0.0,0.0
84bc731ffffffff,10.0,0.0,0.0
84bc735ffffffff,1.0,0.0,0.0
84bc737ffffffff,7.0,0.0,0.0
84bc739ffffffff,7.0,0.0,2.0
84bc73bffffffff,24.0,0.0,0.0
84bcc49ffffffff,2.0,0.0,2.0
84bcc4bffffffff,1.0,0.0,0.0
84bcc6dffffffff,2.0,0.0,0.0
84bcd01ffffffff,24.0,1.0,0.0
84bcd03ffffffff,4.0,0.0,0.0
84bcd05ffffffff,4.0,2.0,0.0
84bcd07ffffffff,171.0,42.0,0.0
84bcd09ffffffff,13.0,2.0,0.0
84bcd0bffffffff,18.0,4.0,0.0
84bcd15ffffffff,2.0,0.0,0.0
84bcd1dffffffff,3.0,0.0,0.0
84bcd21ffffffff,11.0,0.0,0.0
84bcd23ffffffff,1.0,0.0,0.0
84bcd27ffffffff,2.0,2.0,0.0
84bcd29ffffffff,3.0,0.0,0.0
84bcd37ffffffff,5.0,0.0,0.0
84bcd3dffffffff,24.0,6.0,0.0
84bcd43ffffffff,9.0,0.0,0.0
84bcd45ffffffff,2.0,0.0,0.0
84bcd55ffffffff,5.0,5.0,0.0
84bcd57ffffffff,3.0,2.0,0.0
84bcd63ffffffff,4.0,2.0,0.0
84bce21ffffffff,2.0,0.0,0.0
84bce29ffffffff,18.0,0.0,5.0
84bce51ffffffff,4.0,0.0,0.0
84bce65ffffffff,4.0,1.0,0.0
84bce67ffffffff,6.0,0.0,4.0
84bce6bffffffff,4.0,0.0,0.0
84bcf09ffffffff,19.0,5.0,2.0
84bcf0bffffffff,3.0,1.0,0.0
84bcf21ffffffff,2.0,0.0,2.0
84bcf29ffffffff,1.0,0.0,0.0
84bcf33ffffffff,11.0,2.0,0.0
84bcf3dffffffff,1.0,0.0,0.0
84bcf47ffffffff,6.0,0.0,3.0
84bcf53ffffffff,9.0,2.0,3.0
84bcf59ffffffff,9.0,0.0,0.0
84bcf5bffffffff,16.0,6.0,7.0
