cell_id,Pycnonotus plumosus,Pycnonotus plumosus [plumosus Group],Pycnonotus plumosus porphyreus
8465005ffffffff,22.0,0.0,0.0
8465009ffffffff,20.0,0.0,0.0
8465017ffffffff,3.0,0.0,0.0
8465029ffffffff,13.0,0.0,0.0
846502bffffffff,13.0,0.0,0.0
8465031ffffffff,1.0,0.0,0.0
8465033ffffffff,93.0,0.0,0.0
8465037ffffffff,14.0,0.0,0.0
846503bffffffff,4.0,0.0,0.0
8465055ffffffff,9.0,0.0,0.0
8465059ffffffff,5.0,0.0,0.0
846505dffffffff,5.0,0.0,0.0
8465063ffffffff,1.0,0.0,0.0
8465069ffffffff,2.0,0.0,0.0
84650edffffffff,3.0,0.0,0.0
8465183ffffffff,2.0,0.0,0.0
8465189ffffffff,29.0,0.0,0.0
846518bffffffff,5.0,0.0,0.0
8465191ffffffff,1.0,0.0,0.0
846519dffffffff,5.0,0.0,0.0
84651c3ffffffff,6.0,0.0,0.0
84651c9ffffffff,2.0,0.0,0.0
84651d1ffffffff,2.0,0.0,0.0
84651d9ffffffff,95.0,0.0,0.0
84651dbffffffff,65.0,0.0,0.0
846520dffffffff,118.0,0.0,0.0
8465237ffffffff,9.0,0.0,0.0
8465263ffffffff,35.0,0.0,0.0
846526bffffffff,2.0,0.0,0.0
84681c3ffffffff,2.0,0.0,0.0
