cell_id,Aethopyga nipalensis,Aethopyga nipalensis [nipalensis Group],Aethopyga nipalensis angkanensis
823c07fffffffff,412.0,6.0,0.0
823c0ffffffffff,1237.0,88.0,0.0
823c1ffffffffff,1655.0,0.0,0.0
823c37fffffffff,82.0,0.0,0.0
823c47fffffffff,50.0,0.0,0.0
823c57fffffffff,2076.0,1.0,0.0
823c5ffffffffff,1321.0,0.0,0.0
823cc7fffffffff,98.0,0.0,0.0
823ccffffffffff,2.0,0.0,0.0
823cdffffffffff,69.0,6.0,0.0
823ce7fffffffff,749.0,46.0,0.0
823ceffffffffff,227.0,0.0,0.0
823d17fffffffff,422.0,0.0,0.0
823d1ffffffffff,523.0,0.0,0.0
823daffffffffff,755.0,0.0,0.0
824047fffffffff,8.0,0.0,0.0
82404ffffffffff,176.0,1.0,0.0
82405ffffffffff,54.0,0.0,0.0
824067fffffffff,8.0,0.0,0.0
82406ffffffffff,2.0,0.0,0.0
82414ffffffffff,51.0,2.0,0.0
82415ffffffffff,40.0,13.0,0.0
824167fffffffff,4.0,0.0,0.0
826487fffffffff,983.0,0.0,486.0
82649ffffffffff,8.0,0.0,0.0
8265b7fffffffff,4.0,0.0,0.0
826917fffffffff,1.0,0.0,0.0
826937fffffffff,58.0,8.0,0.0
