cell_id,Hypsipetes ganeesa,Hypsipetes ganeesa ganeesa,Hypsipetes ganeesa humii
846006dffffffff,2.0,0.0,0.0
8460103ffffffff,2.0,0.0,0.0
8460117ffffffff,2.0,0.0,0.0
846011dffffffff,6.0,0.0,0.0
8460153ffffffff,6.0,0.0,0.0
8460159ffffffff,1.0,0.0,0.0
846015bffffffff,2.0,1.0,0.0
84601e5ffffffff,1.0,0.0,0.0
846022dffffffff,2.0,0.0,0.0
8460261ffffffff,15.0,0.0,0.0
8460267ffffffff,1.0,0.0,0.0
846030bffffffff,3.0,3.0,0.0
8460311ffffffff,2.0,0.0,0.0
8460315ffffffff,3.0,0.0,0.0
8460319ffffffff,10.0,2.0,0.0
846031dffffffff,13.0,5.0,0.0
846032dffffffff,77.0,0.0,0.0
8460331ffffffff,25.0,0.0,0.0
8460335ffffffff,51.0,5.0,0.0
846033bffffffff,134.0,0.0,0.0
8460351ffffffff,4.0,0.0,0.0
8460353ffffffff,3.0,0.0,0.0
8460357ffffffff,2.0,2.0,0.0
846035bffffffff,22.0,5.0,0.0
8460881ffffffff,4.0,0.0,0.0
8460887ffffffff,38.0,2.0,0.0
8460889ffffffff,12.0,0.0,0.0
846088dffffffff,3.0,0.0,0.0
84608a1ffffffff,1.0,0.0,0.0
84608abffffffff,22.0,0.0,0.0
84608d5ffffffff,2.0,0.0,0.0
84608ddffffffff,3.0,0.0,0.0
8460a83ffffffff,2.0,0.0,0.0
8460a91ffffffff,11.0,0.0,0.0
8460a95ffffffff,19.0,0.0,0.0
8460a99ffffffff,28.0,0.0,0.0
8460a9dffffffff,34.0,0.0,0.0
8460ab3ffffffff,1.0,0.0,0.0
8460ad3ffffffff,2.0,0.0,0.0
8461023ffffffff,2.0,0.0,2.0
