cell_id,Pellorneum malaccense,Pellorneum malaccense malaccense,Pellorneum malaccense saturatum,Pellorneum malaccense poliogene
8464319ffffffff,8.0,0.0,0.0,0.0
8464331ffffffff,1.0,0.0,0.0,0.0
8464343ffffffff,51.0,2.0,0.0,0.0
8464351ffffffff,1.0,0.0,0.0,0.0
8464359ffffffff,14.0,0.0,0.0,0.0
8465005ffffffff,59.0,0.0,0.0,0.0
8465009ffffffff,43.0,0.0,0.0,0.0
846501dffffffff,4.0,0.0,0.0,0.0
8465029ffffffff,3.0,0.0,0.0,0.0
846502bffffffff,57.0,0.0,0.0,0.0
8465033ffffffff,8.0,0.0,0.0,0.0
8465037ffffffff,2.0,0.0,0.0,0.0
8465043ffffffff,2.0,0.0,0.0,0.0
8465051ffffffff,17.0,0.0,0.0,0.0
8465055ffffffff,49.0,0.0,0.0,0.0
8465057ffffffff,1.0,0.0,0.0,0.0
846505dffffffff,6.0,0.0,0.0,0.0
8465063ffffffff,6.0,0.0,0.0,0.0
8465099ffffffff,1.0,0.0,0.0,0.0
846509bffffffff,1.0,0.0,0.0,0.0
8465183ffffffff,6.0,0.0,0.0,0.0
8465189ffffffff,15.0,1.0,0.0,0.0
846518bffffffff,15.0,0.0,0.0,0.0
84651b9ffffffff,2.0,0.0,0.0,0.0
84651c1ffffffff,9.0,0.0,0.0,0.0
84651c3ffffffff,4.0,0.0,0.0,0.0
84651c9ffffffff,31.0,0.0,0.0,0.0
84651cbffffffff,2.0,0.0,0.0,0.0
84651cdffffffff,8.0,0.0,0.0,0.0
84651dbffffffff,1.0,0.0,0.0,0.0
8465205ffffffff,2.0,0.0,0.0,0.0
846520dffffffff,159.0,0.0,0.0,0.0
8465221ffffffff,18.0,0.0,0.0,0.0
8465223ffffffff,5.0,0.0,0.0,0.0
8465225ffffffff,28.0,0.0,0.0,0.0
8465227ffffffff,6.0,0.0,0.0,0.0
8465229ffffffff,201.0,0.0,0.0,0.0
8465263ffffffff,28.0,0.0,0.0,0.0
84652cdffffffff,2.0,0.0,0.0,0.0
8468025ffffffff,42.0,0.0,0.0,0.0
8468107ffffffff,2.0,0.0,0.0,0.0
8468111ffffffff,5.0,0.0,0.0,0.0
8468113ffffffff,19.0,0.0,0.0,3.0
8468115ffffffff,4.0,0.0,0.0,0.0
846811bffffffff,10.0,0.0,0.0,1.0
8468123ffffffff,9.0,0.0,0.0,0.0
8468125ffffffff,1.0,0.0,0.0,0.0
8468129ffffffff,1.0,0.0,0.0,0.0
846812bffffffff,2.0,0.0,0.0,0.0
8468157ffffffff,1.0,0.0,0.0,0.0
8468185ffffffff,52.0,0.0,0.0,0.0
8468189ffffffff,13.0,0.0,0.0,0.0
846818bffffffff,7.0,0.0,0.0,0.0
846818dffffffff,209.0,0.0,0.0,2.0
846819dffffffff,10.0,0.0,0.0,1.0
84681a9ffffffff,31.0,0.0,0.0,1.0
84681c3ffffffff,81.0,0.0,0.0,0.0
84681c5ffffffff,15.0,0.0,0.0,0.0
84681cdffffffff,1.0,0.0,0.0,0.0
84681d5ffffffff,4.0,0.0,0.0,0.0
84681e3ffffffff,3.0,0.0,0.0,0.0
84681edffffffff,17.0,0.0,0.0,0.0
8468889ffffffff,4.0,0.0,0.0,0.0
84688adffffffff,5.0,0.0,0.0,0.0
8468965ffffffff,1.0,0.0,0.0,0.0
8468a1dffffffff,2.0,0.0,0.0,0.0
8468a51ffffffff,3.0,0.0,0.0,0.0
8468a63ffffffff,1.0,0.0,0.0,0.0
8468ac9ffffffff,2.0,0.0,0.0,0.0
8468b09ffffffff,1.0,0.0,0.0,0.0
8468b55ffffffff,2.0,0.0,0.0,0.0
848c1a7ffffffff,10.0,0.0,0.0,0.0
848c1a9ffffffff,1.0,0.0,0.0,0.0
848c92dffffffff,1.0,0.0,0.0,0.0
848c961ffffffff,4.0,0.0,0.0,0.0
848c965ffffffff,2.0,0.0,0.0,0.0
848c967ffffffff,15.0,0.0,3.0,0.0
848cad5ffffffff,8.0,0.0,0.0,0.0
848caddffffffff,12.0,0.0,0.0,0.0
848cd0bffffffff,6.0,0.0,0.0,0.0
848d9a5ffffffff,3.0,0.0,0.0,0.0
