cell_id,Rissa tridactyla,Rissa tridactyla tridactyla,Rissa tridactyla pollicaris
83002cfffffffff,1.0,0.0,0.0
83002dfffffffff,2.0,0.0,0.0
830150fffffffff,7.0,0.0,0.0
830151fffffffff,6.0,2.0,0.0
83015afffffffff,2.0,2.0,0.0
83015efffffffff,29.0,23.0,0.0
830168fffffffff,1.0,1.0,0.0
83024cfffffffff,16.0,0.0,0.0
830284fffffffff,4.0,0.0,0.0
83029cfffffffff,2.0,0.0,0.0
830381fffffffff,2.0,0.0,0.0
830382fffffffff,3.0,0.0,0.0
83039efffffffff,1.0,0.0,0.0
8303abfffffffff,3.0,0.0,0.0
830624fffffffff,2.0,0.0,0.0
830626fffffffff,1.0,0.0,0.0
830689fffffffff,6.0,0.0,0.0
8306d1fffffffff,3.0,0.0,0.0
8306d4fffffffff,1.0,0.0,0.0
8306dcfffffffff,1.0,0.0,0.0
8306f2fffffffff,1.0,0.0,0.0
830746fffffffff,1.0,0.0,0.0
830755fffffffff,2.0,0.0,0.0
83075dfffffffff,3.0,0.0,0.0
830885fffffffff,3.0,0.0,0.0
830893fffffffff,1.0,0.0,0.0
830898fffffffff,2.0,0.0,0.0
83089bfffffffff,3.0,0.0,0.0
830c02fffffffff,2.0,0.0,0.0
830c14fffffffff,4.0,0.0,0.0
830c42fffffffff,30.0,0.0,4.0
830c46fffffffff,11.0,0.0,0.0
830c50fffffffff,5.0,0.0,0.0
830c51fffffffff,41.0,0.0,0.0
830c53fffffffff,5.0,0.0,0.0
830c54fffffffff,4.0,0.0,0.0
830c5afffffffff,67.0,0.0,2.0
830c73fffffffff,47.0,0.0,0.0
830ca4fffffffff,37.0,0.0,0.0
830cc4fffffffff,4.0,0.0,0.0
830cddfffffffff,3.0,0.0,0.0
830ce2fffffffff,1.0,0.0,0.0
830d03fffffffff,234.0,0.0,1.0
830d26fffffffff,2.0,0.0,0.0
830d66fffffffff,3.0,0.0,0.0
830d88fffffffff,1.0,0.0,1.0
830d89fffffffff,1.0,0.0,1.0
830e49fffffffff,33.0,0.0,0.0
830e80fffffffff,6.0,0.0,0.0
830eccfffffffff,19.0,0.0,0.0
830eeafffffffff,3.0,0.0,0.0
831286fffffffff,3.0,0.0,0.0
831290fffffffff,1.0,0.0,0.0
831294fffffffff,3.0,0.0,0.0
831295fffffffff,2.0,0.0,0.0
8312b0fffffffff,4.0,0.0,0.0
8312b3fffffffff,2.0,0.0,0.0
8312b4fffffffff,23.0,0.0,0.0
8312c8fffffffff,2.0,0.0,0.0
8312ccfffffffff,54.0,0.0,0.0
8312cdfffffffff,2.0,0.0,0.0
8312d1fffffffff,2.0,0.0,0.0
8312d8fffffffff,1.0,0.0,0.0
831383fffffffff,5.0,0.0,0.0
831386fffffffff,5.0,0.0,0.0
831393fffffffff,25.0,0.0,0.0
83139afffffffff,2.0,0.0,0.0
831458fffffffff,2.0,0.0,2.0
831656fffffffff,1.0,0.0,0.0
83176bfffffffff,4.0,0.0,0.0
831801fffffffff,3.0,1.0,0.0
831805fffffffff,4.0,1.0,0.0
83180cfffffffff,2.0,0.0,0.0
83182cfffffffff,7.0,0.0,0.0
831845fffffffff,6.0,0.0,0.0
831849fffffffff,74.0,0.0,0.0
83184bfffffffff,42.0,0.0,0.0
831859fffffffff,1.0,0.0,0.0
83185bfffffffff,12.0,0.0,0.0
83186afffffffff,1.0,0.0,0.0
83186cfffffffff,2.0,0.0,0.0
831873fffffffff,5.0,0.0,0.0
831876fffffffff,1.0,0.0,0.0
83190cfffffffff,15.0,0.0,0.0
83191dfffffffff,4.0,0.0,0.0
831922fffffffff,1.0,1.0,0.0
831926fffffffff,1.0,1.0,0.0
83192bfffffffff,2.0,2.0,0.0
83192cfffffffff,2.0,0.0,0.0
831942fffffffff,4.0,0.0,0.0
831943fffffffff,3.0,0.0,0.0
831948fffffffff,2.0,0.0,0.0
83194afffffffff,3.0,0.0,0.0
83194cfffffffff,35.0,33.0,0.0
83194efffffffff,2.0,2.0,0.0
831950fffffffff,9.0,3.0,0.0
83195cfffffffff,2.0,0.0,0.0
83195dfffffffff,2.0,0.0,0.0
831965fffffffff,2.0,0.0,0.0
831968fffffffff,2.0,0.0,0.0
83196bfffffffff,2.0,0.0,0.0
83196efffffffff,3.0,0.0,0.0
831aa0fffffffff,24.0,0.0,0.0
831aa2fffffffff,148.0,0.0,0.0
831aa3fffffffff,127.0,0.0,0.0
831aa4fffffffff,3.0,0.0,0.0
831b83fffffffff,1.0,0.0,0.0
831b98fffffffff,3.0,0.0,0.0
831b99fffffffff,2.0,0.0,0.0
831d26fffffffff,2.0,0.0,0.0
831e02fffffffff,3.0,0.0,0.0
831e05fffffffff,1.0,0.0,0.0
831e06fffffffff,8.0,0.0,0.0
831e0afffffffff,1.0,0.0,0.0
831e0efffffffff,5.0,1.0,0.0
831e11fffffffff,7.0,0.0,0.0
831e12fffffffff,3.0,0.0,0.0
831e13fffffffff,20.0,0.0,0.0
831e14fffffffff,2.0,0.0,0.0
831e23fffffffff,3.0,0.0,0.0
831e30fffffffff,2.0,0.0,0.0
831e31fffffffff,8.0,0.0,0.0
831e35fffffffff,2.0,0.0,0.0
831e5dfffffffff,3.0,0.0,0.0
831eb5fffffffff,4.0,0.0,0.0
831ec9fffffffff,1.0,0.0,0.0
831ed1fffffffff,3.0,0.0,0.0
831edcfffffffff,2.0,0.0,0.0
831edefffffffff,4.0,0.0,0.0
831f0dfffffffff,2.0,0.0,0.0
831f0efffffffff,5.0,0.0,0.0
831f13fffffffff,6.0,0.0,0.0
831f14fffffffff,1.0,0.0,0.0
831f1afffffffff,9.0,0.0,0.0
831f21fffffffff,2.0,0.0,0.0
831f28fffffffff,5.0,0.0,0.0
831f29fffffffff,7.0,0.0,0.0
831f32fffffffff,12.0,0.0,0.0
831f33fffffffff,10.0,0.0,0.0
831f4afffffffff,2.0,0.0,0.0
