cell_id,Oenanthe oenanthe,Oenanthe oenanthe leucorhoa,Oenanthe oenanthe oenanthe/libanotica
830130fffffffff,2.0,0.0,0.0
830145fffffffff,1.0,0.0,0.0
830153fffffffff,3.0,0.0,0.0
83015efffffffff,2.0,0.0,0.0
830688fffffffff,1.0,1.0,0.0
830689fffffffff,2.0,2.0,0.0
8306d1fffffffff,8.0,8.0,0.0
8306d5fffffffff,21.0,21.0,0.0
8306d6fffffffff,1.0,0.0,0.0
8306f2fffffffff,1.0,1.0,0.0
83074efffffffff,2.0,2.0,0.0
830758fffffffff,2.0,2.0,0.0
83075dfffffffff,1.0,1.0,0.0
830812fffffffff,4.0,0.0,4.0
830814fffffffff,2.0,0.0,0.0
830819fffffffff,2.0,0.0,2.0
830886fffffffff,2.0,0.0,2.0
8308a0fffffffff,2.0,0.0,2.0
8308a3fffffffff,2.0,0.0,2.0
8308a5fffffffff,2.0,0.0,2.0
8308a6fffffffff,4.0,0.0,4.0
830980fffffffff,2.0,0.0,0.0
830982fffffffff,2.0,0.0,0.0
830988fffffffff,2.0,0.0,0.0
830991fffffffff,12.0,0.0,0.0
830999fffffffff,8.0,0.0,6.0
83099bfffffffff,3.0,0.0,3.0
8309a6fffffffff,3.0,3.0,0.0
830c14fffffffff,36.0,0.0,0.0
830c33fffffffff,2.0,0.0,0.0
830c41fffffffff,4.0,0.0,0.0
830c51fffffffff,3.0,0.0,0.0
830c73fffffffff,5.0,0.0,0.0
830c74fffffffff,2.0,0.0,0.0
830c75fffffffff,5.0,0.0,0.0
830ca2fffffffff,3.0,0.0,0.0
830ca4fffffffff,20.0,0.0,0.0
830d03fffffffff,1.0,0.0,0.0
830d48fffffffff,9.0,0.0,0.0
830d4afffffffff,3.0,0.0,0.0
830d4dfffffffff,26.0,0.0,0.0
830d56fffffffff,4.0,0.0,0.0
830d62fffffffff,4.0,0.0,0.0
830d6cfffffffff,2.0,0.0,0.0
830d6efffffffff,4.0,0.0,0.0
830e21fffffffff,2.0,0.0,0.0
830e2dfffffffff,2.0,0.0,0.0
830e4dfffffffff,9.0,0.0,0.0
830e80fffffffff,13.0,0.0,0.0
830eccfffffffff,1.0,0.0,0.0
830ee8fffffffff,4.0,0.0,0.0
830eeefffffffff,2.0,0.0,0.0
830ef1fffffffff,2.0,0.0,0.0
