cell_id,Eucometis penicillata,Eucometis penicillata [spodocephalus Group],Eucometis penicillata [penicillata Group]
824507fffffffff,20.0,0.0,0.0
82450ffffffffff,1400.0,0.0,0.0
824527fffffffff,658.0,0.0,0.0
82452ffffffffff,4130.0,164.0,0.0
824537fffffffff,30.0,0.0,0.0
824577fffffffff,6.0,0.0,0.0
826607fffffffff,37.0,0.0,0.0
82660ffffffffff,730.0,4.0,0.0
826617fffffffff,726.0,39.0,0.0
82661ffffffffff,1128.0,6.0,0.0
826627fffffffff,835.0,26.0,0.0
82662ffffffffff,48.0,0.0,0.0
826637fffffffff,5.0,0.0,0.0
826647fffffffff,249.0,0.0,0.0
826657fffffffff,5.0,0.0,0.0
82665ffffffffff,3.0,0.0,0.0
8266a7fffffffff,3707.0,289.0,0.0
8266b7fffffffff,3443.0,5.0,0.0
8266c7fffffffff,343.0,0.0,0.0
8266cffffffffff,16.0,0.0,0.0
8266dffffffffff,333.0,0.0,43.0
8266e7fffffffff,2804.0,19.0,0.0
8266effffffffff,480.0,0.0,0.0
8266f7fffffffff,2.0,0.0,0.0
826747fffffffff,160.0,0.0,7.0
82674ffffffffff,222.0,0.0,2.0
826757fffffffff,165.0,0.0,0.0
82675ffffffffff,128.0,1.0,0.0
826797fffffffff,34.0,0.0,0.0
826d27fffffffff,18.0,2.0,0.0
826d2ffffffffff,130.0,19.0,0.0
826d37fffffffff,8.0,3.0,0.0
826d67fffffffff,906.0,0.0,0.0
826d6ffffffffff,4039.0,0.0,0.0
82800ffffffffff,2.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0
828047fffffffff,20.0,0.0,0.0
828067fffffffff,2.0,0.0,0.0
828077fffffffff,1.0,0.0,0.0
828127fffffffff,43.0,0.0,4.0
82812ffffffffff,27.0,0.0,1.0
828137fffffffff,1.0,0.0,0.0
828147fffffffff,33.0,0.0,0.0
828157fffffffff,1.0,0.0,0.0
828167fffffffff,30.0,0.0,0.0
828177fffffffff,62.0,0.0,0.0
828a07fffffffff,8.0,0.0,0.0
828a17fffffffff,3.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a47fffffffff,107.0,0.0,3.0
828a6ffffffffff,224.0,0.0,0.0
828a77fffffffff,17.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828adffffffffff,5.0,0.0,0.0
828af7fffffffff,33.0,0.0,0.0
828b0ffffffffff,11.0,0.0,0.0
828b17fffffffff,6.0,0.0,0.0
828b27fffffffff,25.0,0.0,0.0
828b2ffffffffff,14.0,0.0,0.0
828b37fffffffff,10.0,0.0,0.0
828b57fffffffff,17.0,0.0,0.0
828b5ffffffffff,7.0,0.0,0.0
828b77fffffffff,8.0,0.0,0.0
828ba7fffffffff,33.0,0.0,0.0
828bb7fffffffff,226.0,0.0,28.0
828f47fffffffff,3.0,0.0,0.0
828f4ffffffffff,25.0,0.0,0.0
828f67fffffffff,73.0,0.0,0.0
828f6ffffffffff,37.0,0.0,0.0
828f77fffffffff,1.0,0.0,0.0
82a807fffffffff,2.0,0.0,0.0
82a80ffffffffff,4.0,0.0,0.0
82a817fffffffff,4.0,0.0,0.0
82a81ffffffffff,447.0,0.0,0.0
82a82ffffffffff,7.0,0.0,0.0
82a847fffffffff,162.0,0.0,6.0
82a84ffffffffff,7.0,0.0,0.0
82a857fffffffff,46.0,0.0,0.0
82a85ffffffffff,671.0,0.0,32.0
82a867fffffffff,57.0,0.0,0.0
82a877fffffffff,32.0,0.0,0.0
82a887fffffffff,6.0,0.0,0.0
82a88ffffffffff,76.0,0.0,8.0
82a8affffffffff,8.0,0.0,0.0
82a8c7fffffffff,195.0,0.0,2.0
82a8cffffffffff,7.0,0.0,3.0
82a8d7fffffffff,127.0,0.0,14.0
82a8dffffffffff,86.0,0.0,5.0
82a8e7fffffffff,11.0,0.0,1.0
82a8effffffffff,15.0,0.0,4.0
82a8f7fffffffff,35.0,0.0,4.0
82a947fffffffff,3.0,0.0,0.0
82a95ffffffffff,4.0,0.0,0.0
