cell_id,Mergus merganser,Mergus merganser merganser/orientalis,Mergus merganser americanus
830130fffffffff,2.0,0.0,0.0
830135fffffffff,10.0,0.0,0.0
830741fffffffff,1.0,1.0,0.0
830743fffffffff,3.0,0.0,0.0
830746fffffffff,4.0,4.0,0.0
830762fffffffff,3.0,0.0,0.0
830773fffffffff,4.0,4.0,0.0
830880fffffffff,2.0,0.0,0.0
830886fffffffff,3.0,1.0,0.0
83089dfffffffff,2.0,0.0,0.0
830c14fffffffff,40.0,0.0,12.0
830c41fffffffff,15.0,0.0,0.0
830c46fffffffff,6.0,0.0,4.0
830c50fffffffff,4.0,0.0,2.0
830c51fffffffff,7.0,0.0,6.0
830c54fffffffff,2.0,0.0,0.0
830c55fffffffff,2.0,0.0,0.0
830c5afffffffff,20.0,0.0,1.0
830c66fffffffff,2.0,0.0,0.0
830c69fffffffff,2.0,0.0,0.0
830c70fffffffff,1.0,0.0,0.0
830c71fffffffff,3.0,0.0,0.0
830c73fffffffff,47.0,0.0,16.0
830ca4fffffffff,45.0,2.0,28.0
830cdefffffffff,2.0,0.0,0.0
830ce8fffffffff,2.0,0.0,0.0
830ce9fffffffff,2.0,0.0,0.0
830cecfffffffff,5.0,0.0,0.0
830cedfffffffff,3.0,0.0,0.0
830d03fffffffff,1.0,0.0,0.0
830d09fffffffff,2.0,0.0,0.0
830d0dfffffffff,1.0,0.0,0.0
830d58fffffffff,2.0,0.0,0.0
830d59fffffffff,4.0,0.0,0.0
830d62fffffffff,11.0,0.0,0.0
830d71fffffffff,1.0,0.0,0.0
830d76fffffffff,2.0,0.0,0.0
830e0efffffffff,3.0,0.0,0.0
830e45fffffffff,8.0,0.0,0.0
830e49fffffffff,3.0,0.0,0.0
830e53fffffffff,2.0,0.0,0.0
830e5bfffffffff,6.0,0.0,0.0
830e80fffffffff,6.0,0.0,1.0
830e94fffffffff,4.0,0.0,4.0
830ec1fffffffff,11.0,0.0,0.0
830ec5fffffffff,4.0,0.0,0.0
830ecbfffffffff,6.0,0.0,0.0
830eccfffffffff,4.0,0.0,0.0
830ed9fffffffff,1.0,0.0,0.0
830eeafffffffff,85.0,0.0,0.0
830eebfffffffff,105.0,0.0,0.0
830ef1fffffffff,3.0,0.0,3.0
830ef3fffffffff,1.0,0.0,0.0
831248fffffffff,3.0,0.0,0.0
831250fffffffff,10.0,0.0,0.0
831251fffffffff,4.0,0.0,1.0
831259fffffffff,5.0,0.0,0.0
83125cfffffffff,2.0,0.0,2.0
83129bfffffffff,6.0,0.0,0.0
8312a9fffffffff,2.0,0.0,0.0
8312abfffffffff,3.0,0.0,0.0
8312b0fffffffff,3.0,0.0,0.0
8312b6fffffffff,2.0,0.0,2.0
8312c0fffffffff,2.0,0.0,0.0
8312c1fffffffff,19.0,0.0,0.0
8312c2fffffffff,1.0,0.0,0.0
8312c3fffffffff,5.0,0.0,0.0
8312c4fffffffff,3.0,0.0,2.0
8312cafffffffff,19.0,0.0,0.0
8312cbfffffffff,13.0,0.0,2.0
8312ccfffffffff,25.0,0.0,2.0
8312d1fffffffff,6.0,0.0,0.0
8312d9fffffffff,5.0,0.0,0.0
