cell_id,Ketupa zeylonensis,Ketupa zeylonensis semenowi,Ketupa zeylonensis [zeylonensis Group]
842d12dffffffff,14.0,0.0,0.0
843c0bdffffffff,6.0,0.0,0.0
843c19bffffffff,1.0,0.0,0.0
843c33dffffffff,1.0,0.0,0.0
843c839ffffffff,3.0,0.0,0.0
843c83bffffffff,2.0,0.0,0.0
843c8c1ffffffff,2.0,0.0,0.0
843c8dbffffffff,2.0,0.0,0.0
843ca87ffffffff,1.0,0.0,0.0
843ca97ffffffff,1.0,0.0,0.0
843cc31ffffffff,2.0,0.0,0.0
843cc5bffffffff,1.0,0.0,0.0
843ce15ffffffff,2.0,0.0,0.0
843cec1ffffffff,2.0,0.0,0.0
843cf05ffffffff,7.0,0.0,0.0
843cf11ffffffff,2.0,0.0,0.0
843cf47ffffffff,2.0,0.0,0.0
843cf65ffffffff,3.0,0.0,0.0
843cf69ffffffff,2.0,0.0,0.0
843d101ffffffff,15.0,0.0,0.0
843d10dffffffff,1.0,0.0,0.0
843d30dffffffff,2.0,0.0,0.0
843d345ffffffff,2.0,0.0,0.0
843d36bffffffff,5.0,0.0,0.0
843d845ffffffff,8.0,0.0,0.0
843d9dbffffffff,3.0,0.0,0.0
843da19ffffffff,2.0,0.0,0.0
843da53ffffffff,6.0,0.0,0.0
843dad1ffffffff,3.0,0.0,0.0
843dad9ffffffff,2.0,0.0,2.0
843daddffffffff,1.0,0.0,0.0
843daebffffffff,2.0,0.0,0.0
843f681ffffffff,14.0,0.0,0.0
843f68bffffffff,4.0,0.0,0.0
8440493ffffffff,1.0,0.0,0.0
8442c8bffffffff,2.0,0.0,0.0
8442ca1ffffffff,10.0,0.0,0.0
8442ca7ffffffff,1.0,0.0,0.0
8442cabffffffff,1.0,0.0,0.0
8442cbdffffffff,6.0,0.0,0.0
8460065ffffffff,2.0,0.0,0.0
8460111ffffffff,3.0,0.0,0.0
8460113ffffffff,10.0,0.0,0.0
8460117ffffffff,7.0,0.0,0.0
846011bffffffff,2.0,0.0,0.0
8460143ffffffff,4.0,0.0,0.0
8460145ffffffff,10.0,0.0,0.0
8460149ffffffff,2.0,0.0,0.0
846014dffffffff,29.0,0.0,2.0
8460151ffffffff,2.0,0.0,0.0
8460159ffffffff,3.0,0.0,0.0
846015dffffffff,9.0,0.0,0.0
846016dffffffff,3.0,0.0,0.0
84601e5ffffffff,3.0,0.0,0.0
84601e9ffffffff,31.0,0.0,0.0
846022dffffffff,2.0,0.0,0.0
8460261ffffffff,1.0,0.0,1.0
8460311ffffffff,1.0,0.0,0.0
8460315ffffffff,6.0,0.0,0.0
8460319ffffffff,5.0,0.0,0.0
846031bffffffff,2.0,0.0,0.0
846031dffffffff,14.0,0.0,0.0
8460323ffffffff,3.0,0.0,0.0
8460331ffffffff,27.0,0.0,0.0
8460335ffffffff,9.0,0.0,0.0
8460339ffffffff,2.0,0.0,0.0
846033bffffffff,97.0,0.0,0.0
8460343ffffffff,4.0,0.0,0.0
8460357ffffffff,2.0,0.0,0.0
8460881ffffffff,58.0,0.0,0.0
8460887ffffffff,5.0,0.0,0.0
846088dffffffff,2.0,0.0,0.0
84608abffffffff,2.0,0.0,0.0
84608adffffffff,1.0,0.0,0.0
84608d5ffffffff,1.0,0.0,0.0
84608d7ffffffff,2.0,0.0,0.0
84608ddffffffff,3.0,0.0,0.0
8460939ffffffff,3.0,0.0,0.0
8460965ffffffff,1.0,0.0,0.0
84609b7ffffffff,1.0,0.0,0.0
84609e3ffffffff,20.0,0.0,0.0
8460a1bffffffff,10.0,0.0,0.0
8460a91ffffffff,2.0,0.0,2.0
8460a99ffffffff,4.0,0.0,0.0
8460adbffffffff,2.0,0.0,0.0
84611e1ffffffff,3.0,0.0,0.0
8461885ffffffff,8.0,0.0,0.0
8461887ffffffff,14.0,0.0,0.0
8464a3dffffffff,3.0,0.0,3.0
8465183ffffffff,17.0,0.0,5.0
846519dffffffff,2.0,0.0,0.0
84651d7ffffffff,26.0,0.0,3.0
846520dffffffff,6.0,0.0,0.0
8465993ffffffff,3.0,0.0,0.0
