cell_id,Pycnonotus goiavier,Pycnonotus goiavier [analis Group],Pycnonotus goiavier [goiavier Group]
8465001ffffffff,3.0,0.0,0.0
8465005ffffffff,46.0,0.0,0.0
8465009ffffffff,14.0,0.0,0.0
846500bffffffff,77.0,0.0,0.0
846500dffffffff,2.0,0.0,0.0
8465015ffffffff,55.0,0.0,0.0
8465017ffffffff,4.0,0.0,0.0
8465029ffffffff,8.0,0.0,0.0
846502bffffffff,40.0,0.0,0.0
8465031ffffffff,4.0,0.0,0.0
8465033ffffffff,180.0,0.0,0.0
8465037ffffffff,20.0,0.0,0.0
8465039ffffffff,16.0,0.0,0.0
846503bffffffff,10.0,0.0,0.0
8465043ffffffff,1.0,0.0,0.0
8465055ffffffff,57.0,0.0,0.0
8465057ffffffff,4.0,0.0,0.0
8465059ffffffff,5.0,0.0,0.0
846505dffffffff,2.0,0.0,0.0
8465063ffffffff,6.0,0.0,0.0
84650e5ffffffff,8.0,0.0,0.0
84650edffffffff,1.0,0.0,0.0
8465183ffffffff,10.0,0.0,0.0
8465189ffffffff,53.0,0.0,0.0
846518bffffffff,93.0,0.0,0.0
8465191ffffffff,1.0,0.0,0.0
8465199ffffffff,16.0,0.0,0.0
846519dffffffff,20.0,0.0,0.0
84651c3ffffffff,14.0,0.0,0.0
84651c9ffffffff,23.0,0.0,0.0
84651cbffffffff,2.0,0.0,0.0
84651d1ffffffff,164.0,0.0,0.0
84651d5ffffffff,4.0,0.0,0.0
84651d7ffffffff,24.0,0.0,0.0
84651d9ffffffff,237.0,0.0,0.0
84651dbffffffff,130.0,0.0,0.0
84651ddffffffff,11.0,0.0,0.0
846520dffffffff,94.0,0.0,0.0
8465227ffffffff,9.0,0.0,0.0
8465231ffffffff,13.0,0.0,0.0
8465233ffffffff,9.0,0.0,0.0
8465237ffffffff,6.0,0.0,0.0
846523dffffffff,7.0,0.0,0.0
8465263ffffffff,32.0,0.0,0.0
846526bffffffff,11.0,0.0,0.0
8465313ffffffff,10.0,0.0,0.0
84658a3ffffffff,2.0,0.0,0.0
8465993ffffffff,4.0,0.0,0.0
8465b21ffffffff,2.0,0.0,0.0
8465b45ffffffff,1.0,0.0,0.0
84681c3ffffffff,2.0,0.0,0.0
8468281ffffffff,4.0,0.0,0.0
8468285ffffffff,1.0,0.0,0.0
84684e5ffffffff,2.0,0.0,0.0
846858dffffffff,1.0,0.0,0.0
84685c3ffffffff,1.0,0.0,0.0
84685c7ffffffff,2.0,0.0,0.0
8468c89ffffffff,1.0,0.0,0.0
846940bffffffff,2.0,0.0,0.0
846943bffffffff,2.0,0.0,0.0
84695e3ffffffff,1.0,0.0,0.0
8472ae7ffffffff,7.0,0.0,0.0
847390dffffffff,3.0,0.0,0.0
84739b5ffffffff,2.0,0.0,0.0
8473b6dffffffff,2.0,0.0,0.0
848db53ffffffff,3.0,0.0,0.0
8495a4dffffffff,1.0,0.0,0.0
