cell_id,Treron curvirostra,Treron curvirostra [curvirostra Group],Treron curvirostra hypothapsinus/smicrus
833c15fffffffff,5.0,0.0,0.0
833c19fffffffff,103.0,0.0,0.0
833c1dfffffffff,9.0,0.0,0.0
833c52fffffffff,2.0,0.0,0.0
833c58fffffffff,2.0,0.0,0.0
833c5afffffffff,155.0,0.0,0.0
833c5bfffffffff,11.0,0.0,0.0
833c8cfffffffff,23.0,0.0,0.0
833cc0fffffffff,31.0,0.0,0.0
833cc2fffffffff,2.0,0.0,0.0
833cc4fffffffff,53.0,0.0,0.0
833cc5fffffffff,10.0,0.0,0.0
833cc6fffffffff,9.0,0.0,0.0
833cdcfffffffff,1.0,0.0,0.0
833ce0fffffffff,3.0,0.0,0.0
833ce1fffffffff,83.0,0.0,0.0
833ce2fffffffff,8.0,0.0,0.0
833ce4fffffffff,40.0,0.0,0.0
833ce5fffffffff,40.0,0.0,0.0
833cecfffffffff,119.0,0.0,0.0
833cedfffffffff,4.0,0.0,0.0
833cf2fffffffff,2.0,0.0,0.0
834049fffffffff,7.0,0.0,0.0
83404cfffffffff,3.0,0.0,0.0
83404dfffffffff,19.0,0.0,0.0
834061fffffffff,3.0,0.0,0.0
834065fffffffff,5.0,1.0,0.0
83406bfffffffff,2.0,0.0,0.0
834143fffffffff,19.0,0.0,0.0
834148fffffffff,1.0,0.0,0.0
834160fffffffff,2.0,0.0,0.0
834165fffffffff,1.0,0.0,0.0
83416cfffffffff,3.0,0.0,0.0
83416dfffffffff,4.0,0.0,0.0
83416efffffffff,17.0,0.0,0.0
834171fffffffff,9.0,0.0,0.0
836412fffffffff,2.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0
836416fffffffff,923.0,178.0,0.0
836422fffffffff,15.0,3.0,0.0
836426fffffffff,7.0,3.0,0.0
836430fffffffff,8.0,2.0,0.0
836431fffffffff,50.0,14.0,0.0
836433fffffffff,1.0,0.0,0.0
836434fffffffff,169.0,42.0,0.0
836435fffffffff,22.0,4.0,0.0
836480fffffffff,7.0,0.0,0.0
836482fffffffff,37.0,9.0,0.0
836484fffffffff,7.0,0.0,0.0
836488fffffffff,2.0,0.0,0.0
83648cfffffffff,2.0,0.0,0.0
83648dfffffffff,1.0,0.0,0.0
83648efffffffff,5.0,0.0,0.0
836490fffffffff,6.0,0.0,0.0
836491fffffffff,16.0,3.0,0.0
836498fffffffff,8.0,0.0,0.0
8364a0fffffffff,5.0,1.0,0.0
8364a1fffffffff,10.0,2.0,0.0
8364a3fffffffff,77.0,31.0,0.0
8364a4fffffffff,65.0,13.0,0.0
8364a5fffffffff,32.0,0.0,0.0
8364b0fffffffff,2.0,0.0,0.0
8364b3fffffffff,1.0,0.0,0.0
8364b4fffffffff,4.0,0.0,0.0
8364b5fffffffff,86.0,26.0,0.0
836500fffffffff,175.0,0.0,0.0
836501fffffffff,9.0,0.0,0.0
836502fffffffff,28.0,0.0,0.0
836503fffffffff,23.0,0.0,0.0
836505fffffffff,83.0,0.0,0.0
836506fffffffff,3.0,0.0,0.0
83650dfffffffff,2.0,0.0,0.0
836518fffffffff,138.0,16.0,0.0
836519fffffffff,13.0,3.0,0.0
83651bfffffffff,101.0,25.0,0.0
83651cfffffffff,172.0,53.0,0.0
83651dfffffffff,19.0,0.0,0.0
836520fffffffff,61.0,0.0,0.0
836522fffffffff,24.0,0.0,0.0
836523fffffffff,5.0,0.0,0.0
836525fffffffff,9.0,0.0,0.0
836526fffffffff,198.0,0.0,0.0
83652dfffffffff,2.0,0.0,0.0
836553fffffffff,1.0,0.0,0.0
836573fffffffff,8.0,0.0,0.0
836580fffffffff,12.0,0.0,0.0
836581fffffffff,17.0,0.0,0.0
836583fffffffff,3.0,0.0,0.0
836584fffffffff,12.0,0.0,0.0
836585fffffffff,73.0,0.0,0.0
836588fffffffff,4.0,2.0,0.0
836589fffffffff,6.0,2.0,0.0
83658afffffffff,35.0,8.0,0.0
83658bfffffffff,10.0,0.0,0.0
83658efffffffff,22.0,10.0,0.0
836590fffffffff,4.0,0.0,0.0
836591fffffffff,147.0,0.0,0.0
836592fffffffff,2.0,0.0,0.0
836593fffffffff,2.0,0.0,0.0
836595fffffffff,12.0,0.0,0.0
836599fffffffff,606.0,108.0,0.0
83659cfffffffff,56.0,0.0,0.0
83659dfffffffff,6.0,1.0,0.0
83659efffffffff,2.0,0.0,0.0
8365b0fffffffff,295.0,0.0,0.0
8365b2fffffffff,100.0,0.0,0.0
8365b3fffffffff,177.0,0.0,0.0
8365b4fffffffff,4.0,0.0,0.0
8365b6fffffffff,58.0,0.0,0.0
836810fffffffff,25.0,8.0,0.0
836811fffffffff,34.0,8.0,0.0
836812fffffffff,9.0,0.0,0.0
836816fffffffff,1.0,0.0,0.0
836818fffffffff,131.0,8.0,0.0
83681bfffffffff,1.0,0.0,0.0
83681cfffffffff,94.0,4.0,0.0
83681dfffffffff,1.0,0.0,0.0
83681efffffffff,1.0,0.0,0.0
836828fffffffff,106.0,10.0,0.0
83682dfffffffff,10.0,0.0,0.0
8368a2fffffffff,1.0,0.0,0.0
8368acfffffffff,26.0,0.0,0.0
