cell_id,Aethopyga nipalensis,Aethopyga nipalensis [nipalensis Group],Aethopyga nipalensis angkanensis
833c00fffffffff,11.0,0.0,0.0
833c02fffffffff,353.0,6.0,0.0
833c03fffffffff,5.0,0.0,0.0
833c06fffffffff,43.0,0.0,0.0
833c0afffffffff,1394.0,3.0,0.0
833c0bfffffffff,542.0,92.0,0.0
833c0efffffffff,4.0,0.0,0.0
833c19fffffffff,98.0,0.0,0.0
833c1dfffffffff,895.0,2.0,0.0
833c30fffffffff,5.0,0.0,0.0
833c31fffffffff,73.0,0.0,0.0
833c33fffffffff,2.0,0.0,0.0
833c34fffffffff,2.0,0.0,0.0
833c43fffffffff,71.0,0.0,0.0
833c52fffffffff,2030.0,0.0,0.0
833c53fffffffff,39.0,0.0,0.0
833c56fffffffff,12.0,0.0,0.0
833c58fffffffff,1080.0,0.0,0.0
833c59fffffffff,120.0,0.0,0.0
833c5bfffffffff,11.0,0.0,0.0
833c5cfffffffff,72.0,0.0,0.0
833c5dfffffffff,13.0,0.0,0.0
833c5efffffffff,4.0,0.0,0.0
833cc1fffffffff,17.0,0.0,0.0
833cc3fffffffff,81.0,0.0,0.0
833cd8fffffffff,55.0,6.0,0.0
833cd9fffffffff,2.0,0.0,0.0
833cddfffffffff,12.0,0.0,0.0
833ce3fffffffff,105.0,0.0,0.0
833ce4fffffffff,74.0,4.0,0.0
833ce5fffffffff,524.0,34.0,0.0
833ce8fffffffff,98.0,0.0,0.0
833ce9fffffffff,74.0,0.0,0.0
833ceafffffffff,11.0,0.0,0.0
833cebfffffffff,44.0,0.0,0.0
833d10fffffffff,64.0,0.0,0.0
833d11fffffffff,16.0,0.0,0.0
833d13fffffffff,85.0,0.0,0.0
833d1afffffffff,84.0,0.0,0.0
833d1efffffffff,703.0,0.0,0.0
833dadfffffffff,748.0,0.0,0.0
834043fffffffff,2.0,0.0,0.0
834044fffffffff,2.0,0.0,0.0
834045fffffffff,2.0,0.0,0.0
83404cfffffffff,150.0,1.0,0.0
83404dfffffffff,4.0,0.0,0.0
83404efffffffff,24.0,0.0,0.0
834059fffffffff,54.0,0.0,0.0
834066fffffffff,8.0,0.0,0.0
834069fffffffff,2.0,0.0,0.0
83406bfffffffff,2.0,0.0,0.0
834149fffffffff,2.0,0.0,0.0
83414cfffffffff,47.0,2.0,0.0
83414dfffffffff,2.0,0.0,0.0
834158fffffffff,4.0,2.0,0.0
834159fffffffff,36.0,11.0,0.0
834161fffffffff,1.0,0.0,0.0
834165fffffffff,3.0,0.0,0.0
836482fffffffff,983.0,0.0,486.0
836498fffffffff,4.0,0.0,0.0
83649bfffffffff,4.0,0.0,0.0
8365b6fffffffff,4.0,0.0,0.0
836914fffffffff,1.0,0.0,0.0
836934fffffffff,58.0,8.0,0.0
