cell_id,Psilopogon haemacephalus,Psilopogon haemacephalus indicus/delicus,Psilopogon haemacephalus roseus,Psilopogon haemacephalus [haemacephalus Group],Psilopogon haemacephalus [intermedius Group]
83209afffffffff,63.0,0.0,0.0,0.0,0.0
833c02fffffffff,116.0,0.0,0.0,0.0,0.0
833c06fffffffff,2.0,0.0,0.0,0.0,0.0
833c0afffffffff,6.0,0.0,0.0,0.0,0.0
833c0bfffffffff,2.0,0.0,0.0,0.0,0.0
833c11fffffffff,76.0,0.0,0.0,0.0,0.0
833c13fffffffff,20.0,0.0,0.0,0.0,0.0
833c14fffffffff,1.0,0.0,0.0,0.0,0.0
833c15fffffffff,89.0,0.0,0.0,0.0,0.0
833c16fffffffff,52.0,0.0,0.0,0.0,0.0
833c18fffffffff,4.0,0.0,0.0,0.0,0.0
833c19fffffffff,83.0,0.0,0.0,0.0,0.0
833c1afffffffff,5.0,0.0,0.0,0.0,0.0
833c1bfffffffff,31.0,0.0,0.0,0.0,0.0
833c1cfffffffff,124.0,0.0,0.0,0.0,0.0
833c1dfffffffff,16.0,0.0,0.0,0.0,0.0
833c1efffffffff,9.0,0.0,0.0,0.0,0.0
833c31fffffffff,1.0,0.0,0.0,0.0,0.0
833c32fffffffff,3.0,0.0,0.0,0.0,0.0
833c33fffffffff,71.0,0.0,0.0,0.0,0.0
833c36fffffffff,20.0,0.0,0.0,0.0,0.0
833c52fffffffff,3.0,0.0,0.0,0.0,0.0
833c53fffffffff,4.0,0.0,0.0,0.0,0.0
833c58fffffffff,33.0,0.0,0.0,0.0,0.0
833c5afffffffff,72.0,0.0,0.0,0.0,0.0
833c5bfffffffff,1.0,0.0,0.0,0.0,0.0
833c5efffffffff,7.0,0.0,0.0,0.0,0.0
833c80fffffffff,103.0,0.0,0.0,0.0,0.0
833c82fffffffff,7.0,0.0,0.0,0.0,0.0
833c83fffffffff,152.0,0.0,0.0,0.0,0.0
833c84fffffffff,24.0,0.0,0.0,0.0,0.0
833c85fffffffff,9.0,0.0,0.0,0.0,0.0
833c88fffffffff,55.0,0.0,0.0,0.0,0.0
833c89fffffffff,52.0,0.0,0.0,0.0,0.0
833c8cfffffffff,231.0,0.0,0.0,0.0,0.0
833c8dfffffffff,161.0,0.0,0.0,0.0,0.0
833c8efffffffff,605.0,0.0,0.0,0.0,0.0
833c90fffffffff,234.0,0.0,0.0,0.0,0.0
833c91fffffffff,11.0,0.0,0.0,0.0,0.0
833c92fffffffff,375.0,0.0,0.0,0.0,0.0
833c93fffffffff,132.0,0.0,0.0,0.0,0.0
